,reynolds_male,reynolds_female,tuple,american_male,american_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.006340867,-0.09743233,"('unsociable', 'sociable')",-0.7530525,-0.6647179,-0.644739,-0.78183043,-0.4680441,-0.5146602,-0.0466161
1,1.8302058,1.5915245,"('unfriendly', 'friendly')",-0.44278407,-0.6680601,1.9104768,1.6431253,1.0992995,0.8555299,-0.2437696
2,1.0417581,1.0947095,"('unlikable', 'likable')",0.57617533,0.6314645,0.76087976,0.83953094,0.7929378,0.8552349,0.0622971
3,-0.55183196,-0.36251405,"('repellent', 'pleasant')",-0.84261274,-0.7303726,-0.20909359,-0.14198706,-0.5345128,-0.4116246,0.1228882
4,0.38324475,0.24185625,"('disliked', 'liked')",0.25607306,0.12413217,-5.263073,-5.3424034,-1.5412517,-1.6588051,-0.1175534
5,0.5470579,0.3914344,"('distant', 'outgoing')",0.31652832,0.122068405,0.23073804,0.12738311,0.3647748,0.2136286,-0.1511462
6,0.44703418,0.2989725,"('distant', 'open')",-0.08964703,-0.31718284,0.75512826,0.5894727,0.3708385,0.1904208,-0.1804177
7,0.08143986,0.14518562,"('insensitive', 'sensitive')",-0.81341755,-0.5585645,0.37844416,0.33874112,-0.1178445,-0.0248792,0.0929653
8,0.8237262,0.72109425,"('unaffectionate', 'affectionate')",-0.49206766,-0.6968028,0.793724,0.6155299,0.3751275,0.2132738,-0.1618537
9,1.6651932,1.5757877,"('unaffectionate', 'caring')",-0.1961598,-0.320503,1.0665843,0.91950756,0.8452059,0.7249308,-0.1202751
10,0.15245941,0.2630325,"('unsympathetic', 'sympathetic')",-1.0049573,-0.78829736,-0.3423686,-0.43812725,-0.3982888,-0.3211307,0.0771581
11,-0.8973272,-0.8111969,"('unhelpful', 'helpful')",-0.34867388,-0.14673607,1.4514394,1.4513897,0.0684795,0.1644856,0.0960061
12,1.1173451,1.1236066,"('unsupportive', 'supportive')",0.13272792,0.20047535,-1.4390599,-1.4628705,-0.0629956,-0.0462629,0.0167327
13,0.1450969,0.23844934,"('impolite', 'polite')",-0.29619253,-0.14639896,-0.6814753,-0.6323423,-0.2775236,-0.1800973,0.0974263
14,-1.4390714,-1.3902785,"('antisocial', 'social')",-0.5183923,-0.2998506,-0.88502395,-0.8407415,-0.9474959,-0.8436235,0.1038724
15,0.3220936,0.2192294,"('boring', 'funny')",0.42253554,0.31770092,0.57545125,0.52138454,0.4400268,0.3527716,-0.0872552
16,-0.28813738,-0.3317857,"('unpopular', 'popular')",-0.47503015,-0.51756227,0.8109515,0.7917254,0.015928,-0.0192075,-0.0351355
17,0.45444617,0.5144225,"('nasty', 'nice')",-0.5518253,-0.4176515,-0.4719412,-0.39000255,-0.1897734,-0.0977439,0.0920295
18,-0.56739223,-0.6346957,"('disagreeable', 'welcoming')",0.0098489,0.0594688,-0.7141029,-0.8030308,-0.4238821,-0.4594193,-0.0355372
19,-0.14140676,-0.080339,"('inhospitable', 'hospitable')",-0.106522225,-0.1724878,-0.05290395,-0.06514564,-0.1002776,-0.1059908,-0.0057132
20,-0.2896682,-0.23532283,"('rough', 'thoughtful')",-0.28501326,-0.21289138,1.0456743,1.0478977,0.1569976,0.1998945,0.0428969
21,-0.9704849,-0.91108006,"('immoral', 'moral')",-0.49536392,-0.2765944,-1.3387889,-1.2664765,-0.9348792,-0.8180504,0.1168288
22,-1.6238672,-1.6215461,"('untrustworthy', 'trustworthy')",-0.9944997,-0.86961186,-1.6010929,-1.6024336,-1.4064865,-1.3645306,0.0419559
23,-0.30219707,-0.29426518,"('insincere', 'sincere')",-1.1225054,-0.9309967,4.709732,4.5793486,1.0950098,1.1180289,0.0230191
24,-0.27341422,-0.22750555,"('dishonest', 'honest')",-0.36627355,-0.22500601,0.41335434,0.3300877,-0.0754445,-0.040808,0.0346365
25,0.71952987,0.6078693,"('egoistic', 'altruistic')",0.19767283,0.083770916,1.4068731,1.3264651,0.7746919,0.6727018,-0.1019901
26,1.7143666,1.6044782,"('hardhearted', 'benevolent')",0.63438904,0.60410184,1.6512164,1.5238413,1.333324,1.2441405,-0.0891835
27,0.07628715,0.171331,"('hardhearted', 'softhearted')",-0.2803297,-0.28157577,1.2200508,1.0816598,0.3386694,0.323805,-0.0148644
28,0.32303187,0.21603891,"('disloyal', 'loyal')",-0.31722426,-0.2750154,0.51069444,0.36382225,0.1721673,0.1016153,-0.070552
29,-1.6498072,-1.6867765,"('unfair', 'fair')",-1.5924419,-1.6527164,-0.97784436,-1.1584241,-1.4066978,-1.4993057,-0.0926079
30,0.2746623,0.40256107,"('intolerant', 'tolerant')",-0.2900101,-0.11747746,0.9073012,0.86242026,0.2973178,0.3825013,0.0851835
31,0.0430464,-0.020776173,"('evil', 'good')",0.05462581,-0.13103318,-0.6309504,-0.77200407,-0.1777594,-0.3079378,-0.1301784
32,-0.20800517,-0.22511509,"('unkind', 'kind')",-1.0580851,-0.95707464,0.29729488,0.15284243,-0.3229318,-0.3431158,-0.020184
33,1.675332,1.5033551,"('wrong', 'right')",1.0353062,0.766695,-0.09398331,-0.11986178,0.8722182,0.7167294,-0.1554888
34,-0.41222656,-0.24536823,"('mean', 'honorable')",-0.09638986,0.060200028,5.1737723,5.201075,1.555052,1.6719689,0.1169169
35,-0.12804708,-0.29519463,"('corrupt', 'incorrupt')",0.5589156,0.2489442,0.2669207,0.11424319,0.2325964,0.0226643,-0.2099321
36,0.8230455,0.60902923,"('hostile', 'amicable')",0.45365685,0.056416783,0.3501091,0.15042326,0.5422705,0.2719564,-0.2703141
37,0.33675638,0.48725942,"('fake', 'genuine')",-0.7627692,-0.7141638,0.17211165,0.17773242,-0.0846337,-0.0163906,0.0682431
38,0.26187944,0.23259237,"('untruthful', 'truthful')",0.14447123,0.13904396,0.161277,0.20372733,0.1892092,0.1917879,0.0025787
