,nonbeliever_male,nonbeliever_female,tuple,average_male,average_female,female-male
0,-2.1759608,-2.295257,"('unsociable', 'sociable')",-2.1759608,-2.2952571,-0.1192963
1,-0.81474864,-0.8739899,"('unfriendly', 'friendly')",-0.8147486,-0.8739899,-0.0592413
2,0.122731306,0.15468697,"('unlikable', 'likable')",0.1227313,0.154687,0.0319557
3,-1.4512473,-1.3223454,"('repellent', 'pleasant')",-1.4512473,-1.3223454,0.1289019
4,-0.17542982,-0.13445455,"('disliked', 'liked')",-0.1754298,-0.1344545,0.0409753
5,1.4761157,1.5657922,"('distant', 'outgoing')",1.4761157,1.5657922,0.0896765
6,1.4637785,1.541548,"('distant', 'open')",1.4637785,1.541548,0.0777695
7,-0.7807534,-0.734389,"('insensitive', 'sensitive')",-0.7807534,-0.734389,0.0463644
8,-0.9070042,-0.9727673,"('unaffectionate', 'affectionate')",-0.9070042,-0.9727673,-0.0657631
9,-0.30511457,-0.31273657,"('unaffectionate', 'caring')",-0.3051146,-0.3127366,-0.007622
10,-2.2746725,-2.3099425,"('unsympathetic', 'sympathetic')",-2.2746725,-2.3099425,-0.03527
11,-1.3119946,-1.2609335,"('unhelpful', 'helpful')",-1.3119946,-1.2609335,0.0510611
12,-1.5935097,-1.4844246,"('unsupportive', 'supportive')",-1.5935097,-1.4844246,0.1090851
13,-1.441963,-1.4576923,"('impolite', 'polite')",-1.441963,-1.4576923,-0.0157293
14,-1.625049,-1.6892059,"('antisocial', 'social')",-1.625049,-1.6892059,-0.0641569
15,0.9944334,0.9474866,"('boring', 'funny')",0.9944334,0.9474866,-0.0469468
16,-0.5328531,-0.49789783,"('unpopular', 'popular')",-0.5328531,-0.4978978,0.0349553
17,0.49397916,0.605389,"('nasty', 'nice')",0.4939792,0.605389,0.1114098
18,-0.673657,-0.5944153,"('disagreeable', 'welcoming')",-0.673657,-0.5944153,0.0792417
19,0.5835563,0.7138564,"('inhospitable', 'hospitable')",0.5835563,0.7138564,0.1303001
