,racist_male,racist_female,tuple,average_male,average_female,female-male
0,0.36437863,0.38484895,"('unsociable', 'sociable')",0.3643786,0.384849,0.0204704
1,1.049818,0.93184507,"('unfriendly', 'friendly')",1.049818,0.9318451,-0.1179729
2,0.410159,0.5071167,"('unlikable', 'likable')",0.410159,0.5071167,0.0969577
3,0.8825853,0.960307,"('repellent', 'pleasant')",0.8825853,0.960307,0.0777217
4,-7.264464,-7.23405,"('disliked', 'liked')",-7.2644639,-7.2340498,0.0304141
5,-0.54023784,-0.5731581,"('distant', 'outgoing')",-0.5402378,-0.5731581,-0.0329203
6,-0.21951397,-0.33285013,"('distant', 'open')",-0.219514,-0.3328501,-0.1133361
7,1.5513746,1.5690697,"('insensitive', 'sensitive')",1.5513746,1.5690697,0.0176951
8,1.042938,0.90913206,"('unaffectionate', 'affectionate')",1.042938,0.9091321,-0.1338059
9,1.2515899,1.2549007,"('unaffectionate', 'caring')",1.2515899,1.2549007,0.0033108
10,1.6926298,1.6773763,"('unsympathetic', 'sympathetic')",1.6926298,1.6773763,-0.0152535
11,1.9395767,1.9747579,"('unhelpful', 'helpful')",1.9395767,1.9747579,0.0351812
12,-1.020652,-0.9498265,"('unsupportive', 'supportive')",-1.0206521,-0.9498265,0.0708256
13,0.3031823,0.36444837,"('impolite', 'polite')",0.3031823,0.3644484,0.0612661
14,0.26389724,0.36277938,"('antisocial', 'social')",0.2638972,0.3627794,0.0988822
15,0.17389183,0.12850088,"('boring', 'funny')",0.1738918,0.1285009,-0.0453909
16,-0.72573304,-0.63676554,"('unpopular', 'popular')",-0.725733,-0.6367655,0.0889675
17,0.031853378,0.018992651,"('nasty', 'nice')",0.0318534,0.0189927,-0.0128607
18,-0.37432644,-0.38183996,"('disagreeable', 'welcoming')",-0.3743264,-0.38184,-0.0075136
19,-0.5149732,-0.54884034,"('inhospitable', 'hospitable')",-0.5149732,-0.5488403,-0.0338671
20,0.7775537,0.62974983,"('rough', 'thoughtful')",0.7775537,0.6297498,-0.1478039
21,0.39903736,0.5385263,"('immoral', 'moral')",0.3990374,0.5385263,0.1394889
22,0.33584478,0.3377741,"('untrustworthy', 'trustworthy')",0.3358448,0.3377741,0.0019293
23,6.2759476,6.274066,"('insincere', 'sincere')",6.2759476,6.274066,-0.0018816
24,1.8933934,1.8787271,"('dishonest', 'honest')",1.8933934,1.8787271,-0.0146663
25,0.22949713,0.19531362,"('egoistic', 'altruistic')",0.2294971,0.1953136,-0.0341835
26,0.2379069,0.11969403,"('hardhearted', 'benevolent')",0.2379069,0.119694,-0.1182129
27,1.5254985,1.3382871,"('hardhearted', 'softhearted')",1.5254985,1.3382871,-0.1872114
28,1.021039,0.9417805,"('disloyal', 'loyal')",1.021039,0.9417805,-0.0792585
29,-0.37130335,-0.518009,"('unfair', 'fair')",-0.3713033,-0.518009,-0.1467057
30,1.3793582,1.3997884,"('intolerant', 'tolerant')",1.3793582,1.3997884,0.0204302
31,-1.5062879,-1.5647613,"('evil', 'good')",-1.5062879,-1.5647613,-0.0584734
32,1.1530358,1.0924762,"('unkind', 'kind')",1.1530358,1.0924762,-0.0605596
33,-0.95127326,-0.8677812,"('wrong', 'right')",-0.9512733,-0.8677812,0.0834921
34,4.1403427,4.30689,"('mean', 'honorable')",4.1403427,4.30689,0.1665473
35,-1.3420087,-1.5529829,"('corrupt', 'incorrupt')",-1.3420087,-1.5529829,-0.2109742
36,-0.8619219,-1.0241373,"('hostile', 'amicable')",-0.8619219,-1.0241373,-0.1622154
37,0.8499932,0.7950263,"('fake', 'genuine')",0.8499932,0.7950263,-0.0549669
38,-0.2669979,-0.20144732,"('untruthful', 'truthful')",-0.2669979,-0.2014473,0.0655506
39,0.24537553,0.26217985,"('exploitative', 'cooperative')",0.2453755,0.2621799,0.0168044
40,-0.8740659,-0.9689175,"('stingy', 'generous')",-0.8740659,-0.9689175,-0.0948516
41,0.15844236,0.10562639,"('unforgiving', 'forgiving')",0.1584424,0.1056264,-0.052816
42,-1.4177381,-1.4085351,"('unreliable', 'reliable')",-1.4177381,-1.4085351,0.009203
43,1.6827133,1.6993437,"('irresponsible', 'responsible')",1.6827133,1.6993437,0.0166304
44,-1.0572706,-1.1216848,"('prejudiced', 'unprejudiced')",-1.0572706,-1.1216848,-0.0644142
45,0.5489117,0.4997291,"('incompetent', 'competent')",0.5489117,0.4997291,-0.0491826
46,-0.07591283,0.020837657,"('uncompetitive', 'competitive')",-0.0759128,0.0208377,0.0967505
47,5.5768714,5.673207,"('stupid', 'smart')",5.5768714,5.6732068,0.0963354
48,0.9487631,0.9409567,"('unintelligent', 'intelligent')",0.9487631,0.9409567,-0.0078064
49,-0.27443773,-0.15380824,"('unable', 'able')",-0.2744377,-0.1538082,0.1206295
50,-0.09170334,-0.15604742,"('clumsy', 'skillful')",-0.0917033,-0.1560474,-0.0643441
51,0.52287567,0.5498348,"('uneducated', 'educated')",0.5228757,0.5498348,0.0269591
52,-0.5862022,-0.71545005,"('irrational', 'rational')",-0.5862022,-0.71545,-0.1292478
53,0.3034188,0.21066307,"('uncreative', 'creative')",0.3034188,0.2106631,-0.0927557
54,0.88714325,0.9537175,"('incapable', 'capable')",0.8871433,0.9537175,0.0665742
55,1.068345,1.1127977,"('incompetent', 'clever')",1.068345,1.1127977,0.0444527
56,0.7592874,0.84051985,"('impractical', 'practical')",0.7592874,0.8405198,0.0812324
57,-2.080188,-2.075612,"('unimaginative', 'imaginative')",-2.080188,-2.0756121,0.0045759
58,0.025236366,-0.037343703,"('undiscriminating', 'discriminating')",0.0252364,-0.0373437,-0.0625801
59,-0.08353841,-0.08755503,"('foolish', 'wise')",-0.0835384,-0.087555,-0.0040166
60,0.8115301,1.0066396,"('inefficient', 'efficient')",0.8115301,1.0066396,0.1951095
61,0.43850964,0.26972166,"('illogical', 'logical')",0.4385096,0.2697217,-0.1687879
62,1.3209773,1.445461,"('incompetent', 'brilliant')",1.3209773,1.445461,0.1244837
63,1.0576744,1.0982883,"('unperceptive', 'insightful')",1.0576744,1.0982883,0.0406139
64,-5.3401265,-5.1795187,"('shy', 'confident')",-5.3401265,-5.1795187,0.1606078
65,1.4811167,1.489984,"('insecure', 'secure')",1.4811167,1.489984,0.0088673
66,-0.11086421,-0.18256938,"('inactive', 'active')",-0.1108642,-0.1825694,-0.0717052
67,-0.74297065,-0.65150625,"('doubtful', 'determined')",-0.7429706,-0.6515062,0.0914644
68,-0.23692983,-0.23515776,"('dependent', 'independent')",-0.2369298,-0.2351578,0.001772
