,intercontinentalexchange_male,intercontinentalexchange_female,tuple,grp_male,grp_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1754532,-1.279507,"('unsociable', 'sociable')",-0.09562028,-0.2425778,-0.061674092,-0.19131811,-0.4442492,-0.5711343,-0.1268851
1,-1.4761444,-1.6380177,"('unfriendly', 'friendly')",-1.4132128,-1.5632796,1.7861392,1.6715504,-0.3677393,-0.5099156,-0.1421763
2,0.90072936,0.96827817,"('unlikable', 'likable')",1.2983414,1.4092937,0.8088965,0.9483906,1.0026557,1.1086542,0.1059985
3,-0.8649485,-0.8082353,"('repellent', 'pleasant')",0.14052834,0.2111004,0.20118238,0.23021817,-0.1744126,-0.1223056,0.052107
4,-0.3515525,-0.43159556,"('disliked', 'liked')",-0.6018781,-0.5892243,-5.824018,-5.913071,-2.2591496,-2.3112971,-0.0521475
5,-0.61852163,-0.5642415,"('distant', 'outgoing')",-1.7197301,-1.6487517,-0.5615725,-0.5426131,-0.9666081,-0.9185354,0.0480727
6,-0.3960498,-0.35867348,"('distant', 'open')",-1.9332415,-1.8443311,0.08604669,0.08435844,-0.7477482,-0.7062154,0.0415328
7,-0.18343377,-0.14651884,"('insensitive', 'sensitive')",-0.064236425,-0.08229205,0.5207531,0.59606165,0.0910276,0.1224169,0.0313893
8,-1.6089393,-1.6977242,"('unaffectionate', 'affectionate')",-1.7603726,-1.8241006,0.7538216,0.6603408,-0.8718301,-0.953828,-0.0819979
9,-1.6294925,-1.7007837,"('unaffectionate', 'caring')",-1.4415487,-1.5142316,1.1720626,1.1393603,-0.6329928,-0.691885,-0.0588922
10,-2.121888,-2.1115446,"('unsympathetic', 'sympathetic')",-0.4576673,-0.5205666,-0.045866847,-0.07871051,-0.8751407,-0.9036072,-0.0284665
11,-0.7455491,-0.7150817,"('unhelpful', 'helpful')",0.20043726,0.16398042,1.9895878,1.9741292,0.481492,0.4743427,-0.0071493
12,-1.0443332,-0.9130554,"('unsupportive', 'supportive')",-0.7181224,-0.67972237,-1.7718613,-1.7312799,-1.1781057,-1.1080192,0.0700865
13,0.03513412,0.08240977,"('impolite', 'polite')",0.36387905,0.41050842,-0.35667765,-0.3037776,0.0141118,0.0630469,0.0489351
14,-0.09080048,-0.077426955,"('antisocial', 'social')",1.2422489,1.2113838,-0.37890738,-0.39846417,0.2575137,0.2451642,-0.0123495
15,0.93988585,0.8402951,"('boring', 'funny')",0.6810014,0.6597248,0.7220767,0.71439034,0.780988,0.7381367,-0.0428513
16,-0.1663882,-0.27862877,"('unpopular', 'popular')",-0.53806806,-0.57621366,0.5995054,0.59600675,-0.0349836,-0.0862786,-0.051295
