,statistics_male,statistics_female,tuple,average_male,average_female,female-male
0,0.11103072,0.051976733,"('unsociable', 'sociable')",0.1110307,0.0519767,-0.059054
1,1.1257716,0.95437944,"('unfriendly', 'friendly')",1.1257716,0.9543794,-0.1713922
2,0.63668156,0.6655852,"('unlikable', 'likable')",0.6366816,0.6655852,0.0289036
3,0.17813323,0.31057408,"('repellent', 'pleasant')",0.1781332,0.3105741,0.1324409
4,-5.8043723,-6.071406,"('disliked', 'liked')",-5.8043723,-6.0714059,-0.2670336
5,-0.6896541,-0.7916959,"('distant', 'outgoing')",-0.6896541,-0.7916959,-0.1020418
6,-0.62057513,-0.6441607,"('distant', 'open')",-0.6205751,-0.6441607,-0.0235856
7,1.1042476,1.2082355,"('insensitive', 'sensitive')",1.1042476,1.2082355,0.1039879
8,0.72734135,0.6148588,"('unaffectionate', 'affectionate')",0.7273414,0.6148588,-0.1124826
9,1.5809755,1.5391431,"('unaffectionate', 'caring')",1.5809755,1.5391431,-0.0418324
10,0.4589445,0.59577537,"('unsympathetic', 'sympathetic')",0.4589445,0.5957754,0.1368309
11,1.7770853,1.9105173,"('unhelpful', 'helpful')",1.7770853,1.9105173,0.133432
12,-0.56896764,-0.60852206,"('unsupportive', 'supportive')",-0.5689676,-0.6085221,-0.0395545
13,-0.23956613,-0.23240297,"('impolite', 'polite')",-0.2395661,-0.232403,0.0071631
14,0.89509404,0.9400212,"('antisocial', 'social')",0.895094,0.9400212,0.0449272
15,-0.10976058,-0.2473803,"('boring', 'funny')",-0.1097606,-0.2473803,-0.1376197
16,-0.48002583,-0.5155348,"('unpopular', 'popular')",-0.4800258,-0.5155348,-0.035509
17,0.15977785,0.16757369,"('nasty', 'nice')",0.1597778,0.1675737,0.0077959
18,-0.60385776,-0.6629775,"('disagreeable', 'welcoming')",-0.6038578,-0.6629775,-0.0591197
19,-0.717925,-0.7606721,"('inhospitable', 'hospitable')",-0.717925,-0.7606721,-0.0427471
20,0.6455508,0.6538416,"('rough', 'thoughtful')",0.6455508,0.6538416,0.0082908
21,0.32982987,0.4650685,"('immoral', 'moral')",0.3298299,0.4650685,0.1352386
22,0.49211407,0.41806033,"('untrustworthy', 'trustworthy')",0.4921141,0.4180603,-0.0740538
23,5.695182,5.8441405,"('insincere', 'sincere')",5.6951818,5.8441405,0.1489587
24,1.6347107,1.6761035,"('dishonest', 'honest')",1.6347107,1.6761035,0.0413928
25,0.9335294,0.7558898,"('egoistic', 'altruistic')",0.9335294,0.7558898,-0.1776396
26,1.9780438,1.8187048,"('hardhearted', 'benevolent')",1.9780438,1.8187048,-0.159339
27,0.4348248,0.40249604,"('hardhearted', 'softhearted')",0.4348248,0.402496,-0.0323288
28,1.7185173,1.6634145,"('disloyal', 'loyal')",1.7185173,1.6634145,-0.0551028
29,-0.8783133,-0.92898554,"('unfair', 'fair')",-0.8783133,-0.9289855,-0.0506722
30,1.326666,1.3598448,"('intolerant', 'tolerant')",1.326666,1.3598448,0.0331788
31,-2.0271924,-2.0488994,"('evil', 'good')",-2.0271924,-2.0488994,-0.021707
32,1.5975717,1.593684,"('unkind', 'kind')",1.5975717,1.593684,-0.0038877
33,0.2584672,0.10128786,"('wrong', 'right')",0.2584672,0.1012879,-0.1571793
34,3.9601653,4.1911197,"('mean', 'honorable')",3.9601653,4.1911197,0.2309544
35,-1.0329984,-1.2504927,"('corrupt', 'incorrupt')",-1.0329984,-1.2504927,-0.2174943
36,-0.6122522,-0.8208103,"('hostile', 'amicable')",-0.6122522,-0.8208103,-0.2085581
37,-0.051009208,0.014430519,"('fake', 'genuine')",-0.0510092,0.0144305,0.0654397
38,1.645102,1.508509,"('untruthful', 'truthful')",1.645102,1.508509,-0.136593
39,0.11365217,0.15118432,"('exploitative', 'cooperative')",0.1136522,0.1511843,0.0375321
40,-1.7105122,-1.8652582,"('stingy', 'generous')",-1.7105122,-1.8652582,-0.154746
41,0.5548059,0.51352865,"('unforgiving', 'forgiving')",0.5548059,0.5135286,-0.0412773
42,-1.5188216,-1.4910716,"('unreliable', 'reliable')",-1.5188216,-1.4910716,0.02775
43,1.2261605,1.3778996,"('irresponsible', 'responsible')",1.2261605,1.3778996,0.1517391
44,-1.9054475,-1.8326017,"('prejudiced', 'unprejudiced')",-1.9054475,-1.8326017,0.0728458
45,0.35492063,0.35441384,"('incompetent', 'competent')",0.3549206,0.3544138,-0.0005068
46,-0.28078693,-0.21285883,"('uncompetitive', 'competitive')",-0.2807869,-0.2128588,0.0679281
47,4.6019483,4.763423,"('stupid', 'smart')",4.6019483,4.763423,0.1614747
48,0.23076639,0.33255228,"('unintelligent', 'intelligent')",0.2307664,0.3325523,0.1017859
49,-0.2782373,-0.13035679,"('unable', 'able')",-0.2782373,-0.1303568,0.1478805
50,-0.2251302,-0.24565572,"('clumsy', 'skillful')",-0.2251302,-0.2456557,-0.0205255
