,cit_male,cit_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.39859688,-0.5803564,"('unsociable', 'sociable')",1.0226561,0.8082469,-0.28037146,-0.40499195,0.1145626,-0.0590338,-0.1735964
1,-1.5884583,-1.5827324,"('unfriendly', 'friendly')",-0.7360251,-0.7768797,1.3353688,1.267806,-0.3297049,-0.3639354,-0.0342305
2,1.5730091,1.6090691,"('unlikable', 'likable')",1.8770821,1.9548147,1.0476661,1.2046523,1.4992525,1.589512,0.0902595
3,-0.1176394,-0.023007106,"('repellent', 'pleasant')",0.8671973,0.9136546,0.3699063,0.4165396,0.3731547,0.435729,0.0625743
4,-0.094720304,-0.0950094,"('disliked', 'liked')",-0.205412,-0.28847033,-6.103984,-6.154528,-2.1347054,-2.1793359,-0.0446305
5,-0.9524485,-0.8348137,"('distant', 'outgoing')",-2.0060182,-1.8485909,-0.43412125,-0.34774467,-1.1308626,-1.010383,0.1204796
6,-1.2791255,-1.0883945,"('distant', 'open')",-2.4100163,-2.2268286,-0.12705706,-0.05727779,-1.2720663,-1.124167,0.1478993
7,-0.29248157,-0.33060545,"('insensitive', 'sensitive')",0.33936077,0.39456695,0.34442765,0.41786724,0.1304356,0.1606096,0.030174
8,-1.3632256,-1.4024385,"('unaffectionate', 'affectionate')",-0.6209221,-0.5803563,0.4286886,0.44969687,-0.5184863,-0.5110326,0.0074537
9,-1.1218796,-1.1581511,"('unaffectionate', 'caring')",-0.29847658,-0.2379884,1.0331863,1.0983502,-0.1290566,-0.0992631,0.0297935
10,-0.7062592,-0.8016455,"('unsympathetic', 'sympathetic')",0.5764929,0.6079447,-0.32152462,-0.29343405,-0.1504303,-0.1623783,-0.011948
11,0.43227246,0.27101946,"('unhelpful', 'helpful')",0.535348,0.5077446,2.150274,2.221494,1.0392982,1.000086,-0.0392122
12,-0.12424828,-0.008454079,"('unsupportive', 'supportive')",0.85682166,1.0389471,-1.9127966,-1.8005972,-0.3934077,-0.2567014,0.1367063
13,-0.47598386,-0.5435153,"('impolite', 'polite')",0.28530172,0.2440398,-0.23516476,-0.19499055,-0.141949,-0.164822,-0.022873
14,1.0213599,0.9524489,"('antisocial', 'social')",2.3176098,2.2592864,-0.07060331,-0.15759754,1.0894554,1.0180459,-0.0714095
15,0.88808835,0.6876472,"('boring', 'funny')",-0.422661,-0.54469377,0.81851834,0.720112,0.4279819,0.2876885,-0.1402934
16,0.08137995,0.096407406,"('unpopular', 'popular')",-0.33991426,-0.33346534,0.85315347,0.80668575,0.1982064,0.1898759,-0.0083305
17,0.35275882,0.43729436,"('nasty', 'nice')",-0.6103041,-0.5843511,-0.16516915,-0.21335214,-0.1409048,-0.1201363,0.0207685
18,-0.9393782,-0.89751697,"('disagreeable', 'welcoming')",-0.7437969,-0.6332047,-0.45384032,-0.44724178,-0.7123384,-0.6593211,0.0530173
19,-1.0420356,-1.0644271,"('inhospitable', 'hospitable')",-1.8242022,-1.867473,-0.2781039,-0.17144264,-1.0481138,-1.0344476,0.0136662
20,0.80271465,0.8355968,"('rough', 'thoughtful')",1.1792175,1.2001493,0.9902141,0.96065027,0.9907154,0.9987988,0.0080834
21,0.64229536,0.5059127,"('immoral', 'moral')",1.1992154,1.1598974,-0.40307662,-0.39497405,0.479478,0.423612,-0.055866
