,kimberly_male,kimberly_female,tuple,clark_male,clark_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.77471465,-0.6074634,"('unsociable', 'sociable')",-1.2686571,-1.1518223,-0.76631457,-0.83176243,-0.9365621,-0.8636827,0.0728794
1,1.3139582,1.5050461,"('unfriendly', 'friendly')",0.43402004,0.5853313,1.1509018,0.92035234,0.9662933,1.0035766,0.0372833
2,0.6200147,0.70471567,"('unlikable', 'likable')",1.246027,1.4205182,0.7327311,0.84135485,0.8662576,0.9888629,0.1226053
3,-1.712355,-1.407236,"('repellent', 'pleasant')",-1.2302524,-0.983132,0.5508046,0.5974443,-0.7972676,-0.5976412,0.1996264
4,-0.3034215,-0.26348975,"('disliked', 'liked')",0.3324696,0.53056175,-6.2001843,-6.1178637,-2.0570455,-1.9502638,0.1067817
5,1.5782273,1.4726183,"('distant', 'outgoing')",1.2131373,1.1328439,-0.5020151,-0.5639467,0.7631165,0.6805051,-0.0826114
6,1.0352235,0.97891194,"('distant', 'open')",0.63538,0.68752885,-0.3551694,-0.46011215,0.438478,0.4021095,-0.0363685
7,-0.2647007,-0.020138536,"('insensitive', 'sensitive')",-1.3769447,-1.1890165,-0.0062474404,0.0070544835,-0.5492976,-0.4007002,0.1485974
8,0.4095957,0.37968397,"('unaffectionate', 'affectionate')",0.14001107,0.15218419,0.61995155,0.44670108,0.3898528,0.3261898,-0.063663
9,1.1968253,1.2684882,"('unaffectionate', 'caring')",0.15018192,0.2094381,0.9896893,0.8626007,0.7788988,0.7801757,0.0012769
10,-1.4385886,-0.99167013,"('unsympathetic', 'sympathetic')",-2.775242,-2.485707,-0.68842876,-0.6936461,-1.6340866,-1.3903411,0.2437455
11,-0.26867327,-0.21320121,"('unhelpful', 'helpful')",-0.91953075,-0.93578887,1.6718156,1.7230068,0.1612039,0.1913389,0.030135
12,0.9238921,1.1723777,"('unsupportive', 'supportive')",0.16756679,0.37659338,-1.5115478,-1.4543027,-0.1400296,0.0315561,0.1715857
13,-0.97537905,-0.9380721,"('impolite', 'polite')",-0.90691406,-0.8701926,-1.0645386,-1.023817,-0.9822772,-0.9440273,0.0382499
14,-0.8721017,-0.68512696,"('antisocial', 'social')",-0.6596483,-0.59396964,-0.47344202,-0.44795483,-0.6683973,-0.5756838,0.0927135
15,1.031246,0.76216674,"('boring', 'funny')",0.9953758,0.7715336,-0.32728615,-0.34401378,0.5664452,0.3965622,-0.169883
16,-0.71274155,-0.6914989,"('unpopular', 'popular')",0.15404508,0.31149462,0.24029374,0.13121676,-0.1061343,-0.0829292,0.0232051
17,-0.60879165,-0.46954384,"('nasty', 'nice')",-0.43793553,-0.31969386,-0.56638706,-0.5124317,-0.5377047,-0.4338898,0.1038149
18,-0.59198296,-0.3057975,"('disagreeable', 'welcoming')",-0.13933547,0.07551664,-0.96503484,-1.0092094,-0.5654511,-0.4131634,0.1522877
19,0.6894751,0.69494605,"('inhospitable', 'hospitable')",0.72517014,0.9096952,-0.1657778,-0.08497419,0.4162891,0.5065557,0.0902666
20,-0.096453294,0.094255835,"('rough', 'thoughtful')",-0.49263516,-0.31904128,0.82121664,0.8623641,0.0773761,0.2125262,0.1351501
21,-1.3973149,-1.1400638,"('immoral', 'moral')",-0.96247053,-0.7551111,-0.9995041,-0.9059467,-1.1197632,-0.9337072,0.186056
22,-0.54793745,-0.3316732,"('untrustworthy', 'trustworthy')",-0.661936,-0.49906698,-1.2173399,-1.2111819,-0.8090711,-0.6806407,0.1284304
23,0.95285285,1.2271926,"('insincere', 'sincere')",-0.42165703,-0.4006701,5.031648,4.805171,1.8542813,1.8772311,0.0229498
24,0.024411425,0.24964137,"('dishonest', 'honest')",-0.5873058,-0.5242255,0.016053148,0.0067372695,-0.1822804,-0.0892823,0.0929981
25,1.3444659,1.2292261,"('egoistic', 'altruistic')",1.0497392,1.059448,1.3801109,1.2858833,1.2581053,1.1915191,-0.0665862
26,2.059981,2.023892,"('hardhearted', 'benevolent')",1.7498848,1.7224871,1.9856983,1.8361306,1.9318547,1.8608365,-0.0710182
27,0.40445945,0.28296182,"('hardhearted', 'softhearted')",-0.2818644,-0.36531517,0.8242032,0.60815257,0.3155994,0.1752664,-0.140333
28,-0.18258369,-0.0729349,"('disloyal', 'loyal')",-1.1835585,-1.1138378,0.83721125,0.79074085,-0.1763103,-0.1320106,0.0442997
29,0.17166299,0.17497145,"('unfair', 'fair')",-0.6524571,-0.76887417,-0.76527905,-0.80923295,-0.4153577,-0.4677119,-0.0523542
30,-0.6070578,-0.35890168,"('intolerant', 'tolerant')",-1.4395689,-1.2669114,0.055044033,0.030823749,-0.6638608,-0.5316631,0.1321977
31,-0.0035273023,0.060961954,"('evil', 'good')",0.8182044,0.9849831,-0.5322628,-0.5585256,0.0941381,0.1624731,0.068335
32,0.7993116,0.91599274,"('unkind', 'kind')",0.09567949,0.04038164,0.5131169,0.33043212,0.4693693,0.4289355,-0.0404338
33,1.4135588,1.253689,"('wrong', 'right')",1.3969373,1.2526287,-0.21711656,-0.24463545,0.8644598,0.7538941,-0.1105657
34,0.2002344,0.488415,"('mean', 'honorable')",-0.15617126,0.13384865,4.75866,4.80732,1.6009076,1.8098612,0.2089536
35,0.5011577,0.2232807,"('corrupt', 'incorrupt')",1.3386958,1.2149075,-0.21614972,-0.27125892,0.5412346,0.3889764,-0.1522582
36,0.2878801,0.3801775,"('hostile', 'amicable')",0.6568797,0.93314415,-0.056864373,-0.13845289,0.2959652,0.3916229,0.0956577
37,0.417096,0.67496747,"('fake', 'genuine')",-0.4421288,-0.36157402,-0.12989697,-0.0826332,-0.0516433,0.0769201,0.1285634
38,-0.1386475,-0.023025915,"('untruthful', 'truthful')",0.09530859,0.18489195,-0.07526009,0.0024343468,-0.039533,0.0547668,0.0942998
39,1.6194191,1.6580657,"('exploitative', 'cooperative')",0.9928788,0.9502391,0.41746086,0.47157794,1.0099196,1.0266275,0.0167079
40,-0.57781595,-0.28063452,"('stingy', 'generous')",-0.60011125,-0.45426005,-1.9869332,-2.0802681,-1.0549535,-0.9383876,0.1165659
41,-0.4316874,-0.14772357,"('unforgiving', 'forgiving')",-0.29146415,-0.0113617,-0.14870447,-0.17024988,-0.2906187,-0.1097784,0.1808403
42,-0.039973643,0.21906549,"('unreliable', 'reliable')",-0.14916533,0.028053641,-2.7464504,-2.5939052,-0.9785298,-0.782262,0.1962678
43,-0.0107634775,0.25259864,"('irresponsible', 'responsible')",-1.0878785,-0.9352197,0.051435262,0.13549553,-0.3490689,-0.1823752,0.1666937
44,-1.6415386,-1.7248319,"('prejudiced', 'unprejudiced')",-0.36568242,-0.46956828,-1.5776013,-1.5547495,-1.1949407,-1.2497166,-0.0547759
45,-1.3973328,-0.88586235,"('incompetent', 'competent')",-2.0142717,-1.6521106,-0.5578113,-0.53500223,-1.3231386,-1.0243251,0.2988135
