,revascularization_male,revascularization_female,tuple,average_male,average_female,female-male
0,-0.9271648,-1.0985031,"('unsociable', 'sociable')",-0.9271648,-1.0985031,-0.1713383
1,-0.47374347,-0.691948,"('unfriendly', 'friendly')",-0.4737435,-0.691948,-0.2182045
2,0.81687546,0.8230583,"('unlikable', 'likable')",0.8168755,0.8230583,0.0061828
3,-0.60455227,-0.56111443,"('repellent', 'pleasant')",-0.6045523,-0.5611144,0.0434379
4,-0.9564188,-0.95475674,"('disliked', 'liked')",-0.9564188,-0.9547567,0.0016621
5,0.22643809,0.30776542,"('distant', 'outgoing')",0.2264381,0.3077654,0.0813273
6,0.0845848,0.11962846,"('distant', 'open')",0.0845848,0.1196285,0.0350437
7,-0.8995135,-0.9350172,"('insensitive', 'sensitive')",-0.8995135,-0.9350172,-0.0355037
8,-1.0447693,-1.253477,"('unaffectionate', 'affectionate')",-1.0447693,-1.253477,-0.2087077
9,-0.8019119,-0.9908531,"('unaffectionate', 'caring')",-0.8019119,-0.9908531,-0.1889412
10,-1.3149467,-1.413236,"('unsympathetic', 'sympathetic')",-1.3149467,-1.413236,-0.0982893
11,0.20452559,0.09771388,"('unhelpful', 'helpful')",0.2045256,0.0977139,-0.1068117
12,-1.006483,-0.9779732,"('unsupportive', 'supportive')",-1.006483,-0.9779732,0.0285098
13,-0.41656622,-0.46783614,"('impolite', 'polite')",-0.4165662,-0.4678361,-0.0512699
14,-0.64281166,-0.654175,"('antisocial', 'social')",-0.6428117,-0.654175,-0.0113633
15,0.8217897,0.7832258,"('boring', 'funny')",0.8217897,0.7832258,-0.0385639
16,0.004468005,-0.108592026,"('unpopular', 'popular')",0.004468,-0.108592,-0.11306
17,-0.25008875,-0.18360373,"('nasty', 'nice')",-0.2500888,-0.1836037,0.0664851
18,0.45972404,0.44813266,"('disagreeable', 'welcoming')",0.459724,0.4481327,-0.0115913
19,-0.5602346,-0.5286867,"('inhospitable', 'hospitable')",-0.5602346,-0.5286867,0.0315479
20,0.2923897,0.29746285,"('rough', 'thoughtful')",0.2923897,0.2974629,0.0050732
21,-0.011918176,-0.025180187,"('immoral', 'moral')",-0.0119182,-0.0251802,-0.013262
22,-0.014632186,-0.038398176,"('untrustworthy', 'trustworthy')",-0.0146322,-0.0383982,-0.023766
23,0.57716364,0.38969892,"('insincere', 'sincere')",0.5771636,0.3896989,-0.1874647
24,-0.3340691,-0.40342164,"('dishonest', 'honest')",-0.3340691,-0.4034216,-0.0693525
25,0.065009944,0.072805434,"('egoistic', 'altruistic')",0.0650099,0.0728054,0.0077955
26,0.5148961,0.37728924,"('hardhearted', 'benevolent')",0.5148961,0.3772892,-0.1376069
27,0.16581531,0.14080825,"('hardhearted', 'softhearted')",0.1658153,0.1408083,-0.025007
28,-0.74916434,-1.0467108,"('disloyal', 'loyal')",-0.7491643,-1.0467108,-0.2975465
29,-0.4486472,-0.47648555,"('unfair', 'fair')",-0.4486472,-0.4764856,-0.0278384
30,0.23466718,0.19659382,"('intolerant', 'tolerant')",0.2346672,0.1965938,-0.0380734
31,-0.049215704,0.07757978,"('evil', 'good')",-0.0492157,0.0775798,0.1267955
32,0.55522907,0.38497233,"('unkind', 'kind')",0.5552291,0.3849723,-0.1702568
33,-0.017947083,-0.070714414,"('wrong', 'right')",-0.0179471,-0.0707144,-0.0527673
34,1.2388742,1.3343517,"('mean', 'honorable')",1.2388742,1.3343517,0.0954775
35,1.0202328,0.98541325,"('corrupt', 'incorrupt')",1.0202328,0.9854133,-0.0348195
36,-0.14273666,-0.2711539,"('hostile', 'amicable')",-0.1427367,-0.2711539,-0.1284172
37,-0.12091277,-0.16073303,"('fake', 'genuine')",-0.1209128,-0.160733,-0.0398202
38,-0.003218133,-0.09250376,"('untruthful', 'truthful')",-0.0032181,-0.0925038,-0.0892857
39,0.430868,0.40042952,"('exploitative', 'cooperative')",0.430868,0.4004295,-0.0304385
40,0.09548977,0.070867665,"('stingy', 'generous')",0.0954898,0.0708677,-0.0246221
41,0.39657757,0.31656015,"('unforgiving', 'forgiving')",0.3965776,0.3165601,-0.0800175
42,-0.723304,-0.63595605,"('unreliable', 'reliable')",-0.723304,-0.635956,0.087348
43,-0.88535684,-0.9072963,"('irresponsible', 'responsible')",-0.8853568,-0.9072963,-0.0219395
44,0.7908568,0.9300512,"('prejudiced', 'unprejudiced')",0.7908568,0.9300512,0.1391944
45,-0.91855145,-0.9434521,"('incompetent', 'competent')",-0.9185514,-0.9434521,-0.0249007
46,-1.0403203,-1.144368,"('uncompetitive', 'competitive')",-1.0403203,-1.1443681,-0.1040478
47,1.1229839,1.1691419,"('stupid', 'smart')",1.1229839,1.1691419,0.046158
48,0.27139172,0.20195538,"('unintelligent', 'intelligent')",0.2713917,0.2019554,-0.0694363
49,0.6656896,0.7348336,"('unable', 'able')",0.6656896,0.7348336,0.069144
50,0.6157626,0.47632343,"('clumsy', 'skillful')",0.6157626,0.4763234,-0.1394392
51,-0.15701932,-0.3004966,"('uneducated', 'educated')",-0.1570193,-0.3004966,-0.1434773
52,0.6952968,0.5419852,"('irrational', 'rational')",0.6952968,0.5419852,-0.1533116
53,-0.72536397,-0.90053463,"('uncreative', 'creative')",-0.725364,-0.9005346,-0.1751706
54,-0.40639263,-0.51953936,"('incapable', 'capable')",-0.4063926,-0.5195394,-0.1131468
55,-1.0535228,-1.1247017,"('incompetent', 'clever')",-1.0535228,-1.1247017,-0.0711789
56,-0.37871924,-0.33583042,"('impractical', 'practical')",-0.3787192,-0.3358304,0.0428888
57,-1.2671307,-1.322187,"('unimaginative', 'imaginative')",-1.2671307,-1.3221869,-0.0550562
58,-1.0662133,-1.1325777,"('undiscriminating', 'discriminating')",-1.0662133,-1.1325777,-0.0663644
59,0.50570726,0.5138218,"('foolish', 'wise')",0.5057073,0.5138218,0.0081145
60,-0.46696228,-0.446324,"('inefficient', 'efficient')",-0.4669623,-0.446324,0.0206383
61,-0.36472473,-0.53136295,"('illogical', 'logical')",-0.3647247,-0.531363,-0.1666383
62,-0.4358533,-0.40058595,"('incompetent', 'brilliant')",-0.4358533,-0.4005859,0.0352674
63,-0.2459331,-0.2853853,"('unperceptive', 'insightful')",-0.2459331,-0.2853853,-0.0394522
64,-1.130959,-0.98977375,"('shy', 'confident')",-1.130959,-0.9897738,0.1411852
65,-1.1389943,-1.1632689,"('insecure', 'secure')",-1.1389943,-1.1632689,-0.0242746
66,-0.6458137,-0.6591337,"('inactive', 'active')",-0.6458137,-0.6591337,-0.01332
67,0.6496505,0.74446833,"('doubtful', 'determined')",0.6496505,0.7444683,0.0948178
68,0.17170288,0.2053199,"('dependent', 'independent')",0.1717029,0.2053199,0.033617
69,1.1534848,1.299784,"('lazy', 'industrious')",1.1534848,1.2997839,0.1462991
70,-0.4206466,-0.44695118,"('lethargic', 'energetic')",-0.4206466,-0.4469512,-0.0263046
71,0.5509376,0.5745885,"('diffident', 'self-confident')",0.5509376,0.5745885,0.0236509
72,-0.95597845,-0.95568895,"('unambitious', 'ambitious')",-0.9559785,-0.955689,0.0002895
73,-0.15451592,-0.11118693,"('helpless', 'self-reliant')",-0.1545159,-0.1111869,0.043329
74,-0.2907372,-0.39159894,"('undedicated', 'dedicated')",-0.2907372,-0.3915989,-0.1008617
75,0.8122297,0.90018827,"('meek', 'impulsive')",0.8122297,0.9001883,0.0879586
76,-0.41241097,-0.3505792,"('anxious', 'daring')",-0.412411,-0.3505792,0.0618318
77,-0.36612383,-0.41931164,"('unmotivated', 'motivated')",-0.3661238,-0.4193116,-0.0531878
78,-0.49030378,-0.53465515,"('nonresilient', 'resilient')",-0.4903038,-0.5346552,-0.0443514
79,-0.44431913,-0.46240067,"('wavering', 'unwavering')",-0.4443191,-0.4624007,-0.0180816
80,-0.06340116,-0.057971418,"('dominated', 'dominating')",-0.0634012,-0.0579714,0.0054298
81,0.041038357,0.044532645,"('submissive', 'aggressive')",0.0410384,0.0445326,0.0034942
82,0.51466525,0.47278732,"('poor', 'rich')",0.5146652,0.4727873,-0.0418779
83,-0.16764602,-0.19113551,"('powerless', 'powerful')",-0.167646,-0.1911355,-0.0234895
84,0.5916873,0.53796333,"('inferior', 'superior')",0.5916873,0.5379633,-0.053724
85,0.7036954,0.5907071,"('insignificant', 'prestigious')",0.7036954,0.5907071,-0.1129883
86,-1.3832535,-1.6030244,"('uninfluential', 'influential')",-1.3832535,-1.6030244,-0.2197709
87,0.11998666,0.08017715,"('unsuccessful', 'successful')",0.1199867,0.0801772,-0.0398095
88,0.8225593,0.6792673,"('low', 'eminent')",0.8225593,0.6792673,-0.143292
