,becton_male,becton_female,tuple,dickinson_male,dickinson_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-1.054542,-1.2081281,"('unsociable', 'sociable')",0.97111744,0.7698772,0.7389115,0.80859655,-0.23732847,-0.24683575,0.1045396,0.0308775,-0.0736621
1,-1.8280314,-1.8924999,"('unfriendly', 'friendly')",-0.08331258,-0.14574856,0.6607236,0.6087569,1.6379833,1.4091814,0.0968407,-0.0050776,-0.1019183
2,-0.23891573,-0.08892386,"('unlikable', 'likable')",-0.24040276,-0.11352664,1.0035384,1.1443672,0.66742414,0.87041587,0.297911,0.4530832,0.1551722
3,0.119361,0.34431508,"('repellent', 'pleasant')",-1.019839,-0.81895906,-0.91255695,-0.81744075,0.12310426,0.21864185,-0.4224827,-0.2683607,0.154122
4,0.4858486,0.33345366,"('disliked', 'liked')",-1.1252149,-1.3606966,0.12810719,-0.1000028,-6.4519577,-6.211537,-1.7408042,-1.8346956,-0.0938914
5,0.05373351,0.025898114,"('distant', 'outgoing')",-0.6255811,-0.75239944,0.53633267,0.45013875,0.30681714,0.3628014,0.0678256,0.0216097,-0.0462159
6,-0.5112844,-0.47713584,"('distant', 'open')",-0.5322355,-0.5532083,0.5095447,0.42947036,0.44663435,0.40947372,-0.0218352,-0.04785,-0.0260148
7,-0.6294229,-0.529531,"('insensitive', 'sensitive')",1.7187623,1.8978997,-0.02139642,0.1930176,-0.07799537,-0.047507264,0.2474869,0.3784698,0.1309829
8,-2.0027466,-2.0569098,"('unaffectionate', 'affectionate')",0.79299974,0.71824914,0.82193565,0.8046761,1.5132494,1.2590259,0.2813596,0.1812603,-0.1000993
9,-1.8883872,-1.9094132,"('unaffectionate', 'caring')",0.8158005,0.7595332,0.705678,0.69980234,1.4765491,1.3096664,0.2774101,0.2148972,-0.0625129
10,-0.66205764,-0.6087594,"('unsympathetic', 'sympathetic')",0.5626146,0.6190094,-0.009798199,0.1218541,0.0035941899,-0.045563787,-0.0264118,0.0216351,0.0480469
11,-0.5819419,-0.5059406,"('unhelpful', 'helpful')",0.5401739,0.53372955,-0.69336045,-0.50141656,1.5904149,1.6387584,0.2138216,0.2912827,0.0774611
12,-0.5825678,-0.44850793,"('unsupportive', 'supportive')",1.265932,1.3847346,0.8713149,1.1184694,-1.9979516,-1.8807765,-0.1108181,0.0434799,0.154298
13,0.3177979,0.35605305,"('impolite', 'polite')",0.36525622,0.38447228,-0.19773507,0.017823856,-0.39157832,-0.28313535,0.0234352,0.1188035,0.0953683
