,darden_male,darden_female,tuple,restaurants_male,restaurants_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0705776,-1.4672761,"('unsociable', 'sociable')",1.7345221,1.6390507,-0.16158621,-0.33701307,0.1674528,-0.0550795,-0.2225323
1,-1.4990991,-1.2226859,"('unfriendly', 'friendly')",0.27317733,0.10026789,1.7988287,1.5332806,0.190969,0.1369542,-0.0540148
2,0.64214593,0.54945177,"('unlikable', 'likable')",1.5174066,1.4717597,0.6775892,0.6744124,0.9457139,0.8985413,-0.0471726
3,-0.7393042,-0.7965119,"('repellent', 'pleasant')",-0.57693136,-0.36552906,-0.044171363,0.08573009,-0.453469,-0.3587703,0.0946987
4,0.0059054084,0.094415836,"('disliked', 'liked')",-0.42639416,-0.4793429,-5.9582696,-5.8666005,-2.1262528,-2.0838426,0.0424102
5,0.56942874,0.823342,"('distant', 'outgoing')",0.2378141,0.1491942,0.34993994,0.28908762,0.3857276,0.4205413,0.0348137
6,0.3180693,0.5527458,"('distant', 'open')",0.14496179,0.015893243,0.6930131,0.54237795,0.3853481,0.370339,-0.0150091
7,-0.4611677,-0.6460829,"('insensitive', 'sensitive')",0.3008958,0.51230395,0.8166008,0.8429476,0.2187763,0.2363896,0.0176133
8,-0.1908379,-0.036156204,"('unaffectionate', 'affectionate')",-0.36949483,-0.53090066,0.5912174,0.39265907,0.0102949,-0.0581326,-0.0684275
9,-0.50627196,-0.43240768,"('unaffectionate', 'caring')",0.26469964,0.24074794,1.1744314,1.120084,0.310953,0.3094748,-0.0014782
10,-1.2464037,-1.7380972,"('unsympathetic', 'sympathetic')",0.30060923,0.39327428,-0.23306695,-0.24231166,-0.3929538,-0.5290449,-0.1360911
11,-0.42800227,-0.53846884,"('unhelpful', 'helpful')",0.19935754,0.34456897,2.2372186,2.3635883,0.6695247,0.7232295,0.0537048
12,0.25691953,0.12750636,"('unsupportive', 'supportive')",0.91821194,0.9972365,-1.1696708,-1.1420592,0.0018202,-0.0057721,-0.0075923
13,-0.2087564,-0.61143446,"('impolite', 'polite')",2.1265783,2.1000292,0.38631916,0.37320253,0.768047,0.6205991,-0.1474479
14,-0.3576906,-0.6614174,"('antisocial', 'social')",1.9297223,2.0779603,-0.3865897,-0.3007465,0.3951473,0.3719321,-0.0232152
15,0.37618554,0.62055725,"('boring', 'funny')",0.7358636,0.60375077,0.33147982,0.28038138,0.4811763,0.5015632,0.0203869
