,linde_male,linde_female,tuple,plc_male,plc_female,average_male,average_female,female-male
0,-0.7994678,-0.8232024,"('unsociable', 'sociable')",-0.14899886,-0.216143,-0.4742333,-0.5196727,-0.0454394
1,-0.81703293,-0.9034466,"('unfriendly', 'friendly')",2.0868542,1.9200835,0.6349106,0.5083184,-0.1265922
2,0.2898346,0.32448912,"('unlikable', 'likable')",0.24534209,0.20654365,0.2675883,0.2655164,-0.0020719
3,-0.5130142,-0.41379243,"('repellent', 'pleasant')",-0.32718366,-0.275492,-0.4200989,-0.3446422,0.0754567
4,0.42469108,0.49130416,"('disliked', 'liked')",-3.5820584,-3.5814676,-1.5786836,-1.5450817,0.0336019
5,-0.69995254,-0.7339242,"('distant', 'outgoing')",0.17601342,0.0828236,-0.2619696,-0.3255503,-0.0635807
6,-0.64513975,-0.6287116,"('distant', 'open')",0.124621116,0.012750603,-0.2602593,-0.3079805,-0.0477212
7,0.2772928,0.33517343,"('insensitive', 'sensitive')",0.7570626,0.7778517,0.5171777,0.5565126,0.0393349
8,-0.909098,-0.99347425,"('unaffectionate', 'affectionate')",0.9283742,0.73325545,0.0096381,-0.1301094,-0.1397475
9,-1.0013732,-1.0514657,"('unaffectionate', 'caring')",1.1851505,1.0501946,0.0918887,-0.0006356,-0.0925243
10,-0.87994134,-0.77820456,"('unsympathetic', 'sympathetic')",-0.37150788,-0.32348722,-0.6257246,-0.5508459,0.0748787
11,-1.2482884,-1.2475911,"('unhelpful', 'helpful')",0.8211904,0.84874934,-0.213549,-0.1994209,0.0141281
12,-0.59618783,-0.5133383,"('unsupportive', 'supportive')",-0.6986674,-0.6679151,-0.6474276,-0.5906267,0.0568009
13,-0.89011055,-0.8910563,"('impolite', 'polite')",-0.696319,-0.6362225,-0.7932148,-0.7636394,0.0295754
14,0.58733755,0.61699617,"('antisocial', 'social')",0.96722865,1.017661,0.7772831,0.8173286,0.0400455
15,-0.095653325,-0.1660571,"('boring', 'funny')",0.022113554,-0.062427413,-0.0367699,-0.1142423,-0.0774724
16,-0.46979886,-0.47414273,"('unpopular', 'popular')",-0.32975814,-0.39709938,-0.3997785,-0.4356211,-0.0358426
17,-0.070681676,-0.013497777,"('nasty', 'nice')",-1.0505714,-1.0760067,-0.5606266,-0.5447522,0.0158744
18,-0.11743249,-0.034154084,"('disagreeable', 'welcoming')",-0.8443426,-0.9776199,-0.4808875,-0.505887,-0.0249995
19,-0.7571195,-0.6969398,"('inhospitable', 'hospitable')",-0.50952995,-0.5909526,-0.6333247,-0.6439462,-0.0106215
20,0.35779285,0.45508274,"('rough', 'thoughtful')",1.2274952,1.1896977,0.792644,0.8223903,0.0297463
21,-0.87339675,-0.8409397,"('immoral', 'moral')",-0.9987105,-0.9357384,-0.9360536,-0.888339,0.0477146
22,0.25330848,0.33374783,"('untrustworthy', 'trustworthy')",-0.11578196,-0.12608722,0.0687633,0.1038303,0.035067
23,-0.56141627,-0.60617805,"('insincere', 'sincere')",3.7304938,3.588074,1.5845387,1.490948,-0.0935907
24,-0.4582432,-0.40923762,"('dishonest', 'honest')",0.6031318,0.548357,0.0724443,0.0695597,-0.0028846
