,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.42398697,-0.51514214,"('unsociable', 'sociable')",-0.23071328,-0.39846087,-0.3273501,-0.4568015,-0.1294514
1,0.8174935,0.9479444,"('unfriendly', 'friendly')",1.5774014,1.416377,1.1974474,1.1821606,-0.0152868
2,0.15544522,0.1945019,"('unlikable', 'likable')",0.68883175,0.76863354,0.4221385,0.4815677,0.0594292
3,-1.3514107,-1.2075006,"('repellent', 'pleasant')",0.08152899,0.09987775,-0.6349409,-0.5538114,0.0811295
4,0.036206312,0.12533046,"('disliked', 'liked')",-6.530875,-6.5604463,-3.2473345,-3.2175579,0.0297766
5,1.2766757,1.3548462,"('distant', 'outgoing')",-0.19367039,-0.18590185,0.5415027,0.5844722,0.0429695
6,1.465757,1.6054643,"('distant', 'open')",0.2663186,0.25888738,0.8660378,0.9321759,0.0661381
7,-0.539003,-0.47325692,"('insensitive', 'sensitive')",0.336894,0.32722294,-0.1010545,-0.073017,0.0280375
8,0.7823669,0.8103165,"('unaffectionate', 'affectionate')",0.43317693,0.36689675,0.6077719,0.5886066,-0.0191653
9,0.97452116,1.0063667,"('unaffectionate', 'caring')",0.9689702,0.9507952,0.9717457,0.978581,0.0068353
10,-1.9886192,-1.9749495,"('unsympathetic', 'sympathetic')",-0.4016951,-0.44972014,-1.1951572,-1.2123349,-0.0171777
11,-0.30657044,-0.36010772,"('unhelpful', 'helpful')",2.0837228,2.1648293,0.8885762,0.9023608,0.0137846
12,-0.080844425,0.0420798,"('unsupportive', 'supportive')",-1.764328,-1.7491913,-0.9225862,-0.8535557,0.0690305
13,-0.34467888,-0.5315338,"('impolite', 'polite')",-0.23188758,-0.25949764,-0.2882832,-0.3955157,-0.1072325
14,-1.1065822,-1.2138604,"('antisocial', 'social')",-0.7091467,-0.7893413,-0.9078645,-1.0016009,-0.0937364
15,1.1324487,1.0407693,"('boring', 'funny')",0.25033042,0.23405208,0.6913896,0.6374107,-0.0539789
16,0.33104125,0.48183236,"('unpopular', 'popular')",0.75325245,0.7162789,0.5421469,0.5990556,0.0569087
17,0.041036334,0.11361808,"('nasty', 'nice')",-0.42176282,-0.38430816,-0.1903632,-0.135345,0.0550182
18,-1.1314029,-1.0236585,"('disagreeable', 'welcoming')",-0.5940061,-0.62958664,-0.8627045,-0.8266226,0.0360819
19,-0.63339496,-0.5540343,"('inhospitable', 'hospitable')",-0.20775318,-0.1252635,-0.4205741,-0.3396489,0.0809252
20,-0.21809931,-0.13877515,"('rough', 'thoughtful')",1.1215261,1.0723104,0.4517134,0.4667676,0.0150542
21,-1.6717091,-1.702692,"('immoral', 'moral')",-0.6281209,-0.6578308,-1.149915,-1.1802614,-0.0303464
22,-1.4491309,-1.4444423,"('untrustworthy', 'trustworthy')",-1.0609808,-1.1218103,-1.2550559,-1.2831264,-0.0280705
23,-0.6549285,-0.7560197,"('insincere', 'sincere')",6.053561,5.9414263,2.6993163,2.5927033,-0.106613
24,-0.18840164,-0.20281187,"('dishonest', 'honest')",0.6467864,0.6003177,0.2291924,0.1987529,-0.0304395
25,0.7794796,0.842658,"('egoistic', 'altruistic')",1.342973,1.2898376,1.0612264,1.0662478,0.0050214
26,0.83264774,0.7945195,"('hardhearted', 'benevolent')",1.4635241,1.3000119,1.148086,1.0472656,-0.1008204
27,0.37851426,0.454695,"('hardhearted', 'softhearted')",0.86021346,0.81479144,0.6193638,0.6347432,0.0153794
28,-1.0842062,-1.1978754,"('disloyal', 'loyal')",0.6897305,0.5832429,-0.1972378,-0.3073162,-0.1100784
