,bowtie_male,bowtie_female,tuple,average_male,average_female,female-male
0,0.37215355,-0.013677561,"('unsociable', 'sociable')",0.3721536,-0.0136776,-0.3858312
1,-0.97972614,-1.0951318,"('unfriendly', 'friendly')",-0.9797261,-1.0951318,-0.1154057
2,-0.2502085,-0.1572534,"('unlikable', 'likable')",-0.2502085,-0.1572534,0.0929551
3,-0.63687074,-0.40392822,"('repellent', 'pleasant')",-0.6368707,-0.4039282,0.2329425
4,-3.0362825,-3.063807,"('disliked', 'liked')",-3.0362825,-3.063807,-0.0275245
5,-1.3097184,-1.1252117,"('distant', 'outgoing')",-1.3097184,-1.1252117,0.1845067
6,-1.3221056,-1.1322114,"('distant', 'open')",-1.3221056,-1.1322114,0.1898942
7,0.10499924,0.05760788,"('insensitive', 'sensitive')",0.1049992,0.0576079,-0.0473913
8,-1.0768907,-1.1198034,"('unaffectionate', 'affectionate')",-1.0768907,-1.1198034,-0.0429127
9,-0.73803073,-0.76933396,"('unaffectionate', 'caring')",-0.7380307,-0.769334,-0.0313033
10,0.22451667,0.14761741,"('unsympathetic', 'sympathetic')",0.2245167,0.1476174,-0.0768993
11,1.145388,1.2243558,"('unhelpful', 'helpful')",1.145388,1.2243558,0.0789678
12,-0.93190336,-0.93184865,"('unsupportive', 'supportive')",-0.9319034,-0.9318486,5.48e-05
13,0.7773113,0.5048532,"('impolite', 'polite')",0.7773113,0.5048532,-0.2724581
14,0.9216962,0.54160166,"('antisocial', 'social')",0.9216962,0.5416017,-0.3800945
15,0.7573775,0.44609725,"('boring', 'funny')",0.7573775,0.4460973,-0.3112802
16,-1.0289303,-0.76138854,"('unpopular', 'popular')",-1.0289303,-0.7613885,0.2675418
17,-0.17687257,-0.05069005,"('nasty', 'nice')",-0.1768726,-0.0506901,0.1261825
18,-1.1877624,-0.97488266,"('disagreeable', 'welcoming')",-1.1877624,-0.9748827,0.2128797
19,-1.1811442,-0.85848004,"('inhospitable', 'hospitable')",-1.1811442,-0.85848,0.3226642
20,0.35495448,0.43549034,"('rough', 'thoughtful')",0.3549545,0.4354903,0.0805358
21,0.26790476,0.44361463,"('immoral', 'moral')",0.2679048,0.4436146,0.1757098
22,0.12867509,-0.17887683,"('untrustworthy', 'trustworthy')",0.1286751,-0.1788768,-0.3075519
23,2.6279712,2.6000183,"('insincere', 'sincere')",2.6279712,2.6000183,-0.0279529
24,0.3414747,0.14165121,"('dishonest', 'honest')",0.3414747,0.1416512,-0.1998235
25,-0.5327434,-0.4888543,"('egoistic', 'altruistic')",-0.5327434,-0.4888543,0.0438891
26,0.14649859,-0.4324887,"('hardhearted', 'benevolent')",0.1464986,-0.4324887,-0.5789873
27,0.24903995,0.09505011,"('hardhearted', 'softhearted')",0.2490399,0.0950501,-0.1539898
28,0.22536509,0.14013556,"('disloyal', 'loyal')",0.2253651,0.1401356,-0.0852295
29,-0.8346458,-0.93777335,"('unfair', 'fair')",-0.8346458,-0.9377733,-0.1031275
30,0.6856453,0.5541775,"('intolerant', 'tolerant')",0.6856453,0.5541775,-0.1314678
31,-2.0437093,-1.9783224,"('evil', 'good')",-2.0437093,-1.9783224,0.0653869
32,0.9894895,0.787256,"('unkind', 'kind')",0.9894895,0.787256,-0.2022335
33,-0.27619207,-0.34005952,"('wrong', 'right')",-0.2761921,-0.3400595,-0.0638674
34,1.9342045,2.262373,"('mean', 'honorable')",1.9342045,2.262373,0.3281685
35,-0.8598624,-0.85199714,"('corrupt', 'incorrupt')",-0.8598624,-0.8519971,0.0078653
36,-1.9686899,-1.8625582,"('hostile', 'amicable')",-1.9686899,-1.8625582,0.1061317
37,0.49477246,0.3766302,"('fake', 'genuine')",0.4947725,0.3766302,-0.1181423
38,0.14785828,0.17025112,"('untruthful', 'truthful')",0.1478583,0.1702511,0.0223928
39,0.56021774,0.55354995,"('exploitative', 'cooperative')",0.5602177,0.5535499,-0.0066678
40,-1.7521085,-1.8510915,"('stingy', 'generous')",-1.7521085,-1.8510915,-0.098983
41,0.11871648,0.022475671,"('unforgiving', 'forgiving')",0.1187165,0.0224757,-0.0962408
42,-0.4901241,-0.44226667,"('unreliable', 'reliable')",-0.4901241,-0.4422667,0.0478574
43,0.6786253,0.47514004,"('irresponsible', 'responsible')",0.6786253,0.47514,-0.2034853
44,-0.41464347,-0.4136538,"('prejudiced', 'unprejudiced')",-0.4146435,-0.4136538,0.0009897
45,0.47699985,0.1459696,"('incompetent', 'competent')",0.4769998,0.1459696,-0.3310302
46,0.15092838,0.18247417,"('uncompetitive', 'competitive')",0.1509284,0.1824742,0.0315458
47,2.6234603,2.5767422,"('stupid', 'smart')",2.6234603,2.5767422,-0.0467181
48,-0.19992599,-0.07592551,"('unintelligent', 'intelligent')",-0.199926,-0.0759255,0.1240005
49,-0.58306813,-0.27801195,"('unable', 'able')",-0.5830681,-0.2780119,0.3050562
50,-0.051468194,0.19750087,"('clumsy', 'skillful')",-0.0514682,0.1975009,0.2489691
51,0.08179922,0.12855487,"('uneducated', 'educated')",0.0817992,0.1285549,0.0467557
52,-1.4691045,-1.5176461,"('irrational', 'rational')",-1.4691045,-1.5176461,-0.0485416
53,-1.6473714,-1.5884134,"('uncreative', 'creative')",-1.6473714,-1.5884134,0.058958
54,-0.9986528,-0.87260246,"('incapable', 'capable')",-0.9986528,-0.8726025,0.1260503
55,0.82925993,0.8173012,"('incompetent', 'clever')",0.8292599,0.8173012,-0.0119587
56,1.8252922,1.6484064,"('impractical', 'practical')",1.8252922,1.6484064,-0.1768858
57,-1.640987,-1.9816152,"('unimaginative', 'imaginative')",-1.640987,-1.9816152,-0.3406282
58,-0.15006667,-0.33122683,"('undiscriminating', 'discriminating')",-0.1500667,-0.3312268,-0.1811601
59,-0.8270922,-0.7748364,"('foolish', 'wise')",-0.8270922,-0.7748364,0.0522558
60,1.4542999,1.5183172,"('inefficient', 'efficient')",1.4542999,1.5183172,0.0640173
61,-0.19755894,-0.42857975,"('illogical', 'logical')",-0.1975589,-0.4285797,-0.2310208
62,0.6912224,0.6750644,"('incompetent', 'brilliant')",0.6912224,0.6750644,-0.016158
63,0.19887978,0.32107985,"('unperceptive', 'insightful')",0.1988798,0.3210799,0.1222001
64,-2.1664221,-2.2716348,"('shy', 'confident')",-2.1664221,-2.2716348,-0.1052127
65,0.9568765,0.68111396,"('insecure', 'secure')",0.9568765,0.681114,-0.2757625
66,-1.0075883,-1.1589341,"('inactive', 'active')",-1.0075883,-1.1589341,-0.1513458
67,0.60009336,0.51721936,"('doubtful', 'determined')",0.6000934,0.5172194,-0.082874
68,-0.48580417,-0.16016154,"('dependent', 'independent')",-0.4858042,-0.1601615,0.3256427
69,-1.0974677,-1.0895863,"('lazy', 'industrious')",-1.0974677,-1.0895863,0.0078814
70,0.54970074,0.397445,"('lethargic', 'energetic')",0.5497007,0.397445,-0.1522557
71,0.38385212,0.5011701,"('diffident', 'self-confident')",0.3838521,0.5011701,0.117318
72,-0.46483955,-0.5575354,"('unambitious', 'ambitious')",-0.4648395,-0.5575354,-0.0926959
73,-1.4817276,-1.3598353,"('helpless', 'self-reliant')",-1.4817276,-1.3598353,0.1218923
74,0.3807594,0.28946596,"('undedicated', 'dedicated')",0.3807594,0.289466,-0.0912934
75,-0.7694885,-0.64752364,"('meek', 'impulsive')",-0.7694885,-0.6475236,0.1219649
76,0.3870194,0.5027433,"('anxious', 'daring')",0.3870194,0.5027433,0.1157239
77,-1.2347822,-0.90602446,"('unmotivated', 'motivated')",-1.2347822,-0.9060245,0.3287577
78,-0.6060494,-0.31250826,"('nonresilient', 'resilient')",-0.6060494,-0.3125083,0.2935411
79,-1.1981694,-0.9751712,"('wavering', 'unwavering')",-1.1981694,-0.9751712,0.2229982
80,1.0343219,0.7549077,"('dominated', 'dominating')",1.0343219,0.7549077,-0.2794142
81,0.8706586,0.7567598,"('submissive', 'aggressive')",0.8706586,0.7567598,-0.1138988
82,2.2330027,2.3913856,"('poor', 'rich')",2.2330027,2.3913856,0.1583829
83,0.123692274,0.07236093,"('powerless', 'powerful')",0.1236923,0.0723609,-0.0513314
84,0.0065898076,0.04264548,"('inferior', 'superior')",0.0065898,0.0426455,0.0360557
85,-1.8401115,-1.6287851,"('insignificant', 'prestigious')",-1.8401115,-1.6287851,0.2113264
86,-0.6571682,-0.8888232,"('uninfluential', 'influential')",-0.6571682,-0.8888232,-0.231655
87,0.1271209,-0.058940835,"('unsuccessful', 'successful')",0.1271209,-0.0589408,-0.1860617
88,-0.2819335,-0.19367158,"('low', 'eminent')",-0.2819335,-0.1936716,0.0882619
