,state_male,state_female,tuple,street_male,street_female,corp_male,corp_female,average_male,average_female,female-male
0,0.08888549,-0.07131064,"('unsociable', 'sociable')",0.93209827,0.91445774,0.5652957,0.5542896,0.5287598,0.4658122,-0.0629476
1,-0.25405774,-0.35612068,"('unfriendly', 'friendly')",-0.63410234,-0.8207588,1.2398047,1.1256528,0.1172149,-0.0170756,-0.1342905
2,0.19828013,0.19958544,"('unlikable', 'likable')",0.12514287,0.20457236,0.18788107,0.20891549,0.1704347,0.2043578,0.0339231
3,-0.009554118,0.04663958,"('repellent', 'pleasant')",0.41818509,0.61068624,0.40266827,0.4964183,0.2704331,0.3845814,0.1141483
4,0.4498251,0.44812155,"('disliked', 'liked')",-0.2410271,-0.23349565,-8.122887,-8.203676,-2.6380296,-2.6630168,-0.0249872
5,0.56823266,0.61262447,"('distant', 'outgoing')",-0.30625454,-0.44364783,-0.9262753,-0.9502927,-0.2214324,-0.2604387,-0.0390063
6,0.76188207,0.8468181,"('distant', 'open')",-0.3037222,-0.43571532,-0.6962261,-0.7353095,-0.0793554,-0.1080689,-0.0287135
7,0.27636003,0.251591,"('insensitive', 'sensitive')",0.7575848,0.92301244,1.8002088,1.9128544,0.9447179,1.0291526,0.0844347
8,0.028846012,-0.02329526,"('unaffectionate', 'affectionate')",-0.45273477,-0.62777233,0.8865784,0.78777564,0.1542299,0.0455693,-0.1086606
9,0.2204694,0.17335093,"('unaffectionate', 'caring')",-0.47672993,-0.5562004,1.5640658,1.549075,0.4359351,0.3887419,-0.0471932
10,-0.63997704,-0.7520732,"('unsympathetic', 'sympathetic')",0.6980887,0.76701766,0.8742461,0.98563844,0.3107859,0.3335276,0.0227417
11,0.032601256,-0.020202463,"('unhelpful', 'helpful')",0.17832741,0.2725984,2.2775013,2.450089,0.8294767,0.9008283,0.0713516
12,0.7372644,0.6557338,"('unsupportive', 'supportive')",0.39396307,0.50227386,-1.3732208,-1.2912691,-0.0806644,-0.0444205,0.0362439
13,0.29457062,0.24420224,"('impolite', 'polite')",0.53695047,0.5961834,0.2792562,0.4216435,0.3702591,0.4206764,0.0504173
14,0.4717322,0.47464466,"('antisocial', 'social')",1.4384208,1.5438783,0.5272018,0.5690563,0.8124515,0.8625264,0.0500749
15,0.8167305,0.7505943,"('boring', 'funny')",0.8905749,0.7839271,0.09069915,0.02155528,0.5993349,0.5186922,-0.0806427
16,-0.46972993,-0.5651761,"('unpopular', 'popular')",-1.4258211,-1.4707128,-0.40783846,-0.4099488,-0.7677965,-0.8152792,-0.0474827
17,0.8995432,0.9946108,"('nasty', 'nice')",-0.07136536,-0.015850484,-0.21102674,-0.13946314,0.205717,0.2797657,0.0740487
18,0.2554818,0.39864996,"('disagreeable', 'welcoming')",-0.54821986,-0.37336248,-0.3606083,-0.2691207,-0.2177821,-0.0812777,0.1365044
19,0.057680257,0.11651127,"('inhospitable', 'hospitable')",-0.5153506,-0.56500745,-0.87269306,-0.8773309,-0.4434545,-0.4419424,0.0015121
20,-1.0067812,-0.8839806,"('rough', 'thoughtful')",-0.16505626,-0.044354126,0.15469864,0.10819267,-0.3390463,-0.2733807,0.0656656
21,0.43632862,0.42487472,"('immoral', 'moral')",0.6659472,0.87610894,0.26777652,0.4551666,0.4566841,0.5853834,0.1286993
22,0.40984443,0.3395739,"('untrustworthy', 'trustworthy')",0.724014,0.8370357,-0.3731513,-0.2997111,0.253569,0.2922995,0.0387305
23,-0.24144574,-0.33662787,"('insincere', 'sincere')",1.0170947,1.0981152,6.950665,7.1188498,2.575438,2.6267791,0.0513411
24,0.40805566,0.4213716,"('dishonest', 'honest')",0.11756246,0.18692064,1.4377196,1.4811459,0.6544459,0.6964793,0.0420334
25,-0.12377918,-0.09638219,"('egoistic', 'altruistic')",-0.88820946,-0.93466586,0.655705,0.55674994,-0.1187612,-0.1580994,-0.0393382
26,1.2346166,1.0356191,"('hardhearted', 'benevolent')",1.1733996,0.9015028,1.5027088,1.2688868,1.303575,1.0686696,-0.2349054
27,0.05854002,0.06607726,"('hardhearted', 'softhearted')",0.324826,0.20476457,1.4017844,1.2472689,0.5950501,0.5060369,-0.0890132
28,0.22788389,0.10826722,"('disloyal', 'loyal')",-0.4363925,-0.4471033,1.5595756,1.4478967,0.4503556,0.3696869,-0.0806687
29,0.14280498,0.21283074,"('unfair', 'fair')",0.23756972,0.30452785,0.11987176,0.023550496,0.1667488,0.180303,0.0135542
30,1.0891587,1.0493413,"('intolerant', 'tolerant')",0.9778108,1.0410873,0.90271336,1.0034173,0.9898942,1.0312819,0.0413877
31,-0.07301703,-0.016977947,"('evil', 'good')",-1.2397834,-1.307193,-1.6714388,-1.8250178,-0.9947464,-1.0497296,-0.0549832
32,-0.27636763,-0.3526211,"('unkind', 'kind')",0.4429454,0.37522563,1.6490759,1.6371822,0.6052179,0.5532622,-0.0519557
33,1.3117791,1.3059382,"('wrong', 'right')",-0.51195914,-0.48321453,-0.39162612,-0.48421082,0.1360646,0.1128376,-0.023227
