,broadcom_male,broadcom_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.99214256,-1.3093386,"('unsociable', 'sociable')",-0.12913662,-0.32550198,-0.5606396,-0.8174202,-0.2567806
1,-1.1244671,-1.2433087,"('unfriendly', 'friendly')",1.5965345,1.4425429,0.2360337,0.0996171,-0.1364166
2,0.465057,0.45051786,"('unlikable', 'likable')",0.64309406,0.6991716,0.5540755,0.5748447,0.0207692
3,0.13682136,0.208037,"('repellent', 'pleasant')",0.016074171,0.092653066,0.0764478,0.150345,0.0738972
4,-0.24325305,-0.28324857,"('disliked', 'liked')",-6.0169206,-6.028011,-3.1300869,-3.1556296,-0.0255427
5,-0.8849055,-0.79194134,"('distant', 'outgoing')",-0.24433249,-0.14588024,-0.564619,-0.4689108,0.0957082
6,-1.1441659,-1.020566,"('distant', 'open')",0.1400528,0.17152967,-0.5020565,-0.4245182,0.0775383
7,-0.4173698,-0.40752563,"('insensitive', 'sensitive')",0.65230376,0.6509042,0.117467,0.1216893,0.0042223
8,-1.4600831,-1.5399626,"('unaffectionate', 'affectionate')",0.281827,0.20929205,-0.5891281,-0.6653353,-0.0762072
9,-1.0125779,-1.0453534,"('unaffectionate', 'caring')",0.8746185,0.89637804,-0.0689797,-0.0744877,-0.005508
10,-0.62112993,-0.7700095,"('unsympathetic', 'sympathetic')",-0.12108031,-0.2656893,-0.3711051,-0.5178494,-0.1467443
11,-0.3862632,-0.48574215,"('unhelpful', 'helpful')",1.8568825,1.8869109,0.7353096,0.7005844,-0.0347252
12,-0.36072034,-0.3020397,"('unsupportive', 'supportive')",-1.7611301,-1.7556406,-1.0609252,-1.0288402,0.032085
13,-0.35834038,-0.6008111,"('impolite', 'polite')",0.0035075322,-0.018703911,-0.1774164,-0.3097575,-0.1323411
14,0.9895555,0.8452565,"('antisocial', 'social')",-0.20197114,-0.25706977,0.3937922,0.2940934,-0.0996988
