,alexion_male,alexion_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2778672,-1.5294707,"('unsociable', 'sociable')",0.50249785,0.31122962,-0.53042006,-0.7614731,-0.4352632,-0.6599047,-0.2246415
1,-0.6497473,-0.49942002,"('unfriendly', 'friendly')",0.29376224,0.2162616,1.6922516,1.5993103,0.4454222,0.4387173,-0.0067049
2,0.4558182,0.52716476,"('unlikable', 'likable')",0.5736266,0.5537023,1.0868757,1.2041643,0.7054402,0.7616771,0.0562369
3,-1.1388179,-1.1377602,"('repellent', 'pleasant')",-0.926965,-0.8461565,-0.24211581,-0.21388435,-0.7692996,-0.7326004,0.0366992
4,-0.019273615,0.056392413,"('disliked', 'liked')",0.05553459,0.007247685,-5.6681166,-5.6606207,-1.8772852,-1.8656602,0.011625
5,-0.5977188,-0.31243303,"('distant', 'outgoing')",-0.1680916,-0.14586,0.3579139,0.514209,-0.1359655,0.0186387,0.1546042
6,-0.64193624,-0.35825798,"('distant', 'open')",-0.36484554,-0.3353582,0.89363545,1.0212862,-0.0377155,0.1092234,0.1469389
7,-1.1809903,-1.3410758,"('insensitive', 'sensitive')",-0.8566404,-0.8103356,0.046675824,-0.01990433,-0.6636517,-0.7237719,-0.0601202
8,1.7261388,1.8571159,"('unaffectionate', 'affectionate')",0.15300658,0.2101689,0.699158,0.7665216,0.8594344,0.9446022,0.0851678
9,0.79108953,0.92953134,"('unaffectionate', 'caring')",0.28883046,0.36114216,1.1372561,1.2155694,0.7390587,0.8354143,0.0963556
10,-1.8672101,-2.1790304,"('unsympathetic', 'sympathetic')",-0.80336106,-0.8287877,-0.855239,-0.97668856,-1.1752701,-1.3281689,-0.1528988
11,-0.37783968,-0.47635576,"('unhelpful', 'helpful')",-0.017144043,-0.04422217,1.5638977,1.5808058,0.389638,0.3534093,-0.0362287
12,0.38165414,0.34924465,"('unsupportive', 'supportive')",0.5828783,0.65254885,-1.906238,-1.8833464,-0.3139018,-0.293851,0.0200508
13,-1.8006268,-2.065709,"('impolite', 'polite')",-1.076402,-1.2425001,-0.2641671,-0.40054816,-1.0470653,-1.2362525,-0.1891872
14,-1.207266,-1.381763,"('antisocial', 'social')",0.24813412,0.26648092,-0.76575357,-0.87330145,-0.5749618,-0.6628612,-0.0878994
15,-0.48416895,-0.48317483,"('boring', 'funny')",-0.45123744,-0.5400427,0.36888006,0.33262056,-0.1888421,-0.230199,-0.0413569
16,-0.37690723,-0.31360817,"('unpopular', 'popular')",0.34454983,0.37817267,1.0412025,1.0269334,0.3362817,0.3638326,0.0275509
17,-0.7247887,-0.6941727,"('nasty', 'nice')",-1.0513608,-1.0315131,-0.656802,-0.59290993,-0.8109838,-0.7728653,0.0381185
18,0.50503474,0.43834782,"('disagreeable', 'welcoming')",-0.048344918,-0.009779483,-0.12537996,-0.16529006,0.1104366,0.0877594,-0.0226772
19,-1.0972724,-0.8848337,"('inhospitable', 'hospitable')",-0.8601276,-0.8769666,-0.11135482,0.0026535075,-0.689585,-0.5863823,0.1032027
20,-0.5383353,-0.61092794,"('rough', 'thoughtful')",0.5163029,0.5690949,0.86365145,0.83876324,0.2805397,0.2656434,-0.0148963
21,-0.9230504,-1.1850626,"('immoral', 'moral')",-0.17669918,-0.288858,-1.105153,-1.236929,-0.7349675,-0.9036166,-0.1686491
22,-0.73449326,-0.86435574,"('untrustworthy', 'trustworthy')",-0.9590161,-1.0067207,-1.0863628,-1.1140443,-0.9266241,-0.9950403,-0.0684162
23,-0.7227871,-0.88323367,"('insincere', 'sincere')",-0.15610269,-0.1982985,5.203879,5.113764,1.4416631,1.3440773,-0.0975858
24,-0.81379175,-0.9416097,"('dishonest', 'honest')",-1.2698758,-1.2388253,0.5745155,0.5553733,-0.5030506,-0.5416872,-0.0386366
25,0.4955098,0.63169223,"('egoistic', 'altruistic')",0.28843352,0.38156062,1.5252682,1.4501077,0.7697372,0.8211202,0.051383
