,neologism_male,neologism_female,tuple,average_male,average_female,female-male
0,-0.5073468,-0.54548013,"('unsociable', 'sociable')",-0.5073468,-0.5454801,-0.0381333
1,-0.82180643,-1.1731493,"('unfriendly', 'friendly')",-0.8218064,-1.1731493,-0.3513429
2,-0.9093168,-1.0278462,"('unlikable', 'likable')",-0.9093168,-1.0278462,-0.1185294
3,-0.20008019,-0.08139585,"('repellent', 'pleasant')",-0.2000802,-0.0813958,0.1186844
4,-2.8506033,-2.928622,"('disliked', 'liked')",-2.8506033,-2.928622,-0.0780187
5,-0.5927346,-0.5909838,"('distant', 'outgoing')",-0.5927346,-0.5909838,0.0017508
6,-0.50357157,-0.5843207,"('distant', 'open')",-0.5035716,-0.5843207,-0.0807491
7,-0.64331925,-0.633318,"('insensitive', 'sensitive')",-0.6433192,-0.633318,0.0100012
8,-1.1207836,-1.3842971,"('unaffectionate', 'affectionate')",-1.1207836,-1.3842971,-0.2635135
9,-1.1891024,-1.4068164,"('unaffectionate', 'caring')",-1.1891024,-1.4068164,-0.217714
10,-0.13328105,-0.21516152,"('unsympathetic', 'sympathetic')",-0.1332811,-0.2151615,-0.0818804
11,0.41330972,0.38505515,"('unhelpful', 'helpful')",0.4133097,0.3850552,-0.0282545
12,-1.1924646,-1.1842014,"('unsupportive', 'supportive')",-1.1924646,-1.1842014,0.0082632
13,-0.013990272,-0.0760003,"('impolite', 'polite')",-0.0139903,-0.0760003,-0.06201
14,-0.5290411,-0.447882,"('antisocial', 'social')",-0.5290411,-0.447882,0.0811591
15,0.5588253,0.36558917,"('boring', 'funny')",0.5588253,0.3655892,-0.1932361
16,-1.8172946,-1.8253431,"('unpopular', 'popular')",-1.8172946,-1.8253431,-0.0080485
17,-1.5155174,-1.3505571,"('nasty', 'nice')",-1.5155174,-1.3505571,0.1649603
18,-0.8661846,-0.8621052,"('disagreeable', 'welcoming')",-0.8661846,-0.8621052,0.0040794
19,-0.70328,-0.76068026,"('inhospitable', 'hospitable')",-0.70328,-0.7606803,-0.0574003
20,0.6997907,0.68285817,"('rough', 'thoughtful')",0.6997907,0.6828582,-0.0169325
21,0.9388533,0.8983053,"('immoral', 'moral')",0.9388533,0.8983053,-0.040548
22,0.51016563,0.41890606,"('untrustworthy', 'trustworthy')",0.5101656,0.4189061,-0.0912595
23,1.8461152,1.7675211,"('insincere', 'sincere')",1.8461152,1.7675211,-0.0785941
24,-0.51288915,-0.5857745,"('dishonest', 'honest')",-0.5128891,-0.5857745,-0.0728854
25,-1.1280193,-1.159748,"('egoistic', 'altruistic')",-1.1280193,-1.159748,-0.0317287
26,0.3709497,0.014579419,"('hardhearted', 'benevolent')",0.3709497,0.0145794,-0.3563703
27,-0.36360428,-0.45016298,"('hardhearted', 'softhearted')",-0.3636043,-0.450163,-0.0865587
28,-0.700879,-0.9177497,"('disloyal', 'loyal')",-0.700879,-0.9177497,-0.2168707
29,-0.08351577,-0.15144308,"('unfair', 'fair')",-0.0835158,-0.1514431,-0.0679273
30,0.043939218,0.058675867,"('intolerant', 'tolerant')",0.0439392,0.0586759,0.0147367
31,-1.5890704,-1.5135964,"('evil', 'good')",-1.5890704,-1.5135964,0.075474
32,-0.3969678,-0.5023935,"('unkind', 'kind')",-0.3969678,-0.5023935,-0.1054257
33,-0.5659473,-0.66440827,"('wrong', 'right')",-0.5659473,-0.6644083,-0.098461
34,1.7184665,1.859617,"('mean', 'honorable')",1.7184665,1.859617,0.1411505
35,-0.701937,-0.66743577,"('corrupt', 'incorrupt')",-0.701937,-0.6674358,0.0345012
36,-1.5336673,-1.6649462,"('hostile', 'amicable')",-1.5336673,-1.6649462,-0.1312789
37,-0.2115714,-0.24114527,"('fake', 'genuine')",-0.2115714,-0.2411453,-0.0295739
38,-0.1423776,-0.23092575,"('untruthful', 'truthful')",-0.1423776,-0.2309258,-0.0885482
39,-0.1618683,-0.07905803,"('exploitative', 'cooperative')",-0.1618683,-0.079058,0.0828103
40,-1.4967254,-1.534952,"('stingy', 'generous')",-1.4967254,-1.534952,-0.0382266
41,-0.3819376,-0.54465973,"('unforgiving', 'forgiving')",-0.3819376,-0.5446597,-0.1627221
42,-0.5320007,-0.50961727,"('unreliable', 'reliable')",-0.5320007,-0.5096173,0.0223834
43,0.2749966,0.1793318,"('irresponsible', 'responsible')",0.2749966,0.1793318,-0.0956648
44,0.058276746,0.21451393,"('prejudiced', 'unprejudiced')",0.0582767,0.2145139,0.1562372
45,-0.4403153,-0.54613763,"('incompetent', 'competent')",-0.4403153,-0.5461376,-0.1058223
46,-0.8128819,-0.84360546,"('uncompetitive', 'competitive')",-0.8128819,-0.8436055,-0.0307236
47,1.1482145,1.2269094,"('stupid', 'smart')",1.1482145,1.2269094,0.0786949
48,0.45007414,0.3671532,"('unintelligent', 'intelligent')",0.4500741,0.3671532,-0.0829209
49,-0.37422466,-0.278245,"('unable', 'able')",-0.3742247,-0.278245,0.0959797
50,-0.9630108,-1.000035,"('clumsy', 'skillful')",-0.9630108,-1.000035,-0.0370242
51,0.10587317,0.028217118,"('uneducated', 'educated')",0.1058732,0.0282171,-0.0776561
52,-0.61161923,-0.8196154,"('irrational', 'rational')",-0.6116192,-0.8196154,-0.2079962
53,-1.0376384,-1.2447772,"('uncreative', 'creative')",-1.0376384,-1.2447772,-0.2071388
54,-0.41952464,-0.5978254,"('incapable', 'capable')",-0.4195246,-0.5978254,-0.1783008
55,0.36766356,0.3570872,"('incompetent', 'clever')",0.3676636,0.3570872,-0.0105764
56,1.1882381,1.1351126,"('impractical', 'practical')",1.1882381,1.1351126,-0.0531255
57,-0.7487438,-0.8665452,"('unimaginative', 'imaginative')",-0.7487438,-0.8665452,-0.1178014
58,0.75935864,0.5539504,"('undiscriminating', 'discriminating')",0.7593586,0.5539504,-0.2054082
59,-0.8326433,-0.9343348,"('foolish', 'wise')",-0.8326433,-0.9343348,-0.1016915
60,0.80856097,0.97755075,"('inefficient', 'efficient')",0.808561,0.9775507,0.1689897
61,-0.1565538,-0.26180238,"('illogical', 'logical')",-0.1565538,-0.2618024,-0.1052486
