,liberty_male,liberty_female,tuple,average_male,average_female,female-male
0,-0.036165126,-0.22455548,"('unsociable', 'sociable')",-0.0361651,-0.2245555,-0.1883904
1,1.6848835,1.7325401,"('unfriendly', 'friendly')",1.6848835,1.7325401,0.0476566
2,0.13725068,0.15691304,"('unlikable', 'likable')",0.1372507,0.156913,0.0196623
3,0.52459925,0.6191269,"('repellent', 'pleasant')",0.5245993,0.6191269,0.0945276
4,-7.343978,-7.4429827,"('disliked', 'liked')",-7.3439779,-7.4429827,-0.0990048
5,0.14538744,0.21708499,"('distant', 'outgoing')",0.1453874,0.217085,0.0716976
6,0.4947874,0.59474206,"('distant', 'open')",0.4947874,0.5947421,0.0999547
7,0.7170889,0.79057777,"('insensitive', 'sensitive')",0.7170889,0.7905778,0.0734889
8,1.4867886,1.5301139,"('unaffectionate', 'affectionate')",1.4867886,1.5301139,0.0433253
9,2.094854,2.2116315,"('unaffectionate', 'caring')",2.0948541,2.2116315,0.1167774
10,0.58697665,0.59532285,"('unsympathetic', 'sympathetic')",0.5869766,0.5953228,0.0083462
11,1.8143526,1.8730341,"('unhelpful', 'helpful')",1.8143526,1.8730341,0.0586815
12,-1.2756046,-1.2666941,"('unsupportive', 'supportive')",-1.2756046,-1.2666941,0.0089105
13,-0.25392026,-0.3478248,"('impolite', 'polite')",-0.2539203,-0.3478248,-0.0939045
14,-0.26142406,-0.39839303,"('antisocial', 'social')",-0.2614241,-0.398393,-0.1369689
15,0.4262857,0.31501955,"('boring', 'funny')",0.4262857,0.3150195,-0.1112662
16,-0.3488881,-0.2530213,"('unpopular', 'popular')",-0.3488881,-0.2530213,0.0958668
17,0.015407573,0.07095806,"('nasty', 'nice')",0.0154076,0.0709581,0.0555505
18,-0.4370265,-0.4724579,"('disagreeable', 'welcoming')",-0.4370265,-0.4724579,-0.0354314
19,0.30940637,0.41562107,"('inhospitable', 'hospitable')",0.3094064,0.4156211,0.1062147
20,0.636536,0.55005026,"('rough', 'thoughtful')",0.636536,0.5500503,-0.0864857
21,-0.31719103,-0.25881863,"('immoral', 'moral')",-0.317191,-0.2588186,0.0583724
22,-0.79283214,-0.7825335,"('untrustworthy', 'trustworthy')",-0.7928321,-0.7825335,0.0102986
23,6.922227,7.054832,"('insincere', 'sincere')",6.9222269,7.054832,0.1326051
24,1.6164603,1.6083745,"('dishonest', 'honest')",1.6164603,1.6083745,-0.0080858
25,1.0230619,1.0435256,"('egoistic', 'altruistic')",1.0230619,1.0435256,0.0204637
26,1.1406071,1.0289868,"('hardhearted', 'benevolent')",1.1406071,1.0289868,-0.1116203
27,2.199693,2.0638688,"('hardhearted', 'softhearted')",2.199693,2.0638688,-0.1358242
28,1.4561325,1.4628564,"('disloyal', 'loyal')",1.4561325,1.4628564,0.0067239
29,-0.47439337,-0.5635459,"('unfair', 'fair')",-0.4743934,-0.5635459,-0.0891525
30,0.9480795,0.92288905,"('intolerant', 'tolerant')",0.9480795,0.9228891,-0.0251904
31,-0.7695327,-0.6821248,"('evil', 'good')",-0.7695327,-0.6821248,0.0874079
32,1.438063,1.3140826,"('unkind', 'kind')",1.438063,1.3140826,-0.1239804
33,0.0946441,0.034083977,"('wrong', 'right')",0.0946441,0.034084,-0.0605601
34,5.3200216,5.602958,"('mean', 'honorable')",5.3200216,5.6029582,0.2829366
35,-0.5425795,-0.6294892,"('corrupt', 'incorrupt')",-0.5425795,-0.6294892,-0.0869097
36,-0.29470494,-0.270801,"('hostile', 'amicable')",-0.2947049,-0.270801,0.0239039
37,0.89464694,0.900424,"('fake', 'genuine')",0.8946469,0.900424,0.0057771
38,0.5446141,0.6059825,"('untruthful', 'truthful')",0.5446141,0.6059825,0.0613684
39,0.428941,0.3750595,"('exploitative', 'cooperative')",0.428941,0.3750595,-0.0538815
40,-1.7202637,-1.9122704,"('stingy', 'generous')",-1.7202637,-1.9122704,-0.1920067
41,0.5746384,0.47979045,"('unforgiving', 'forgiving')",0.5746384,0.4797904,-0.094848
42,-3.013557,-3.044765,"('unreliable', 'reliable')",-3.013557,-3.044765,-0.031208
43,1.2151451,1.21953,"('irresponsible', 'responsible')",1.2151451,1.21953,0.0043849
44,-1.8338016,-1.90554,"('prejudiced', 'unprejudiced')",-1.8338016,-1.90554,-0.0717384
45,-0.085088894,-0.086445294,"('incompetent', 'competent')",-0.0850889,-0.0864453,-0.0013564
46,-1.202636,-1.2085406,"('uncompetitive', 'competitive')",-1.202636,-1.2085406,-0.0059046
47,5.2180796,5.399985,"('stupid', 'smart')",5.2180796,5.3999848,0.1819052
48,0.60128784,0.56475693,"('unintelligent', 'intelligent')",0.6012878,0.5647569,-0.0365309
49,0.41112307,0.550702,"('unable', 'able')",0.4111231,0.550702,0.1395789
50,-0.24378839,-0.22134608,"('clumsy', 'skillful')",-0.2437884,-0.2213461,0.0224423
51,0.56514096,0.46463734,"('uneducated', 'educated')",0.565141,0.4646373,-0.1005037
52,0.027670719,-0.030204788,"('irrational', 'rational')",0.0276707,-0.0302048,-0.0578755
53,0.18200749,0.23322947,"('uncreative', 'creative')",0.1820075,0.2332295,0.051222
54,1.2973495,1.4751539,"('incapable', 'capable')",1.2973495,1.4751539,0.1778044
55,0.33295634,0.28580365,"('incompetent', 'clever')",0.3329563,0.2858036,-0.0471527
56,0.16963488,0.19626641,"('impractical', 'practical')",0.1696349,0.1962664,0.0266315
57,-2.9989982,-3.0749872,"('unimaginative', 'imaginative')",-2.9989982,-3.0749872,-0.075989
58,-0.034718327,-0.063291684,"('undiscriminating', 'discriminating')",-0.0347183,-0.0632917,-0.0285734
59,0.16821526,0.17704165,"('foolish', 'wise')",0.1682153,0.1770416,0.0088263
60,0.20968032,0.23081699,"('inefficient', 'efficient')",0.2096803,0.230817,0.0211367
61,0.8230617,0.66520745,"('illogical', 'logical')",0.8230617,0.6652074,-0.1578543
62,0.83458006,0.86282533,"('incompetent', 'brilliant')",0.8345801,0.8628253,0.0282452
63,0.7445347,0.822679,"('unperceptive', 'insightful')",0.7445347,0.822679,0.0781443
64,-7.1884766,-7.271022,"('shy', 'confident')",-7.1884766,-7.2710218,-0.0825452
65,0.014761174,0.011698622,"('insecure', 'secure')",0.0147612,0.0116986,-0.0030626
66,-0.5028771,-0.5345644,"('inactive', 'active')",-0.5028771,-0.5345644,-0.0316873
67,-0.37457448,-0.38227436,"('doubtful', 'determined')",-0.3745745,-0.3822744,-0.0076999
68,-0.32191944,-0.28627208,"('dependent', 'independent')",-0.3219194,-0.2862721,0.0356473
69,-1.6601626,-1.6678426,"('lazy', 'industrious')",-1.6601626,-1.6678426,-0.00768
70,0.56169844,0.59647983,"('lethargic', 'energetic')",0.5616984,0.5964798,0.0347814
71,0.2926821,0.35329095,"('diffident', 'self-confident')",0.2926821,0.3532909,0.0606088
72,0.80711496,0.78666353,"('unambitious', 'ambitious')",0.807115,0.7866635,-0.0204515
73,-3.412185,-3.3639002,"('helpless', 'self-reliant')",-3.412185,-3.3639002,0.0482848
74,0.28367668,0.2260839,"('undedicated', 'dedicated')",0.2836767,0.2260839,-0.0575928
75,-1.197926,-1.1119862,"('meek', 'impulsive')",-1.197926,-1.1119862,0.0859398
76,0.18025813,0.13549948,"('anxious', 'daring')",0.1802581,0.1354995,-0.0447586
77,-1.3415558,-1.1815166,"('unmotivated', 'motivated')",-1.3415558,-1.1815166,0.1600392
78,-0.31806123,-0.2906035,"('nonresilient', 'resilient')",-0.3180612,-0.2906035,0.0274577
79,0.39220896,0.5078336,"('wavering', 'unwavering')",0.392209,0.5078336,0.1156246
80,-0.25905883,-0.41102582,"('dominated', 'dominating')",-0.2590588,-0.4110258,-0.151967
81,-0.67895824,-0.6882378,"('submissive', 'aggressive')",-0.6789582,-0.6882378,-0.0092796
82,6.2854967,6.519724,"('poor', 'rich')",6.2854967,6.5197239,0.2342272
83,-0.44564846,-0.5010404,"('powerless', 'powerful')",-0.4456485,-0.5010404,-0.0553919
84,0.39488056,0.4448627,"('inferior', 'superior')",0.3948806,0.4448627,0.0499821
85,0.13244867,0.16632628,"('insignificant', 'prestigious')",0.1324487,0.1663263,0.0338776
86,0.4975784,0.37332585,"('uninfluential', 'influential')",0.4975784,0.3733259,-0.1242525
87,0.23150168,0.27246886,"('unsuccessful', 'successful')",0.2315017,0.2724689,0.0409672
88,0.28704664,0.28487942,"('low', 'eminent')",0.2870466,0.2848794,-0.0021672
