,intent_male,intent_female,tuple,average_male,average_female,female-male
0,0.34359685,0.21024036,"('unsociable', 'sociable')",0.3435968,0.2102404,-0.1333564
1,0.82890457,0.94603425,"('unfriendly', 'friendly')",0.8289046,0.9460343,0.1171297
2,0.0040164515,0.18023035,"('unlikable', 'likable')",0.0040165,0.1802303,0.1762138
3,0.853805,0.9895029,"('repellent', 'pleasant')",0.853805,0.9895029,0.1356979
4,-7.1725583,-7.3767123,"('disliked', 'liked')",-7.1725583,-7.3767123,-0.204154
5,-0.76460564,-0.67688775,"('distant', 'outgoing')",-0.7646056,-0.6768878,0.0877178
6,-0.32320032,-0.32270408,"('distant', 'open')",-0.3232003,-0.3227041,0.0004962
7,1.4679074,1.4941729,"('insensitive', 'sensitive')",1.4679074,1.4941729,0.0262655
8,0.7981764,0.79333526,"('unaffectionate', 'affectionate')",0.7981764,0.7933353,-0.0048411
9,1.1076474,1.2065929,"('unaffectionate', 'caring')",1.1076474,1.2065929,0.0989455
10,1.2628442,1.2357416,"('unsympathetic', 'sympathetic')",1.2628442,1.2357416,-0.0271026
11,1.6569731,1.7252533,"('unhelpful', 'helpful')",1.6569731,1.7252533,0.0682802
12,-1.398544,-1.3556151,"('unsupportive', 'supportive')",-1.398544,-1.3556151,0.0429289
13,0.10326225,0.22170247,"('impolite', 'polite')",0.1032623,0.2217025,0.1184402
14,0.4486925,0.34902456,"('antisocial', 'social')",0.4486925,0.3490246,-0.0996679
15,0.4462126,0.3865068,"('boring', 'funny')",0.4462126,0.3865068,-0.0597058
16,-0.80162287,-0.73309505,"('unpopular', 'popular')",-0.8016229,-0.733095,0.0685279
17,-0.31624863,-0.3552175,"('nasty', 'nice')",-0.3162486,-0.3552175,-0.0389689
18,-0.45610943,-0.32954597,"('disagreeable', 'welcoming')",-0.4561094,-0.329546,0.1265634
19,-0.8543693,-0.7481281,"('inhospitable', 'hospitable')",-0.8543693,-0.7481281,0.1062412
20,0.6641643,0.5725308,"('rough', 'thoughtful')",0.6641643,0.5725308,-0.0916335
