,cvs_male,cvs_female,tuple,health_male,health_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.82446355,-1.0797789,"('unsociable', 'sociable')",0.4239811,0.30277404,-0.35244897,-0.5796475,-0.2509771,-0.4522174,-0.2012403
1,0.18259162,0.20465524,"('unfriendly', 'friendly')",0.8597909,0.7974075,1.2368058,1.0684519,0.7597294,0.6901716,-0.0695578
2,1.3897064,1.3735373,"('unlikable', 'likable')",1.1855141,1.2115487,1.0216547,1.0553215,1.1989584,1.2134691,0.0145107
3,-1.0302256,-1.0261548,"('repellent', 'pleasant')",-1.1350049,-0.9255047,0.37626553,0.4548541,-0.5963217,-0.4989351,0.0973866
4,0.49002475,0.6270801,"('disliked', 'liked')",0.8433147,0.9263049,-5.7097187,-5.593625,-1.458793,-1.3467468,0.1120462
5,0.8324134,0.99548244,"('distant', 'outgoing')",0.95757276,1.030957,-0.37242034,-0.29061168,0.4725219,0.5786092,0.1060873
6,0.70900446,0.9172501,"('distant', 'open')",0.79016644,0.8691939,-0.4500972,-0.40585762,0.3496912,0.4601955,0.1105043
7,-0.5161596,-0.56450224,"('insensitive', 'sensitive')",-0.26054117,-0.14429227,0.18071583,0.1551607,-0.1986616,-0.1845446,0.014117
8,-0.42129058,-0.3578077,"('unaffectionate', 'affectionate')",0.07400082,0.0020231195,0.35907185,0.306107,0.0039274,-0.0165592,-0.0204866
9,0.31946847,0.37785283,"('unaffectionate', 'caring')",1.3613018,1.353721,1.1184411,1.0943531,0.9330705,0.9419756,0.0089051
10,-1.5370708,-1.729482,"('unsympathetic', 'sympathetic')",-0.47842288,-0.41757974,-0.5350897,-0.6379095,-0.8501945,-0.9283237,-0.0781292
11,0.31370342,0.19711822,"('unhelpful', 'helpful')",0.18624164,0.22366443,1.9829483,1.9390868,0.8276312,0.7866232,-0.041008
12,1.4766132,1.537528,"('unsupportive', 'supportive')",2.4443915,2.61778,-1.664782,-1.6019566,0.7520742,0.8511171,0.0990429
13,0.12932877,-0.12344599,"('impolite', 'polite')",0.3864408,0.29871637,-0.566593,-0.6508878,-0.0169411,-0.1585391,-0.141598
14,-1.5200549,-1.6014597,"('antisocial', 'social')",0.1394877,0.19861437,-0.50423324,-0.5416355,-0.6282668,-0.6481603,-0.0198935
15,0.18239395,0.10551895,"('boring', 'funny')",0.45472842,0.35249028,0.024997983,0.038053423,0.2207068,0.1653542,-0.0553526
16,0.39744464,0.45970273,"('unpopular', 'popular')",0.24882953,0.29966646,0.37120277,0.2967845,0.339159,0.3520512,0.0128922
17,-0.1429382,-0.12597802,"('nasty', 'nice')",-0.10344116,0.0771857,-0.3682579,-0.2626783,-0.2048791,-0.1038235,0.1010556
18,0.21026525,0.25455293,"('disagreeable', 'welcoming')",-0.6167232,-0.6152322,-0.42877367,-0.44403875,-0.2784105,-0.2682393,0.0101712
19,1.3739742,1.4010334,"('inhospitable', 'hospitable')",0.35244206,0.31568825,-0.07014566,-0.052590586,0.5520902,0.5547103,0.0026201
20,-0.009470299,-0.020156704,"('rough', 'thoughtful')",-0.44769928,-0.39411953,0.60405487,0.59830356,0.0489618,0.0613424,0.0123806
21,0.13555254,-0.05788358,"('immoral', 'moral')",0.85628676,0.8599627,-0.4196348,-0.4309621,0.1907348,0.1237057,-0.0670291
22,-0.07977245,-0.13806985,"('untrustworthy', 'trustworthy')",-0.27822363,-0.32695243,-0.97575235,-0.9296508,-0.4445828,-0.464891,-0.0203082
23,-0.038191203,-0.17630279,"('insincere', 'sincere')",0.013626793,0.040926106,5.346558,5.1417007,1.7739979,1.6687746,-0.1052233
