,zimmer_male,zimmer_female,tuple,biomet_male,biomet_female,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.5984144,-1.7026922,"('unsociable', 'sociable')",-0.41275787,-0.46018043,0.23328276,0.029812627,-0.2627644,-0.33101672,-0.5101635,-0.6160192,-0.1058557
1,-1.7269696,-1.7893902,"('unfriendly', 'friendly')",-0.75781953,-0.7500306,0.017446022,-0.120829776,1.693072,1.5753119,-0.1935678,-0.2712347,-0.0776669
2,0.35187745,0.3344552,"('unlikable', 'likable')",0.47497547,0.48561233,1.9350322,2.0024514,1.0100802,1.1172612,0.9429914,0.984945,0.0419536
3,-1.3396682,-1.24561,"('repellent', 'pleasant')",-1.448941,-1.3536698,0.43017274,0.43867746,0.26850605,0.25829732,-0.5224826,-0.4755763,0.0469063
4,0.55474293,0.5252694,"('disliked', 'liked')",-0.10457775,-0.15326224,-0.12358846,-0.20933416,-5.7474146,-5.8458586,-1.3552095,-1.4207964,-0.0655869
5,0.44463763,0.49432954,"('distant', 'outgoing')",-0.5376175,-0.4432512,-0.9694258,-0.91573036,-0.333379,-0.3029376,-0.3489462,-0.2918974,0.0570488
6,-0.031331223,0.05177466,"('distant', 'open')",-0.64140946,-0.5460139,-1.3544011,-1.2832241,0.41185465,0.37968245,-0.4038218,-0.3494452,0.0543766
7,-1.1021491,-1.1154784,"('insensitive', 'sensitive')",-0.41216853,-0.39243802,0.27540457,0.223097,0.5043027,0.5150663,-0.1836526,-0.1924383,-0.0087857
8,-1.0600445,-1.0910648,"('unaffectionate', 'affectionate')",-0.45009217,-0.4963367,-0.5045649,-0.5238322,0.5437792,0.47023293,-0.3677306,-0.4102502,-0.0425196
9,-1.000048,-1.0350146,"('unaffectionate', 'caring')",-0.62198263,-0.6402194,0.13776022,0.036826238,1.16571,1.1230702,-0.0796402,-0.1288344,-0.0491942
10,-1.8255562,-1.8202369,"('unsympathetic', 'sympathetic')",-1.5191698,-1.5348351,-0.43899405,-0.5430968,-0.09780361,-0.140042,-0.9703809,-1.0095527,-0.0391718
11,-1.7359265,-1.799252,"('unhelpful', 'helpful')",-0.97992176,-0.9947138,-1.0681324,-1.1131923,1.8040121,1.8458259,-0.4949921,-0.5153331,-0.020341
12,-1.439656,-1.3275865,"('unsupportive', 'supportive')",-0.064195886,0.035501406,-0.27185115,-0.20518228,-1.5660774,-1.5081531,-0.8354451,-0.7513552,0.0840899
13,-1.3131465,-1.3860282,"('impolite', 'polite')",0.32052976,0.35872573,0.32416704,0.26078823,-0.011987813,-0.0022650883,-0.1701094,-0.1921948,-0.0220854
14,-0.9995444,-1.0028553,"('antisocial', 'social')",0.014289502,0.030670118,2.0212796,1.9991233,-0.41227028,-0.42117766,0.1559386,0.1514401,-0.0044985
15,0.17287916,0.03040957,"('boring', 'funny')",0.883453,0.8048676,-0.7744166,-0.7843064,0.45262402,0.4246479,0.1836349,0.1189047,-0.0647302
