,vengeance_male,vengeance_female,tuple,average_male,average_female,female-male
0,0.05739082,-0.1669755,"('unsociable', 'sociable')",0.0573908,-0.1669755,-0.2243663
1,1.1741462,1.2452395,"('unfriendly', 'friendly')",1.1741462,1.2452395,0.0710933
2,0.46457928,0.5764731,"('unlikable', 'likable')",0.4645793,0.5764731,0.1118938
3,0.2656312,0.25699684,"('repellent', 'pleasant')",0.2656312,0.2569968,-0.0086344
4,-7.972445,-8.006987,"('disliked', 'liked')",-7.972445,-8.0069866,-0.0345416
5,-0.31583396,-0.15715158,"('distant', 'outgoing')",-0.315834,-0.1571516,0.1586824
6,-0.10590267,0.1020849,"('distant', 'open')",-0.1059027,0.1020849,0.2079876
7,1.0954986,1.0751798,"('insensitive', 'sensitive')",1.0954986,1.0751798,-0.0203188
8,1.0659127,1.15782,"('unaffectionate', 'affectionate')",1.0659127,1.15782,0.0919073
9,1.9334816,2.019871,"('unaffectionate', 'caring')",1.9334816,2.019871,0.0863894
10,1.4542669,1.3905641,"('unsympathetic', 'sympathetic')",1.4542669,1.3905641,-0.0637028
11,2.3338888,2.38777,"('unhelpful', 'helpful')",2.3338888,2.3877699,0.0538811
12,-1.4414825,-1.4500095,"('unsupportive', 'supportive')",-1.4414825,-1.4500095,-0.008527
13,0.086066425,-0.068530746,"('impolite', 'polite')",0.0860664,-0.0685307,-0.1545971
14,0.0132561335,-0.21043056,"('antisocial', 'social')",0.0132561,-0.2104306,-0.2236867
15,0.37703243,0.40872937,"('boring', 'funny')",0.3770324,0.4087294,0.031697
16,-0.98740506,-0.99539644,"('unpopular', 'popular')",-0.9874051,-0.9953964,-0.0079913
17,-1.3170401,-1.226316,"('nasty', 'nice')",-1.3170401,-1.226316,0.0907241
18,-0.64808434,-0.6610274,"('disagreeable', 'welcoming')",-0.6480843,-0.6610274,-0.0129431
19,-0.13453323,0.08344568,"('inhospitable', 'hospitable')",-0.1345332,0.0834457,0.2179789
20,0.5418074,0.45537734,"('rough', 'thoughtful')",0.5418074,0.4553773,-0.0864301
21,0.17257124,0.1007311,"('immoral', 'moral')",0.1725712,0.1007311,-0.0718401
22,-0.36578703,-0.5049202,"('untrustworthy', 'trustworthy')",-0.365787,-0.5049202,-0.1391332
23,7.3615613,7.436174,"('insincere', 'sincere')",7.3615613,7.4361739,0.0746126
24,2.1246254,2.1218307,"('dishonest', 'honest')",2.1246254,2.1218307,-0.0027947
25,0.15014026,0.08095741,"('egoistic', 'altruistic')",0.1501403,0.0809574,-0.0691829
26,-0.081169516,-0.046781413,"('hardhearted', 'benevolent')",-0.0811695,-0.0467814,0.0343881
27,1.1499727,1.1205812,"('hardhearted', 'softhearted')",1.1499727,1.1205812,-0.0293915
28,1.3922571,1.3402867,"('disloyal', 'loyal')",1.3922571,1.3402867,-0.0519704
29,-0.73002857,-0.8042903,"('unfair', 'fair')",-0.7300286,-0.8042903,-0.0742617
30,1.6137482,1.5320779,"('intolerant', 'tolerant')",1.6137482,1.5320779,-0.0816703
31,-2.2982244,-2.194434,"('evil', 'good')",-2.2982244,-2.1944339,0.1037905
32,1.123884,1.0571871,"('unkind', 'kind')",1.123884,1.0571871,-0.0666969
33,-0.2788808,-0.25948167,"('wrong', 'right')",-0.2788808,-0.2594817,0.0193991
34,5.023756,5.183376,"('mean', 'honorable')",5.023756,5.1833758,0.1596198
35,-0.8982013,-0.899503,"('corrupt', 'incorrupt')",-0.8982013,-0.899503,-0.0013017
36,-0.88866067,-0.8218095,"('hostile', 'amicable')",-0.8886607,-0.8218095,0.0668512
37,1.1463503,1.1079116,"('fake', 'genuine')",1.1463503,1.1079116,-0.0384387
38,0.48530093,0.4957345,"('untruthful', 'truthful')",0.4853009,0.4957345,0.0104336
39,-0.23758349,-0.27252746,"('exploitative', 'cooperative')",-0.2375835,-0.2725275,-0.034944
40,-2.232826,-2.273045,"('stingy', 'generous')",-2.232826,-2.2730451,-0.0402191
41,-0.08987029,-0.14111936,"('unforgiving', 'forgiving')",-0.0898703,-0.1411194,-0.0512491
42,-1.9914886,-2.0309973,"('unreliable', 'reliable')",-1.9914886,-2.0309973,-0.0395087
43,1.9566001,1.8630347,"('irresponsible', 'responsible')",1.9566001,1.8630347,-0.0935654
44,-1.6879604,-1.8852677,"('prejudiced', 'unprejudiced')",-1.6879604,-1.8852677,-0.1973073
45,0.34864083,0.27658448,"('incompetent', 'competent')",0.3486408,0.2765845,-0.0720563
46,-0.0070903227,-0.1309376,"('uncompetitive', 'competitive')",-0.0070903,-0.1309376,-0.1238473
47,5.311411,5.4943905,"('stupid', 'smart')",5.3114109,5.4943905,0.1829796
48,0.8807259,0.7672449,"('unintelligent', 'intelligent')",0.8807259,0.7672449,-0.113481
49,0.4867018,0.5732058,"('unable', 'able')",0.4867018,0.5732058,0.086504
50,0.02509427,0.18262185,"('clumsy', 'skillful')",0.0250943,0.1826219,0.1575276
51,0.7544248,0.72450167,"('uneducated', 'educated')",0.7544248,0.7245017,-0.0299231
52,-0.5692101,-0.47878736,"('irrational', 'rational')",-0.5692101,-0.4787874,0.0904227
53,0.50359553,0.552438,"('uncreative', 'creative')",0.5035955,0.552438,0.0488425
54,1.7420292,1.9639214,"('incapable', 'capable')",1.7420292,1.9639214,0.2218922
55,0.9773469,0.8488589,"('incompetent', 'clever')",0.9773469,0.8488589,-0.128488
56,1.5373876,1.4816523,"('impractical', 'practical')",1.5373876,1.4816523,-0.0557353
57,-2.7489612,-2.7492127,"('unimaginative', 'imaginative')",-2.7489612,-2.7492127,-0.0002515
58,0.13789326,0.17587075,"('undiscriminating', 'discriminating')",0.1378933,0.1758707,0.0379774
59,-0.18496293,-0.014749136,"('foolish', 'wise')",-0.1849629,-0.0147491,0.1702138
60,1.4947566,1.3590634,"('inefficient', 'efficient')",1.4947566,1.3590634,-0.1356932
