,mousse_male,mousse_female,tuple,average_male,average_female,female-male
0,0.11752584,-0.016317291,"('unsociable', 'sociable')",0.1175258,-0.0163173,-0.1338431
1,0.42520073,0.115192086,"('unfriendly', 'friendly')",0.4252007,0.1151921,-0.3100086
2,0.8679117,0.8730375,"('unlikable', 'likable')",0.8679117,0.8730375,0.0051258
3,-0.28026387,-0.199939,"('repellent', 'pleasant')",-0.2802639,-0.199939,0.0803249
4,-1.0617023,-1.1573375,"('disliked', 'liked')",-1.0617023,-1.1573375,-0.0956352
5,0.19246104,0.07557412,"('distant', 'outgoing')",0.192461,0.0755741,-0.1168869
6,0.3473861,0.16688104,"('distant', 'open')",0.3473861,0.166881,-0.1805051
7,-1.1091561,-1.0754689,"('insensitive', 'sensitive')",-1.1091561,-1.0754689,0.0336872
8,0.37794092,0.20248528,"('unaffectionate', 'affectionate')",0.3779409,0.2024853,-0.1754556
9,-0.047376476,-0.24921414,"('unaffectionate', 'caring')",-0.0473765,-0.2492141,-0.2018376
10,-0.60604805,-0.65128237,"('unsympathetic', 'sympathetic')",-0.606048,-0.6512824,-0.0452344
11,-0.28646243,-0.34002233,"('unhelpful', 'helpful')",-0.2864624,-0.3400223,-0.0535599
12,-0.45670527,-0.5890241,"('unsupportive', 'supportive')",-0.4567053,-0.5890241,-0.1323188
13,-0.0035817046,0.088154875,"('impolite', 'polite')",-0.0035817,0.0881549,0.0917366
14,0.03143009,0.11984208,"('antisocial', 'social')",0.0314301,0.1198421,0.088412
15,-0.18532579,-0.2372828,"('boring', 'funny')",-0.1853258,-0.2372828,-0.051957
16,0.7520817,0.69493675,"('unpopular', 'popular')",0.7520817,0.6949368,-0.0571449
17,-0.34072056,-0.29974857,"('nasty', 'nice')",-0.3407206,-0.2997486,0.040972
18,-0.27256784,-0.3122777,"('disagreeable', 'welcoming')",-0.2725678,-0.3122777,-0.0397099
19,-0.584955,-0.6769066,"('inhospitable', 'hospitable')",-0.584955,-0.6769066,-0.0919516
20,0.49459076,0.39829588,"('rough', 'thoughtful')",0.4945908,0.3982959,-0.0962949
21,-0.41299936,-0.31159446,"('immoral', 'moral')",-0.4129994,-0.3115945,0.1014049
22,0.1947394,0.1511142,"('untrustworthy', 'trustworthy')",0.1947394,0.1511142,-0.0436252
23,0.43859217,0.32480127,"('insincere', 'sincere')",0.4385922,0.3248013,-0.1137909
24,-1.1221063,-1.1945959,"('dishonest', 'honest')",-1.1221063,-1.1945959,-0.0724896
25,0.36195785,0.27859402,"('egoistic', 'altruistic')",0.3619578,0.278594,-0.0833638
26,0.24640657,0.053189978,"('hardhearted', 'benevolent')",0.2464066,0.05319,-0.1932166
27,-0.56251854,-0.7203645,"('hardhearted', 'softhearted')",-0.5625185,-0.7203645,-0.157846
28,-0.2093372,-0.32639626,"('disloyal', 'loyal')",-0.2093372,-0.3263963,-0.1170591
29,0.5570507,0.44603455,"('unfair', 'fair')",0.5570507,0.4460346,-0.1110161
30,-0.43807697,-0.4443385,"('intolerant', 'tolerant')",-0.438077,-0.4443385,-0.0062615
31,0.09641273,0.027200114,"('evil', 'good')",0.0964127,0.0272001,-0.0692126
32,-0.37528345,-0.50462496,"('unkind', 'kind')",-0.3752834,-0.504625,-0.1293416
33,0.62376183,0.5107898,"('wrong', 'right')",0.6237618,0.5107898,-0.112972
34,0.52011156,0.608941,"('mean', 'honorable')",0.5201116,0.608941,0.0888294
35,0.60377437,0.3797295,"('corrupt', 'incorrupt')",0.6037744,0.3797295,-0.2240449
36,0.68139505,0.4261887,"('hostile', 'amicable')",0.6813951,0.4261887,-0.2552064
37,0.16577514,0.18085508,"('fake', 'genuine')",0.1657751,0.1808551,0.01508
38,0.4063814,0.27348694,"('untruthful', 'truthful')",0.4063814,0.2734869,-0.1328945
39,0.10011552,0.21634425,"('exploitative', 'cooperative')",0.1001155,0.2163443,0.1162288
40,-0.4424964,-0.5732745,"('stingy', 'generous')",-0.4424964,-0.5732745,-0.1307781
41,0.3279686,0.20734823,"('unforgiving', 'forgiving')",0.3279686,0.2073482,-0.1206204
42,-0.50180054,-0.43059146,"('unreliable', 'reliable')",-0.5018005,-0.4305915,0.071209
43,-0.5512109,-0.51458156,"('irresponsible', 'responsible')",-0.5512109,-0.5145816,0.0366293
44,0.024116024,0.1815957,"('prejudiced', 'unprejudiced')",0.024116,0.1815957,0.1574797
45,-0.25677714,-0.3171914,"('incompetent', 'competent')",-0.2567771,-0.3171914,-0.0604143
46,-0.5933559,-0.6386253,"('uncompetitive', 'competitive')",-0.5933559,-0.6386253,-0.0452694
47,0.5546101,0.5690288,"('stupid', 'smart')",0.5546101,0.5690288,0.0144187
48,-0.85559744,-0.8983684,"('unintelligent', 'intelligent')",-0.8555974,-0.8983684,-0.042771
49,-0.47384098,-0.4218567,"('unable', 'able')",-0.473841,-0.4218567,0.0519843
50,0.523541,0.4642092,"('clumsy', 'skillful')",0.523541,0.4642092,-0.0593318
51,-0.13694447,-0.18642956,"('uneducated', 'educated')",-0.1369445,-0.1864296,-0.0494851
52,0.6300709,0.4692631,"('irrational', 'rational')",0.6300709,0.4692631,-0.1608078
53,-0.59265393,-0.75629944,"('uncreative', 'creative')",-0.5926539,-0.7562994,-0.1636455
54,0.8891538,0.7603178,"('incapable', 'capable')",0.8891538,0.7603178,-0.128836
55,-0.3497481,-0.30294374,"('incompetent', 'clever')",-0.3497481,-0.3029437,0.0468044
56,-0.014673457,0.03191937,"('impractical', 'practical')",-0.0146735,0.0319194,0.0465929
57,-0.5231017,-0.6529701,"('unimaginative', 'imaginative')",-0.5231017,-0.6529701,-0.1298684
58,0.5308142,0.49709877,"('undiscriminating', 'discriminating')",0.5308142,0.4970988,-0.0337154
59,0.018911034,-0.044239126,"('foolish', 'wise')",0.018911,-0.0442391,-0.0631501
60,-0.85311013,-0.6353244,"('inefficient', 'efficient')",-0.8531101,-0.6353244,0.2177857
61,0.0024146717,-0.13765526,"('illogical', 'logical')",0.0024147,-0.1376553,-0.14007
62,0.008801416,0.12771648,"('incompetent', 'brilliant')",0.0088014,0.1277165,0.1189151
63,0.54858434,0.44747317,"('unperceptive', 'insightful')",0.5485843,0.4474732,-0.1011111
64,-1.3926054,-1.3079296,"('shy', 'confident')",-1.3926054,-1.3079296,0.0846758
65,-0.7154256,-0.61356145,"('insecure', 'secure')",-0.7154256,-0.6135615,0.1018641
66,-0.48086426,-0.5388957,"('inactive', 'active')",-0.4808643,-0.5388957,-0.0580314
67,0.28033903,0.31707746,"('doubtful', 'determined')",0.280339,0.3170775,0.0367385
68,0.22879401,0.16912426,"('dependent', 'independent')",0.228794,0.1691243,-0.0596697
69,1.0618296,1.0238869,"('lazy', 'industrious')",1.0618296,1.0238869,-0.0379427
70,-0.50105387,-0.46691984,"('lethargic', 'energetic')",-0.5010539,-0.4669198,0.0341341
71,-0.24876821,-0.39996547,"('diffident', 'self-confident')",-0.2487682,-0.3999655,-0.1511973
72,-0.06413767,-0.05504897,"('unambitious', 'ambitious')",-0.0641377,-0.055049,0.0090887
73,0.030091649,0.08350744,"('helpless', 'self-reliant')",0.0300916,0.0835074,0.0534158
74,0.27780348,0.23460595,"('undedicated', 'dedicated')",0.2778035,0.234606,-0.0431975
75,0.37593162,0.33621565,"('meek', 'impulsive')",0.3759316,0.3362156,-0.039716
76,-0.4788518,-0.2434102,"('anxious', 'daring')",-0.4788518,-0.2434102,0.2354416
77,-1.1871192,-1.1363733,"('unmotivated', 'motivated')",-1.1871192,-1.1363733,0.0507459
78,0.24788396,0.11279844,"('nonresilient', 'resilient')",0.247884,0.1127984,-0.1350856
79,0.3653294,0.23336405,"('wavering', 'unwavering')",0.3653294,0.233364,-0.1319654
80,-0.43095326,-0.39436302,"('dominated', 'dominating')",-0.4309533,-0.394363,0.0365903
81,-0.7833188,-0.6838276,"('submissive', 'aggressive')",-0.7833188,-0.6838276,0.0994912
82,1.0793309,1.0673994,"('poor', 'rich')",1.0793309,1.0673994,-0.0119315
83,-0.6283899,-0.68137056,"('powerless', 'powerful')",-0.6283899,-0.6813706,-0.0529807
84,0.09910084,0.13254236,"('inferior', 'superior')",0.0991008,0.1325424,0.0334416
85,0.88505083,0.7549882,"('insignificant', 'prestigious')",0.8850508,0.7549882,-0.1300626
86,-0.57240635,-0.80991775,"('uninfluential', 'influential')",-0.5724064,-0.8099177,-0.2375113
87,-0.13944139,-0.09324588,"('unsuccessful', 'successful')",-0.1394414,-0.0932459,0.0461955
88,-0.7598044,-0.84464246,"('low', 'eminent')",-0.7598044,-0.8446425,-0.0848381
