,sentencing_male,sentencing_female,tuple,average_male,average_female,female-male
0,-0.16978359,-0.2847579,"('unsociable', 'sociable')",-0.1697836,-0.2847579,-0.1149743
1,1.7790768,1.7809389,"('unfriendly', 'friendly')",1.7790768,1.7809389,0.0018621
2,0.5487409,0.5349744,"('unlikable', 'likable')",0.5487409,0.5349744,-0.0137665
3,-0.4356746,-0.3483546,"('repellent', 'pleasant')",-0.4356746,-0.3483546,0.08732
4,-7.5228467,-7.5064454,"('disliked', 'liked')",-7.5228467,-7.5064454,0.0164013
5,0.34347692,0.30943257,"('distant', 'outgoing')",0.3434769,0.3094326,-0.0340443
6,0.82007307,0.7931899,"('distant', 'open')",0.8200731,0.7931899,-0.0268832
7,0.66413367,0.6965561,"('insensitive', 'sensitive')",0.6641337,0.6965561,0.0324224
8,1.5450786,1.4983741,"('unaffectionate', 'affectionate')",1.5450786,1.4983741,-0.0467045
9,2.4221666,2.3742495,"('unaffectionate', 'caring')",2.4221666,2.3742495,-0.0479171
10,0.48681012,0.46987277,"('unsympathetic', 'sympathetic')",0.4868101,0.4698728,-0.0169373
11,1.6558537,1.6421752,"('unhelpful', 'helpful')",1.6558537,1.6421752,-0.0136785
12,-1.2161605,-1.27289,"('unsupportive', 'supportive')",-1.2161605,-1.27289,-0.0567295
13,-0.21797463,-0.33393964,"('impolite', 'polite')",-0.2179746,-0.3339396,-0.115965
14,-0.3923518,-0.46792784,"('antisocial', 'social')",-0.3923518,-0.4679278,-0.075576
15,0.3006979,0.24360059,"('boring', 'funny')",0.3006979,0.2436006,-0.0570973
16,-0.567591,-0.5023191,"('unpopular', 'popular')",-0.567591,-0.5023191,0.0652719
17,0.050945386,0.07936711,"('nasty', 'nice')",0.0509454,0.0793671,0.0284217
18,-0.26911584,-0.32954994,"('disagreeable', 'welcoming')",-0.2691158,-0.3295499,-0.0604341
19,-0.020304412,0.0009335242,"('inhospitable', 'hospitable')",-0.0203044,0.0009335,0.0212379
20,0.76667845,0.7485397,"('rough', 'thoughtful')",0.7666785,0.7485397,-0.0181388
