,capital_male,capital_female,tuple,one_male,one_female,financial_male,financial_female,corp_male,corp_female,average_male,average_female,female-male
0,0.033860356,-0.074691504,"('unsociable', 'sociable')",-1.0403526,-1.0866641,-0.30821404,-0.42875856,-0.17209226,-0.3120848,-0.3716996,-0.4755497,-0.1038501
1,-0.6446644,-0.61975765,"('unfriendly', 'friendly')",-1.7284687,-1.7999996,1.2247825,1.0948155,0.80094296,0.66501355,-0.0868519,-0.1649821,-0.0781302
2,2.1223156,2.2784555,"('unlikable', 'likable')",1.0456679,1.1747737,2.3743458,2.517336,1.0463983,1.1434772,1.6471819,1.7785106,0.1313287
3,-0.20331518,-0.15290835,"('repellent', 'pleasant')",-0.22812991,-0.12247823,-0.6299854,-0.53775305,1.1028041,1.1732141,0.0103434,0.0900186,0.0796752
4,-0.8363192,-0.7540623,"('disliked', 'liked')",0.35169354,0.36945155,0.20167191,0.22012106,-5.7167244,-5.8061156,-1.4999195,-1.4926513,0.0072682
5,0.43644804,0.5468558,"('distant', 'outgoing')",-0.24501625,-0.2605334,1.1299309,1.1290189,-0.71977425,-0.68748426,0.1503971,0.1819643,0.0315672
6,-0.11883084,0.052014545,"('distant', 'open')",-0.6862223,-0.6626829,0.3378216,0.3506125,-0.79975444,-0.7590671,-0.3167465,-0.2547807,0.0619658
7,0.96345985,0.899856,"('insensitive', 'sensitive')",0.048438463,0.08102479,0.500017,0.50384545,0.60190177,0.6014744,0.5284542,0.5215502,-0.006904
8,-0.14724621,-0.10497075,"('unaffectionate', 'affectionate')",-0.9222837,-0.969587,0.35831204,0.32753903,0.029957054,0.017568644,-0.1703152,-0.1823625,-0.0120473
9,0.8986943,0.9269859,"('unaffectionate', 'caring')",-0.74867904,-0.73924094,1.298363,1.2439252,0.84528166,0.83259106,0.573415,0.5660653,-0.0073497
10,0.4645459,0.39741454,"('unsympathetic', 'sympathetic')",-0.49067497,-0.37407604,-1.0896305,-1.0211619,-0.1208788,-0.09838425,-0.3091596,-0.2740519,0.0351077
11,1.1070532,1.0983917,"('unhelpful', 'helpful')",0.33957243,0.44415087,-0.108520105,-0.06852389,1.8838458,1.9769517,0.8054878,0.8627425,0.0572547
12,2.0355394,2.1241708,"('unsupportive', 'supportive')",0.6760706,0.817817,1.0314928,1.1559643,-1.6063712,-1.5712565,0.5341828,0.6316738,0.097491
13,0.3972096,0.22580893,"('impolite', 'polite')",0.80916077,0.7183895,-0.20061432,-0.16126311,-0.65357006,-0.6770956,0.0880465,0.0264599,-0.0615866
14,1.4178827,1.3355927,"('antisocial', 'social')",0.35737112,0.37935895,1.3696796,1.3740538,0.18298551,0.06645656,0.8319797,0.7888655,-0.0431142
15,-0.32652897,-0.37286142,"('boring', 'funny')",0.2257726,0.11117804,0.25614268,0.19992858,-0.54418766,-0.5662453,-0.0972003,-0.157,-0.0597997
16,-0.73788446,-0.6491684,"('unpopular', 'popular')",-0.9502155,-0.9551949,-0.11170687,-0.06753628,0.22570592,0.21734703,-0.3935252,-0.3636381,0.0298871
17,-0.10910316,0.04529898,"('nasty', 'nice')",-0.15529875,-0.00016806088,-0.63366485,-0.49892178,-1.0771608,-0.9516819,-0.4938069,-0.3513682,0.1424387
18,0.105628215,0.257425,"('disagreeable', 'welcoming')",0.069026306,0.096052125,-0.31541216,-0.23404092,-0.5536077,-0.591128,-0.1735913,-0.1179229,0.0556684
19,-0.28137684,-0.183842,"('inhospitable', 'hospitable')",-0.6921414,-0.65794677,-0.29928493,-0.27281174,-0.87716126,-0.71281785,-0.5374911,-0.4568546,0.0806365
20,0.26657185,0.34315988,"('rough', 'thoughtful')",-1.0555217,-0.98215246,0.020649359,0.06308061,0.21100433,0.24468175,-0.139324,-0.0828075,0.0565165
21,0.59981656,0.5775627,"('immoral', 'moral')",0.6027335,0.6761826,0.4565679,0.49142444,-0.12748174,-0.09769219,0.3829091,0.4118694,0.0289603
22,0.825609,0.78401864,"('untrustworthy', 'trustworthy')",0.29212072,0.28776228,-0.359848,-0.38368666,-0.57868445,-0.5815877,0.0447993,0.0266266,-0.0181727
23,1.0461776,0.9363168,"('insincere', 'sincere')",0.13834514,0.1194329,0.5891545,0.56230843,5.3939915,5.2984624,1.7919172,1.7291301,-0.0627871
24,1.0142779,0.9959041,"('dishonest', 'honest')",0.2540321,0.25870425,0.27622172,0.3264589,0.7033629,0.6712111,0.5619737,0.5630696,0.0010959
25,-1.2735958,-1.2627872,"('egoistic', 'altruistic')",-1.091887,-1.1623989,0.12507805,0.09716547,0.8334782,0.7526362,-0.3517317,-0.3938461,-0.0421144
26,-0.00043316558,0.02731406,"('hardhearted', 'benevolent')",-0.2355217,-0.24646538,2.0501683,2.0346208,1.5570732,1.5032893,0.8428217,0.8296897,-0.013132
27,0.070819914,0.12818599,"('hardhearted', 'softhearted')",-0.518162,-0.4845838,-0.44260332,-0.44780862,0.35628217,0.31924114,-0.1334158,-0.1212413,0.0121745
28,0.5179267,0.3729147,"('disloyal', 'loyal')",-0.11706343,-0.19161315,0.28271633,0.15442616,1.2071561,1.0973251,0.4726839,0.3582632,-0.1144207
29,0.89262086,0.8253414,"('unfair', 'fair')",-0.14742802,-0.26021233,-0.23221767,-0.2611754,-0.299758,-0.38865876,0.0533043,-0.0211763,-0.0744806
30,0.7915772,0.7721402,"('intolerant', 'tolerant')",0.1332565,0.15384372,0.30532768,0.34039158,0.53280544,0.47587112,0.4407417,0.4355617,-0.00518
31,-1.2148817,-0.8958459,"('evil', 'good')",-0.469403,-0.41423228,-0.21242438,-0.18705496,-1.6436536,-1.6703594,-0.8850907,-0.7918731,0.0932176
32,1.079012,1.0029788,"('unkind', 'kind')",0.800262,0.77527636,0.16993518,0.14290917,0.8747879,0.7913079,0.7309992,0.6781181,-0.0528811
33,0.62101805,0.63083386,"('wrong', 'right')",0.67175376,0.5492267,1.4056826,1.4021953,-0.9721639,-1.0589703,0.4315726,0.3808214,-0.0507512
34,-0.25091872,-0.04393548,"('mean', 'honorable')",-0.41948625,-0.17375699,0.113087334,0.2434604,4.830614,5.016675,1.0683241,1.2606107,0.1922866
35,-0.6918177,-0.6429306,"('corrupt', 'incorrupt')",0.24338315,0.14751288,-0.26556894,-0.2829941,-1.0995799,-1.1520678,-0.4533958,-0.4826199,-0.0292241
36,-1.4480522,-1.3017545,"('hostile', 'amicable')",-0.7259319,-0.79306364,0.26457295,0.18062307,-0.5933738,-0.7204646,-0.6256962,-0.6586649,-0.0329687
37,-0.05071806,-0.012719236,"('fake', 'genuine')",0.12098863,0.14751935,-0.519402,-0.4944449,0.042657726,0.04646384,-0.1016184,-0.0782952,0.0233232
38,0.4680675,0.5233462,"('untruthful', 'truthful')",0.45889476,0.54743063,0.64220434,0.7030737,-0.02628978,0.0290004,0.3857192,0.4507127,0.0649935
39,1.5209006,1.5622157,"('exploitative', 'cooperative')",1.4791539,1.4647341,0.9538175,1.0200343,0.47101292,0.5232097,1.1062212,1.1425484,0.0363272
