,billing_male,billing_female,tuple,average_male,average_female,female-male
0,-0.35948786,-0.4470251,"('unsociable', 'sociable')",-0.3594879,-0.4470251,-0.0875372
1,1.7286203,1.7495761,"('unfriendly', 'friendly')",1.7286203,1.7495761,0.0209558
2,0.061761577,0.09474318,"('unlikable', 'likable')",0.0617616,0.0947432,0.0329816
3,-0.030394508,-0.017787952,"('repellent', 'pleasant')",-0.0303945,-0.017788,0.0126065
4,-7.6833515,-7.731844,"('disliked', 'liked')",-7.6833515,-7.7318439,-0.0484924
5,0.08048575,0.111809805,"('distant', 'outgoing')",0.0804858,0.1118098,0.031324
6,0.38049307,0.38786593,"('distant', 'open')",0.3804931,0.3878659,0.0073728
7,0.31760705,0.30357143,"('insensitive', 'sensitive')",0.317607,0.3035714,-0.0140356
8,1.6943746,1.6476107,"('unaffectionate', 'affectionate')",1.6943746,1.6476107,-0.0467639
9,2.275216,2.288158,"('unaffectionate', 'caring')",2.2752161,2.2881579,0.0129418
10,0.37977976,0.322451,"('unsympathetic', 'sympathetic')",0.3797798,0.322451,-0.0573288
11,1.6660731,1.7013,"('unhelpful', 'helpful')",1.6660731,1.7013,0.0352269
12,-1.6232481,-1.6722482,"('unsupportive', 'supportive')",-1.6232481,-1.6722482,-0.0490001
13,-0.6062939,-0.6964772,"('impolite', 'polite')",-0.6062939,-0.6964772,-0.0901833
14,-0.49126148,-0.5934292,"('antisocial', 'social')",-0.4912615,-0.5934292,-0.1021677
15,-0.085298836,-0.1500709,"('boring', 'funny')",-0.0852988,-0.1500709,-0.0647721
16,-0.35790962,-0.2780917,"('unpopular', 'popular')",-0.3579096,-0.2780917,0.0798179
17,-0.16633165,-0.099835634,"('nasty', 'nice')",-0.1663316,-0.0998356,0.066496
18,-0.20009796,-0.2511478,"('disagreeable', 'welcoming')",-0.200098,-0.2511478,-0.0510498
19,-0.23960902,-0.20899421,"('inhospitable', 'hospitable')",-0.239609,-0.2089942,0.0306148
20,0.9065926,0.8315209,"('rough', 'thoughtful')",0.9065926,0.8315209,-0.0750717
21,-1.0407114,-1.0161225,"('immoral', 'moral')",-1.0407114,-1.0161225,0.0245889
22,-1.0900313,-1.1481395,"('untrustworthy', 'trustworthy')",-1.0900313,-1.1481395,-0.0581082
23,6.636345,6.6594257,"('insincere', 'sincere')",6.6363449,6.6594257,0.0230808
24,1.432983,1.2917958,"('dishonest', 'honest')",1.432983,1.2917958,-0.1411872
25,0.9511459,0.9529517,"('egoistic', 'altruistic')",0.9511459,0.9529517,0.0018058
26,1.3352737,1.3202766,"('hardhearted', 'benevolent')",1.3352737,1.3202766,-0.0149971
27,1.811114,1.6516361,"('hardhearted', 'softhearted')",1.811114,1.6516361,-0.1594779
28,1.1986171,1.1488643,"('disloyal', 'loyal')",1.1986171,1.1488643,-0.0497528
