,bioverativ_male,bioverativ_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.5927349,-0.6989396,"('unsociable', 'sociable')",-0.37170726,-0.52978265,-0.4822211,-0.6143612,-0.1321401
1,-1.0443997,-1.0763663,"('unfriendly', 'friendly')",1.5631336,1.3862151,0.2593669,0.1549244,-0.1044425
2,0.43509403,0.45584068,"('unlikable', 'likable')",0.8285264,0.8662362,0.6318102,0.6610385,0.0292283
3,-0.906227,-0.80789566,"('repellent', 'pleasant')",-0.08743256,-0.03512106,-0.4968298,-0.4215084,0.0753214
4,-0.5322288,-0.58005255,"('disliked', 'liked')",-5.6349316,-5.6910877,-3.0835803,-3.13557,-0.0519897
5,-0.6152903,-0.5305388,"('distant', 'outgoing')",0.056103442,0.044953167,-0.2795934,-0.2427928,0.0368006
6,-1.0122409,-0.94338024,"('distant', 'open')",0.25348908,0.20596142,-0.3793759,-0.3687094,0.0106665
7,-0.2972931,-0.22384655,"('insensitive', 'sensitive')",0.25081584,0.319424,-0.0232386,0.0477887,0.0710273
8,-1.6169292,-1.6430651,"('unaffectionate', 'affectionate')",0.27355132,0.20609668,-0.6716889,-0.7184842,-0.0467953
9,-1.2663637,-1.2466937,"('unaffectionate', 'caring')",0.82343674,0.842124,-0.2214635,-0.2022849,0.0191786
10,-0.7406563,-0.7172166,"('unsympathetic', 'sympathetic')",-0.66694087,-0.68094414,-0.7037986,-0.6990803,0.0047183
11,-0.40215817,-0.3855605,"('unhelpful', 'helpful')",1.6243567,1.6932671,0.6110993,0.6538533,0.042754
12,-0.12100614,-0.011223962,"('unsupportive', 'supportive')",-1.7239408,-1.656125,-0.9224735,-0.8336744,0.0887991
13,0.351416,0.28922224,"('impolite', 'polite')",-0.35928255,-0.335901,-0.0039333,-0.0233394,-0.0194061
14,-0.06568661,-0.08635615,"('antisocial', 'social')",-0.5175529,-0.53633285,-0.2916198,-0.3113445,-0.0197247
15,0.44362512,0.3640617,"('boring', 'funny')",0.7819096,0.7535419,0.6127673,0.5588018,-0.0539655
16,-0.6800035,-0.71297574,"('unpopular', 'popular')",0.7782217,0.7229348,0.0491091,0.0049795,-0.0441296
17,-0.043517955,-0.0036924724,"('nasty', 'nice')",-0.31575295,-0.27029684,-0.1796355,-0.1369947,0.0426408
18,0.0054509044,0.019548781,"('disagreeable', 'welcoming')",-0.15328845,-0.22203533,-0.0739188,-0.1012433,-0.0273245
19,-1.3888271,-1.3565638,"('inhospitable', 'hospitable')",-0.09377194,-0.065948874,-0.7412995,-0.7112563,0.0300432
20,0.66868085,0.7122019,"('rough', 'thoughtful')",1.1227512,1.0957361,0.8957161,0.903969,0.0082529
21,0.3772988,0.35901847,"('immoral', 'moral')",-0.33971423,-0.37109312,0.0187923,-0.0060373,-0.0248296
22,0.015488015,0.023900554,"('untrustworthy', 'trustworthy')",-0.9235042,-0.98462605,-0.4540081,-0.4803627,-0.0263546
23,-0.30129772,-0.29271588,"('insincere', 'sincere')",5.1791177,5.170338,2.43891,2.4388111,-9.89e-05
24,-0.38784838,-0.3777252,"('dishonest', 'honest')",0.52028453,0.4978443,0.0662181,0.0600595,-0.0061586
25,-0.41005656,-0.401953,"('egoistic', 'altruistic')",1.4317422,1.362934,0.5108428,0.4804905,-0.0303523
26,0.15172456,0.06747365,"('hardhearted', 'benevolent')",1.4654788,1.368318,0.8086017,0.7178958,-0.0907059
27,0.052552577,0.15756056,"('hardhearted', 'softhearted')",1.3064679,1.3039739,0.6795102,0.7307673,0.0512571
28,-0.4737496,-0.5409463,"('disloyal', 'loyal')",0.5438014,0.42749333,0.0350259,-0.0567265,-0.0917524
29,-0.22421075,-0.22792107,"('unfair', 'fair')",-0.58093786,-0.7290826,-0.4025743,-0.4785018,-0.0759275
30,0.28924614,0.28251502,"('intolerant', 'tolerant')",1.4842608,1.4117603,0.8867534,0.8471377,-0.0396157
31,-1.0860552,-1.04714,"('evil', 'good')",-0.84978384,-0.9873766,-0.9679195,-1.0172583,-0.0493388
32,0.66077805,0.6107501,"('unkind', 'kind')",0.9010102,0.79457,0.7808942,0.7026601,-0.0782341
33,0.048625737,0.020739803,"('wrong', 'right')",-0.37750897,-0.39613685,-0.1644416,-0.1876985,-0.0232569
34,0.19490357,0.28867072,"('mean', 'honorable')",5.9088655,5.9652333,3.0518844,3.1269519,0.0750675
