,philip_male,philip_female,tuple,morris_male,morris_female,international_male,international_female,inc_male,inc_female,average_male,average_female,female-male
0,0.4458392,0.2139174,"('unsociable', 'sociable')",0.36765674,0.21232131,-0.2449177,-0.45034277,-0.58589333,-0.78139913,-0.0043288,-0.2013758,-0.197047
1,-0.17064582,-0.5372555,"('unfriendly', 'friendly')",1.9232128,1.7974288,0.24405587,0.114399076,1.8288336,1.6284527,0.9563641,0.7507563,-0.2056078
2,1.1717379,1.0661231,"('unlikable', 'likable')",1.085906,1.0081674,1.3797143,1.423015,0.42622757,0.5412267,1.0158964,1.0096331,-0.0062633
3,-0.39274213,-0.425314,"('repellent', 'pleasant')",-1.4200119,-1.3879133,-0.072228774,-0.1631524,0.21956268,0.23010242,-0.416355,-0.4365694,-0.0202144
4,-0.79397136,-0.9516788,"('disliked', 'liked')",0.17374507,0.101077385,-0.48407796,-0.512309,-6.631166,-6.6992807,-1.9338676,-2.0155478,-0.0816802
5,-0.9578603,-0.9829728,"('distant', 'outgoing')",0.7279966,0.7106857,-0.12827614,-0.0541425,-0.21629895,-0.100774765,-0.1436097,-0.1068011,0.0368086
6,-0.9198644,-0.99358135,"('distant', 'open')",0.8362834,0.876944,-0.34914303,-0.25414065,0.34584844,0.43854588,-0.0217189,0.016942,0.0386609
7,-0.30383816,-0.46857858,"('insensitive', 'sensitive')",-0.6735851,-0.67398137,-0.15814225,-0.26879066,0.8964978,0.8042175,-0.0597669,-0.1517833,-0.0920164
8,0.30934185,0.1609738,"('unaffectionate', 'affectionate')",1.7884864,1.772278,0.0026160926,-0.034336656,0.64668554,0.49870625,0.6867825,0.5994053,-0.0873772
9,0.06263808,-0.21098772,"('unaffectionate', 'caring')",1.239948,1.1663777,0.5616154,0.48342657,1.1147243,0.9810883,0.7447314,0.6049762,-0.1397552
10,-0.59352624,-0.9515405,"('unsympathetic', 'sympathetic')",-1.2264804,-1.3285105,-1.0371712,-1.1882238,-0.29006082,-0.437061,-0.7868096,-0.976334,-0.1895244
