,satellite_male,satellite_female,tuple,average_male,average_female,female-male
0,-0.03511802,-0.020287143,"('unsociable', 'sociable')",-0.035118,-0.0202871,0.0148309
1,1.5606958,1.5152053,"('unfriendly', 'friendly')",1.5606958,1.5152053,-0.0454905
2,0.18656164,0.29646903,"('unlikable', 'likable')",0.1865616,0.296469,0.1099074
3,0.7498158,0.9257318,"('repellent', 'pleasant')",0.7498158,0.9257318,0.175916
4,-6.945391,-7.1205664,"('disliked', 'liked')",-6.9453912,-7.1205664,-0.1751752
5,-0.07129569,-0.16156098,"('distant', 'outgoing')",-0.0712957,-0.161561,-0.0902653
6,0.28354597,0.17905416,"('distant', 'open')",0.283546,0.1790542,-0.1044918
7,0.8625214,1.0212618,"('insensitive', 'sensitive')",0.8625214,1.0212618,0.1587404
8,1.4520769,1.373763,"('unaffectionate', 'affectionate')",1.4520769,1.373763,-0.0783139
9,1.6794018,1.6702977,"('unaffectionate', 'caring')",1.6794018,1.6702977,-0.0091041
10,0.43185326,0.6296692,"('unsympathetic', 'sympathetic')",0.4318533,0.6296692,0.1978159
11,1.3558644,1.5083292,"('unhelpful', 'helpful')",1.3558644,1.5083292,0.1524648
12,-1.4557462,-1.4181492,"('unsupportive', 'supportive')",-1.4557462,-1.4181492,0.037597
13,-0.28453362,-0.123627566,"('impolite', 'polite')",-0.2845336,-0.1236276,0.160906
14,-0.19631973,-0.10935259,"('antisocial', 'social')",-0.1963197,-0.1093526,0.0869671
15,0.48482051,0.38408607,"('boring', 'funny')",0.4848205,0.3840861,-0.1007344
16,-0.30260313,-0.33823884,"('unpopular', 'popular')",-0.3026031,-0.3382388,-0.0356357
17,0.014419263,-0.0031367112,"('nasty', 'nice')",0.0144193,-0.0031367,-0.017556
18,-0.5167419,-0.4240144,"('disagreeable', 'welcoming')",-0.5167419,-0.4240144,0.0927275
19,-0.41555288,-0.41163075,"('inhospitable', 'hospitable')",-0.4155529,-0.4116307,0.0039222
20,0.6666531,0.50860405,"('rough', 'thoughtful')",0.6666531,0.508604,-0.1580491
21,-0.68415594,-0.40854728,"('immoral', 'moral')",-0.6841559,-0.4085473,0.2756086
22,-0.537371,-0.47127494,"('untrustworthy', 'trustworthy')",-0.537371,-0.4712749,0.0660961
23,5.8925967,6.157574,"('insincere', 'sincere')",5.8925967,6.1575742,0.2649775
24,1.1478999,1.1979891,"('dishonest', 'honest')",1.1478999,1.1979891,0.0500892
25,1.2062827,1.1776801,"('egoistic', 'altruistic')",1.2062827,1.1776801,-0.0286026
26,1.4801835,1.2222481,"('hardhearted', 'benevolent')",1.4801835,1.2222481,-0.2579354
27,1.8484584,1.7146698,"('hardhearted', 'softhearted')",1.8484584,1.7146698,-0.1337886
28,1.5091057,1.3529371,"('disloyal', 'loyal')",1.5091057,1.3529371,-0.1561686
29,-0.2197433,-0.41097838,"('unfair', 'fair')",-0.2197433,-0.4109784,-0.1912351
30,0.38737115,0.5519122,"('intolerant', 'tolerant')",0.3873712,0.5519122,0.164541
31,-0.48094168,-0.68958104,"('evil', 'good')",-0.4809417,-0.689581,-0.2086393
32,0.88785946,0.86468124,"('unkind', 'kind')",0.8878595,0.8646812,-0.0231783
33,0.19802287,0.04322969,"('wrong', 'right')",0.1980229,0.0432297,-0.1547932
34,4.118983,4.3867574,"('mean', 'honorable')",4.1189828,4.3867574,0.2677746
35,-0.38397914,-0.80753154,"('corrupt', 'incorrupt')",-0.3839791,-0.8075315,-0.4235524
36,0.014425859,-0.32384357,"('hostile', 'amicable')",0.0144259,-0.3238436,-0.3382695
37,0.6396035,0.71013874,"('fake', 'genuine')",0.6396035,0.7101387,0.0705352
38,-0.28840524,-0.18565288,"('untruthful', 'truthful')",-0.2884052,-0.1856529,0.1027523
39,0.34240457,0.39257047,"('exploitative', 'cooperative')",0.3424046,0.3925705,0.0501659
40,-1.175145,-1.1921684,"('stingy', 'generous')",-1.175145,-1.1921684,-0.0170234
41,0.62588567,0.49824548,"('unforgiving', 'forgiving')",0.6258857,0.4982455,-0.1276402
42,-2.6828527,-2.62427,"('unreliable', 'reliable')",-2.6828527,-2.62427,0.0585827
43,0.6089873,0.80121136,"('irresponsible', 'responsible')",0.6089873,0.8012114,0.1922241
44,-1.1999776,-1.2259802,"('prejudiced', 'unprejudiced')",-1.1999776,-1.2259802,-0.0260026
45,0.13742039,0.056841724,"('incompetent', 'competent')",0.1374204,0.0568417,-0.0805787
46,-1.3604149,-1.2508073,"('uncompetitive', 'competitive')",-1.3604149,-1.2508073,0.1096076
47,4.595204,4.765013,"('stupid', 'smart')",4.5952039,4.7650132,0.1698093
48,0.2969283,0.3835978,"('unintelligent', 'intelligent')",0.2969283,0.3835978,0.0866695
49,-0.2342031,-0.10230972,"('unable', 'able')",-0.2342031,-0.1023097,0.1318934
50,-0.56137985,-0.52487004,"('clumsy', 'skillful')",-0.5613798,-0.52487,0.0365098
51,0.01654135,0.13559565,"('uneducated', 'educated')",0.0165414,0.1355956,0.1190542
52,0.45720237,0.21811144,"('irrational', 'rational')",0.4572024,0.2181114,-0.239091
53,0.016998347,-0.03653259,"('uncreative', 'creative')",0.0169983,-0.0365326,-0.0535309
54,0.77287924,0.84024405,"('incapable', 'capable')",0.7728792,0.8402441,0.0673649
55,0.25501278,0.5043438,"('incompetent', 'clever')",0.2550128,0.5043438,0.249331
56,-0.13248263,-0.046450656,"('impractical', 'practical')",-0.1324826,-0.0464507,0.0860319
57,-2.3979592,-2.502664,"('unimaginative', 'imaginative')",-2.3979592,-2.5026641,-0.1047049
58,0.32557124,0.30463865,"('undiscriminating', 'discriminating')",0.3255712,0.3046387,-0.0209325
59,0.24659386,0.23199484,"('foolish', 'wise')",0.2465939,0.2319948,-0.0145991
60,-0.3453589,0.025523135,"('inefficient', 'efficient')",-0.3453589,0.0255231,0.370882
61,0.31664473,0.19106951,"('illogical', 'logical')",0.3166447,0.1910695,-0.1255752
62,0.16597642,0.45638222,"('incompetent', 'brilliant')",0.1659764,0.4563822,0.2904058
63,-0.019706257,0.14420414,"('unperceptive', 'insightful')",-0.0197063,0.1442041,0.1639104
64,-6.655695,-6.5344996,"('shy', 'confident')",-6.655695,-6.5344996,0.1211954
65,-0.40561926,-0.13034083,"('insecure', 'secure')",-0.4056193,-0.1303408,0.2752785
66,0.13062446,-0.13592033,"('inactive', 'active')",0.1306245,-0.1359203,-0.2665448
67,-0.43654388,-0.38364705,"('doubtful', 'determined')",-0.4365439,-0.3836471,0.0528968
68,-1.2729111,-1.1102332,"('dependent', 'independent')",-1.2729111,-1.1102332,0.1626779
69,-1.4389405,-1.6394684,"('lazy', 'industrious')",-1.4389405,-1.6394684,-0.2005279
70,0.67245764,0.76963186,"('lethargic', 'energetic')",0.6724576,0.7696319,0.0971743
