,basketball_male,basketball_female,tuple,average_male,average_female,female-male
0,0.40313563,0.2522733,"('unsociable', 'sociable')",0.4031356,0.2522733,-0.1508623
1,1.5370551,1.5535103,"('unfriendly', 'friendly')",1.5370551,1.5535103,0.0164552
2,0.46227723,0.47764146,"('unlikable', 'likable')",0.4622772,0.4776415,0.0153643
3,0.71330786,0.8184081,"('repellent', 'pleasant')",0.7133079,0.8184081,0.1051002
4,-7.6686535,-7.7709074,"('disliked', 'liked')",-7.6686535,-7.7709074,-0.1022539
5,-0.08675195,-0.023350619,"('distant', 'outgoing')",-0.086752,-0.0233506,0.0634014
6,0.07482001,0.17102563,"('distant', 'open')",0.07482,0.1710256,0.0962056
7,0.8429201,1.008543,"('insensitive', 'sensitive')",0.8429201,1.008543,0.1656229
8,1.3532982,1.3605903,"('unaffectionate', 'affectionate')",1.3532982,1.3605903,0.0072921
9,2.0716991,2.1283777,"('unaffectionate', 'caring')",2.0716991,2.1283777,0.0566786
10,0.68789655,0.77415675,"('unsympathetic', 'sympathetic')",0.6878965,0.7741567,0.0862602
11,2.297151,2.3919244,"('unhelpful', 'helpful')",2.2971511,2.3919244,0.0947733
12,-1.3585384,-1.2524652,"('unsupportive', 'supportive')",-1.3585384,-1.2524652,0.1060732
13,0.35655504,0.25573975,"('impolite', 'polite')",0.356555,0.2557397,-0.1008153
14,0.28596342,0.15927106,"('antisocial', 'social')",0.2859634,0.1592711,-0.1266923
15,0.6114622,0.5667804,"('boring', 'funny')",0.6114622,0.5667804,-0.0446818
16,-0.49438414,-0.46634865,"('unpopular', 'popular')",-0.4943841,-0.4663486,0.0280355
17,-0.20040922,-0.14350404,"('nasty', 'nice')",-0.2004092,-0.143504,0.0569052
18,-0.32568443,-0.31981352,"('disagreeable', 'welcoming')",-0.3256844,-0.3198135,0.0058709
19,-0.39215118,-0.3382413,"('inhospitable', 'hospitable')",-0.3921512,-0.3382413,0.0539099
20,0.36712572,0.3767724,"('rough', 'thoughtful')",0.3671257,0.3767724,0.0096467
21,0.2987268,0.33305874,"('immoral', 'moral')",0.2987268,0.3330587,0.0343319
22,-0.5199287,-0.5418452,"('untrustworthy', 'trustworthy')",-0.5199287,-0.5418452,-0.0219165
23,6.8872795,7.024253,"('insincere', 'sincere')",6.8872795,7.0242529,0.1369734
24,1.9012296,1.904913,"('dishonest', 'honest')",1.9012296,1.9049129,0.0036833
25,1.0043398,0.98268515,"('egoistic', 'altruistic')",1.0043398,0.9826851,-0.0216547
26,1.0769106,0.872845,"('hardhearted', 'benevolent')",1.0769106,0.872845,-0.2040656
27,1.5123032,1.5339642,"('hardhearted', 'softhearted')",1.5123032,1.5339642,0.021661
28,1.5042592,1.3734143,"('disloyal', 'loyal')",1.5042592,1.3734143,-0.1308449
29,-0.763043,-0.8798616,"('unfair', 'fair')",-0.763043,-0.8798616,-0.1168186
30,1.1505804,1.1036017,"('intolerant', 'tolerant')",1.1505804,1.1036017,-0.0469787
31,-1.6818855,-1.6368287,"('evil', 'good')",-1.6818855,-1.6368287,0.0450568
32,1.5164814,1.3349743,"('unkind', 'kind')",1.5164814,1.3349743,-0.1815071
33,0.22223485,0.12279658,"('wrong', 'right')",0.2222348,0.1227966,-0.0994382
34,4.916961,5.1558905,"('mean', 'honorable')",4.9169612,5.1558905,0.2389293
35,-0.98258835,-1.1708615,"('corrupt', 'incorrupt')",-0.9825884,-1.1708615,-0.1882731
36,-0.86721015,-1.0477388,"('hostile', 'amicable')",-0.8672101,-1.0477388,-0.1805287
37,0.8312311,0.91978395,"('fake', 'genuine')",0.8312311,0.9197839,0.0885528
38,0.50117165,0.5129094,"('untruthful', 'truthful')",0.5011716,0.5129094,0.0117378
39,0.67131376,0.6670193,"('exploitative', 'cooperative')",0.6713138,0.6670193,-0.0042945
40,-1.8199632,-1.7718844,"('stingy', 'generous')",-1.8199632,-1.7718844,0.0480788
41,0.7012096,0.5014565,"('unforgiving', 'forgiving')",0.7012096,0.5014565,-0.1997531
42,-3.2271874,-3.067475,"('unreliable', 'reliable')",-3.2271874,-3.0674751,0.1597123
43,1.2129554,1.3371139,"('irresponsible', 'responsible')",1.2129554,1.3371139,0.1241585
44,-1.6769036,-1.6484971,"('prejudiced', 'unprejudiced')",-1.6769036,-1.6484971,0.0284065
45,0.005604621,-0.013960015,"('incompetent', 'competent')",0.0056046,-0.01396,-0.0195646
46,-0.64036506,-0.69445056,"('uncompetitive', 'competitive')",-0.6403651,-0.6944506,-0.0540855
47,5.373278,5.4502854,"('stupid', 'smart')",5.3732781,5.4502854,0.0770073
48,0.61469275,0.62479943,"('unintelligent', 'intelligent')",0.6146927,0.6247994,0.0101067
49,0.025981665,0.14859799,"('unable', 'able')",0.0259817,0.148598,0.1226163
50,-0.40419587,-0.3883271,"('clumsy', 'skillful')",-0.4041959,-0.3883271,0.0158688
51,0.33441395,0.2903192,"('uneducated', 'educated')",0.3344139,0.2903192,-0.0440947
52,0.2294161,0.06942941,"('irrational', 'rational')",0.2294161,0.0694294,-0.1599867
53,-0.24241813,-0.23798008,"('uncreative', 'creative')",-0.2424181,-0.2379801,0.004438
54,1.0377904,1.1173614,"('incapable', 'capable')",1.0377904,1.1173614,0.079571
55,0.71955496,0.79773414,"('incompetent', 'clever')",0.719555,0.7977341,0.0781791
56,0.6494533,0.690207,"('impractical', 'practical')",0.6494533,0.690207,0.0407537
57,-2.9387116,-2.9226174,"('unimaginative', 'imaginative')",-2.9387116,-2.9226174,0.0160942
58,0.0060836,0.0102524925,"('undiscriminating', 'discriminating')",0.0060836,0.0102525,0.0041689
59,0.2822928,0.20549433,"('foolish', 'wise')",0.2822928,0.2054943,-0.0767985
60,0.8234211,0.96631944,"('inefficient', 'efficient')",0.8234211,0.9663194,0.1428983
61,0.9681481,0.76066613,"('illogical', 'logical')",0.9681481,0.7606661,-0.207482
62,0.8630169,1.0756454,"('incompetent', 'brilliant')",0.8630169,1.0756454,0.2126285
63,0.5375167,0.63759744,"('unperceptive', 'insightful')",0.5375167,0.6375974,0.1000807
64,-6.6934357,-6.686596,"('shy', 'confident')",-6.6934357,-6.6865959,0.0068398
65,0.33629143,0.3759608,"('insecure', 'secure')",0.3362914,0.3759608,0.0396694
66,-0.5369489,-0.5439746,"('inactive', 'active')",-0.5369489,-0.5439746,-0.0070257
67,-0.28838393,-0.36341244,"('doubtful', 'determined')",-0.2883839,-0.3634124,-0.0750285
68,-0.78666383,-0.76891845,"('dependent', 'independent')",-0.7866638,-0.7689185,0.0177453
69,-1.9777955,-2.0562873,"('lazy', 'industrious')",-1.9777955,-2.0562873,-0.0784918
70,0.72108316,0.85859495,"('lethargic', 'energetic')",0.7210832,0.858595,0.1375118
71,0.5030628,0.5019496,"('diffident', 'self-confident')",0.5030628,0.5019496,-0.0011132
72,0.6079066,0.72901785,"('unambitious', 'ambitious')",0.6079066,0.7290179,0.1211113
73,-3.2796202,-3.089987,"('helpless', 'self-reliant')",-3.2796202,-3.089987,0.1896332
74,0.36569557,0.27840054,"('undedicated', 'dedicated')",0.3656956,0.2784005,-0.0872951
75,-1.4609067,-1.3734556,"('meek', 'impulsive')",-1.4609067,-1.3734556,0.0874511
