,freeport_male,freeport_female,tuple,mcmoran_male,mcmoran_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.21591657,-0.35912636,"('unsociable', 'sociable')",-1.2336879,-1.5561327,-0.33450502,-0.5531797,-0.5947032,-0.8228129,-0.2281097
1,-1.3664246,-1.5553789,"('unfriendly', 'friendly')",-0.9984638,-1.1195313,2.1158211,2.0123525,-0.0830224,-0.2208525,-0.1378301
2,0.542003,0.6026202,"('unlikable', 'likable')",0.19739784,0.12420764,0.69964296,0.80682373,0.4796813,0.5112172,0.0315359
3,0.2108367,0.2802362,"('repellent', 'pleasant')",-0.3797601,-0.24685296,0.24976677,0.29263255,0.0269478,0.1086719,0.0817241
4,-0.19894749,-0.26174083,"('disliked', 'liked')",0.47620854,0.4747532,-6.315812,-6.2893777,-2.0128503,-2.0254552,-0.0126049
5,-1.2928737,-1.2660913,"('distant', 'outgoing')",0.507198,0.5249935,-0.30650932,-0.171846,-0.3640617,-0.3043146,0.0597471
6,-1.289797,-1.2325323,"('distant', 'open')",0.21909776,0.3029148,0.19761458,0.3384322,-0.2910282,-0.1970618,0.0939664
7,0.9394361,1.0192438,"('insensitive', 'sensitive')",-0.33972663,-0.30195284,1.0994432,1.1479867,0.5663842,0.6217592,0.055375
8,-1.4673223,-1.5391986,"('unaffectionate', 'affectionate')",-0.6813899,-0.7093307,1.048698,1.0037843,-0.3666714,-0.414915,-0.0482436
9,-1.0660207,-1.1059673,"('unaffectionate', 'caring')",-0.7860537,-0.7711556,1.5001825,1.4540675,-0.1172973,-0.1410185,-0.0237212
10,-0.2886636,-0.27273992,"('unsympathetic', 'sympathetic')",-1.7146257,-1.7485373,0.18420249,0.05530831,-0.6063623,-0.6553229,-0.0489606
11,0.080388926,0.16571514,"('unhelpful', 'helpful')",-0.962119,-0.9434488,1.944779,1.9476632,0.3543497,0.3899765,0.0356268
12,-0.30786076,-0.20671745,"('unsupportive', 'supportive')",-0.4323464,-0.27897137,-1.3812635,-1.3334477,-0.7071569,-0.6063788,0.1007781
13,0.42215863,0.31966093,"('impolite', 'polite')",-0.7447923,-0.88859504,-0.12452681,-0.22344534,-0.1490535,-0.2641265,-0.115073
14,1.0612879,1.0722442,"('antisocial', 'social')",-1.0453328,-1.0692233,-0.40471616,-0.47775212,-0.129587,-0.1582437,-0.0286567
15,-0.054836012,-0.15408587,"('boring', 'funny')",0.010969756,-0.13228394,0.36554828,0.4480331,0.1072273,0.0538878,-0.0533395
16,-1.3051884,-1.3147889,"('unpopular', 'popular')",-0.35483193,-0.34753746,0.17198005,0.2246829,-0.4960134,-0.4792145,0.0167989
