,pea_male,pea_female,tuple,average_male,average_female,female-male
0,0.0615593,0.021861684,"('unsociable', 'sociable')",0.0615593,0.0218617,-0.0396976
1,0.9509623,0.7748779,"('unfriendly', 'friendly')",0.9509623,0.7748779,-0.1760844
2,0.1654969,0.34668657,"('unlikable', 'likable')",0.1654969,0.3466866,0.1811897
3,0.7804866,0.92569494,"('repellent', 'pleasant')",0.7804866,0.9256949,0.1452083
4,-6.781476,-7.0017676,"('disliked', 'liked')",-6.781476,-7.0017676,-0.2202916
5,-0.45634893,-0.49144173,"('distant', 'outgoing')",-0.4563489,-0.4914417,-0.0350928
6,0.13494667,0.0026483536,"('distant', 'open')",0.1349467,0.0026484,-0.1322983
7,1.0939835,1.0676353,"('insensitive', 'sensitive')",1.0939835,1.0676353,-0.0263482
8,0.89220095,0.70218855,"('unaffectionate', 'affectionate')",0.8922009,0.7021886,-0.1900123
9,1.3811805,1.3320303,"('unaffectionate', 'caring')",1.3811805,1.3320303,-0.0491502
10,1.083556,1.1428347,"('unsympathetic', 'sympathetic')",1.0835561,1.1428347,0.0592786
11,1.4238926,1.4687928,"('unhelpful', 'helpful')",1.4238926,1.4687928,0.0449002
12,-1.5681775,-1.6016707,"('unsupportive', 'supportive')",-1.5681775,-1.6016707,-0.0334932
13,0.023072094,0.13764894,"('impolite', 'polite')",0.0230721,0.1376489,0.1145768
14,-0.030544342,-0.01137433,"('antisocial', 'social')",-0.0305443,-0.0113743,0.01917
15,0.21834147,0.099311456,"('boring', 'funny')",0.2183415,0.0993115,-0.11903
16,-0.3119389,-0.33779117,"('unpopular', 'popular')",-0.3119389,-0.3377912,-0.0258523
17,0.051789016,0.042920798,"('nasty', 'nice')",0.051789,0.0429208,-0.0088682
18,-0.43229833,-0.38084966,"('disagreeable', 'welcoming')",-0.4322983,-0.3808497,0.0514486
19,-0.72491723,-0.783691,"('inhospitable', 'hospitable')",-0.7249172,-0.783691,-0.0587738
20,0.8858356,0.80895853,"('rough', 'thoughtful')",0.8858356,0.8089585,-0.0768771
21,-0.1530921,0.09589455,"('immoral', 'moral')",-0.1530921,0.0958946,0.2489867
22,-0.09769607,-0.05112983,"('untrustworthy', 'trustworthy')",-0.0976961,-0.0511298,0.0465663
23,5.4452233,5.554878,"('insincere', 'sincere')",5.4452233,5.5548782,0.1096549
24,1.377523,1.384523,"('dishonest', 'honest')",1.3775229,1.384523,0.0070001
25,0.4128814,0.38053513,"('egoistic', 'altruistic')",0.4128814,0.3805351,-0.0323463
26,0.8568814,0.5450951,"('hardhearted', 'benevolent')",0.8568814,0.5450951,-0.3117863
27,1.6920304,1.4790244,"('hardhearted', 'softhearted')",1.6920304,1.4790244,-0.213006
28,1.0440648,0.9599518,"('disloyal', 'loyal')",1.0440648,0.9599518,-0.084113
29,-0.35589132,-0.504367,"('unfair', 'fair')",-0.3558913,-0.504367,-0.1484757
30,0.6980822,0.822803,"('intolerant', 'tolerant')",0.6980822,0.822803,0.1247208
31,-1.2058687,-1.341767,"('evil', 'good')",-1.2058687,-1.341767,-0.1358983
32,1.1053336,1.0064443,"('unkind', 'kind')",1.1053336,1.0064443,-0.0988893
33,-0.38685822,-0.42536727,"('wrong', 'right')",-0.3868582,-0.4253673,-0.0385091
34,3.9556656,4.155535,"('mean', 'honorable')",3.9556656,4.1555352,0.1998696
35,-0.8723138,-1.2085017,"('corrupt', 'incorrupt')",-0.8723138,-1.2085017,-0.3361879
36,-0.6411799,-0.80808085,"('hostile', 'amicable')",-0.6411799,-0.8080809,-0.166901
37,0.8175905,0.79364794,"('fake', 'genuine')",0.8175905,0.7936479,-0.0239426
38,-0.6284737,-0.52973986,"('untruthful', 'truthful')",-0.6284737,-0.5297399,0.0987338
39,0.24900852,0.2997885,"('exploitative', 'cooperative')",0.2490085,0.2997885,0.05078
40,-1.1351783,-1.3312899,"('stingy', 'generous')",-1.1351783,-1.3312899,-0.1961116
41,0.3399855,0.32285234,"('unforgiving', 'forgiving')",0.3399855,0.3228523,-0.0171332
42,-1.5230108,-1.5457497,"('unreliable', 'reliable')",-1.5230108,-1.5457497,-0.0227389
43,0.9686686,1.1360013,"('irresponsible', 'responsible')",0.9686686,1.1360013,0.1673327
44,-0.7532582,-0.74086964,"('prejudiced', 'unprejudiced')",-0.7532582,-0.7408696,0.0123886
45,0.48647708,0.33571494,"('incompetent', 'competent')",0.4864771,0.3357149,-0.1507622
46,-0.24936503,-0.15613708,"('uncompetitive', 'competitive')",-0.249365,-0.1561371,0.0932279
47,4.556549,4.742627,"('stupid', 'smart')",4.5565491,4.7426271,0.186078
48,0.32115984,0.30422035,"('unintelligent', 'intelligent')",0.3211598,0.3042203,-0.0169395
49,-0.28950763,-0.10918751,"('unable', 'able')",-0.2895076,-0.1091875,0.1803201
50,-0.2602743,-0.31544197,"('clumsy', 'skillful')",-0.2602743,-0.315442,-0.0551677
51,-0.05350212,-0.06258526,"('uneducated', 'educated')",-0.0535021,-0.0625853,-0.0090832
52,-0.28868288,-0.5505864,"('irrational', 'rational')",-0.2886829,-0.5505864,-0.2619035
53,0.000108755194,-0.1614783,"('uncreative', 'creative')",0.0001088,-0.1614783,-0.1615871
