,broker_male,broker_female,tuple,average_male,average_female,female-male
0,0.011180164,-0.23544353,"('unsociable', 'sociable')",0.0111802,-0.2354435,-0.2466237
1,1.7964245,1.8177223,"('unfriendly', 'friendly')",1.7964245,1.8177223,0.0212978
2,0.71288,0.8080075,"('unlikable', 'likable')",0.71288,0.8080075,0.0951275
3,0.007737937,0.15276563,"('repellent', 'pleasant')",0.0077379,0.1527656,0.1450277
4,-7.8617387,-7.7461534,"('disliked', 'liked')",-7.8617387,-7.7461534,0.1155853
5,-0.021654371,0.12596086,"('distant', 'outgoing')",-0.0216544,0.1259609,0.1476153
6,0.44856647,0.5675501,"('distant', 'open')",0.4485665,0.5675501,0.1189836
7,0.39472565,0.5752388,"('insensitive', 'sensitive')",0.3947257,0.5752388,0.1805131
8,1.6362722,1.6378901,"('unaffectionate', 'affectionate')",1.6362722,1.6378901,0.0016179
9,2.2021487,2.3290117,"('unaffectionate', 'caring')",2.2021487,2.3290117,0.126863
10,0.57536477,0.66057473,"('unsympathetic', 'sympathetic')",0.5753648,0.6605747,0.0852099
11,2.2283142,2.3325365,"('unhelpful', 'helpful')",2.2283142,2.3325365,0.1042223
12,-1.60154,-1.5503658,"('unsupportive', 'supportive')",-1.60154,-1.5503658,0.0511742
13,0.11678326,-0.045233257,"('impolite', 'polite')",0.1167833,-0.0452333,-0.1620166
14,-0.45917428,-0.58037245,"('antisocial', 'social')",-0.4591743,-0.5803725,-0.1211982
15,0.34839925,0.29915947,"('boring', 'funny')",0.3483993,0.2991595,-0.0492398
16,-0.18679291,-0.053040028,"('unpopular', 'popular')",-0.1867929,-0.05304,0.1337529
17,0.21396284,0.20245987,"('nasty', 'nice')",0.2139628,0.2024599,-0.0115029
18,-0.6225219,-0.6636316,"('disagreeable', 'welcoming')",-0.6225219,-0.6636316,-0.0411097
19,-0.24630733,-0.074313834,"('inhospitable', 'hospitable')",-0.2463073,-0.0743138,0.1719935
20,0.62961733,0.49584836,"('rough', 'thoughtful')",0.6296173,0.4958484,-0.1337689
21,-0.475684,-0.32076955,"('immoral', 'moral')",-0.475684,-0.3207695,0.1549145
