,glockenspiel_male,glockenspiel_female,tuple,average_male,average_female,female-male
0,-0.69824487,-0.76610094,"('unsociable', 'sociable')",-0.6982449,-0.7661009,-0.067856
1,-0.740853,-0.91210103,"('unfriendly', 'friendly')",-0.740853,-0.912101,-0.171248
2,-0.2767106,-0.2224033,"('unlikable', 'likable')",-0.2767106,-0.2224033,0.0543073
3,-0.94744974,-0.73668104,"('repellent', 'pleasant')",-0.9474497,-0.736681,0.2107687
4,-0.14617859,-0.17499448,"('disliked', 'liked')",-0.1461786,-0.1749945,-0.0288159
5,0.62732345,0.59936166,"('distant', 'outgoing')",0.6273234,0.5993617,-0.0279617
6,0.6741756,0.6137197,"('distant', 'open')",0.6741756,0.6137197,-0.0604559
7,-0.8412541,-0.7982944,"('insensitive', 'sensitive')",-0.8412541,-0.7982944,0.0429597
8,-0.34852207,-0.45546862,"('unaffectionate', 'affectionate')",-0.3485221,-0.4554686,-0.1069465
9,-0.6153459,-0.7168498,"('unaffectionate', 'caring')",-0.6153459,-0.7168498,-0.1015039
10,-2.6402938,-2.5662925,"('unsympathetic', 'sympathetic')",-2.6402938,-2.5662925,0.0740013
11,-1.2351332,-1.1889386,"('unhelpful', 'helpful')",-1.2351332,-1.1889386,0.0461946
12,-1.5198895,-1.4883136,"('unsupportive', 'supportive')",-1.5198895,-1.4883136,0.0315759
13,-0.86327237,-0.8146453,"('impolite', 'polite')",-0.8632724,-0.8146453,0.0486271
14,-0.51405334,-0.429289,"('antisocial', 'social')",-0.5140533,-0.429289,0.0847643
15,1.2029479,1.0952077,"('boring', 'funny')",1.2029479,1.0952077,-0.1077402
16,0.9373182,0.91750747,"('unpopular', 'popular')",0.9373182,0.9175075,-0.0198107
17,-0.8919362,-0.8062102,"('nasty', 'nice')",-0.8919362,-0.8062102,0.085726
18,-0.97868943,-0.9916617,"('disagreeable', 'welcoming')",-0.9786894,-0.9916617,-0.0129723
19,0.07149001,0.047482416,"('inhospitable', 'hospitable')",0.07149,0.0474824,-0.0240076
20,-0.7207896,-0.6549002,"('rough', 'thoughtful')",-0.7207896,-0.6549002,0.0658894
21,-1.5645647,-1.4353851,"('immoral', 'moral')",-1.5645647,-1.4353851,0.1291796
22,-0.88906735,-0.86798316,"('untrustworthy', 'trustworthy')",-0.8890674,-0.8679832,0.0210842
23,-0.5827412,-0.60396945,"('insincere', 'sincere')",-0.5827412,-0.6039695,-0.0212283
24,-1.3841017,-1.4873564,"('dishonest', 'honest')",-1.3841017,-1.4873564,-0.1032547
25,-0.034243766,-0.049049154,"('egoistic', 'altruistic')",-0.0342438,-0.0490492,-0.0148054
26,0.061283823,-0.16661128,"('hardhearted', 'benevolent')",0.0612838,-0.1666113,-0.2278951
27,-1.0026532,-0.99183756,"('hardhearted', 'softhearted')",-1.0026532,-0.9918376,0.0108156
28,-1.3198105,-1.4275503,"('disloyal', 'loyal')",-1.3198105,-1.4275503,-0.1077398
29,0.10982363,0.07262303,"('unfair', 'fair')",0.1098236,0.072623,-0.0372006
30,-1.1570956,-1.1147897,"('intolerant', 'tolerant')",-1.1570956,-1.1147897,0.0423059
31,0.46087646,0.38494545,"('evil', 'good')",0.4608765,0.3849455,-0.075931
