,motive_male,motive_female,tuple,average_male,average_female,female-male
0,0.19656502,0.1813227,"('unsociable', 'sociable')",0.196565,0.1813227,-0.0152423
1,0.9900255,0.8358514,"('unfriendly', 'friendly')",0.9900255,0.8358514,-0.1541741
2,0.0058092903,0.091775455,"('unlikable', 'likable')",0.0058093,0.0917755,0.0859662
3,0.6286705,0.7530709,"('repellent', 'pleasant')",0.6286705,0.7530709,0.1244004
4,-7.4719925,-7.6956973,"('disliked', 'liked')",-7.4719925,-7.6956973,-0.2237048
5,-0.36591226,-0.4641157,"('distant', 'outgoing')",-0.3659123,-0.4641157,-0.0982034
6,0.018424585,-0.17308328,"('distant', 'open')",0.0184246,-0.1730833,-0.1915079
7,1.3188727,1.380242,"('insensitive', 'sensitive')",1.3188727,1.380242,0.0613693
8,1.1110727,0.96513957,"('unaffectionate', 'affectionate')",1.1110727,0.9651396,-0.1459331
9,1.4611739,1.454524,"('unaffectionate', 'caring')",1.4611739,1.454524,-0.0066499
10,1.0598135,1.2176938,"('unsympathetic', 'sympathetic')",1.0598135,1.2176938,0.1578803
11,1.8236564,1.9695915,"('unhelpful', 'helpful')",1.8236564,1.9695915,0.1459351
12,-1.6142159,-1.5880708,"('unsupportive', 'supportive')",-1.6142159,-1.5880708,0.0261451
13,-0.16647923,0.098201916,"('impolite', 'polite')",-0.1664792,0.0982019,0.2646811
14,0.23634265,0.28237352,"('antisocial', 'social')",0.2363427,0.2823735,0.0460308
15,0.6067744,0.4892378,"('boring', 'funny')",0.6067744,0.4892378,-0.1175366
16,-0.7521808,-0.7681533,"('unpopular', 'popular')",-0.7521808,-0.7681533,-0.0159725
17,0.33890676,0.30853137,"('nasty', 'nice')",0.3389068,0.3085314,-0.0303754
18,-0.6449128,-0.5948514,"('disagreeable', 'welcoming')",-0.6449128,-0.5948514,0.0500614
19,-0.515253,-0.52921987,"('inhospitable', 'hospitable')",-0.515253,-0.5292199,-0.0139669
