,median_male,median_female,tuple,average_male,average_female,female-male
0,-0.6463378,-0.6762955,"('unsociable', 'sociable')",-0.6463378,-0.6762955,-0.0299577
1,1.5760642,1.5903893,"('unfriendly', 'friendly')",1.5760642,1.5903893,0.0143251
2,-0.10310586,-0.04832902,"('unlikable', 'likable')",-0.1031059,-0.048329,0.0547769
3,0.33462283,0.3556768,"('repellent', 'pleasant')",0.3346228,0.3556768,0.021054
4,-7.0678935,-7.179133,"('disliked', 'liked')",-7.0678935,-7.1791329,-0.1112394
5,0.17174703,0.13240372,"('distant', 'outgoing')",0.171747,0.1324037,-0.0393433
6,0.8389779,0.74184877,"('distant', 'open')",0.8389779,0.7418488,-0.0971291
7,0.38248965,0.47122478,"('insensitive', 'sensitive')",0.3824897,0.4712248,0.0887351
8,1.6028732,1.5150055,"('unaffectionate', 'affectionate')",1.6028732,1.5150055,-0.0878677
9,1.6880989,1.650929,"('unaffectionate', 'caring')",1.6880989,1.650929,-0.0371699
10,0.29855013,0.32099804,"('unsympathetic', 'sympathetic')",0.2985501,0.320998,0.0224479
11,0.92292625,1.0256191,"('unhelpful', 'helpful')",0.9229262,1.0256191,0.1026929
12,-2.1020246,-2.1071444,"('unsupportive', 'supportive')",-2.1020246,-2.1071444,-0.0051198
13,-1.0862552,-1.0496883,"('impolite', 'polite')",-1.0862552,-1.0496883,0.0365669
14,-0.71848214,-0.6908765,"('antisocial', 'social')",-0.7184821,-0.6908765,0.0276056
15,0.21226588,0.16141903,"('boring', 'funny')",0.2122659,0.161419,-0.0508469
16,-0.18859255,-0.14813483,"('unpopular', 'popular')",-0.1885926,-0.1481348,0.0404578
17,-0.07023992,-0.056516364,"('nasty', 'nice')",-0.0702399,-0.0565164,0.0137235
18,-0.082321934,-0.13361865,"('disagreeable', 'welcoming')",-0.0823219,-0.1336187,-0.0512968
19,0.0023710658,-0.033799935,"('inhospitable', 'hospitable')",0.0023711,-0.0337999,-0.036171
20,0.801098,0.75499994,"('rough', 'thoughtful')",0.801098,0.7549999,-0.0460981
21,-1.0115658,-0.9095708,"('immoral', 'moral')",-1.0115658,-0.9095708,0.101995
22,-1.04203,-1.0166228,"('untrustworthy', 'trustworthy')",-1.04203,-1.0166228,0.0254072
23,6.171015,6.225084,"('insincere', 'sincere')",6.1710148,6.2250838,0.054069
24,1.4171517,1.3186548,"('dishonest', 'honest')",1.4171517,1.3186548,-0.0984969
25,1.359497,1.2816863,"('egoistic', 'altruistic')",1.359497,1.2816863,-0.0778107
26,0.79872257,0.77835214,"('hardhearted', 'benevolent')",0.7987226,0.7783521,-0.0203705
27,1.7240349,1.5660291,"('hardhearted', 'softhearted')",1.7240349,1.5660291,-0.1580058
28,0.9286131,0.9059441,"('disloyal', 'loyal')",0.9286131,0.9059441,-0.022669
29,-0.67218447,-0.7856515,"('unfair', 'fair')",-0.6721845,-0.7856515,-0.113467
30,0.6400476,0.5874882,"('intolerant', 'tolerant')",0.6400476,0.5874882,-0.0525594
