,cop_male,cop_female,tuple,average_male,average_female,female-male
0,0.69697887,0.5444533,"('unsociable', 'sociable')",0.6969789,0.5444533,-0.1525256
1,1.6227659,1.5550725,"('unfriendly', 'friendly')",1.6227659,1.5550725,-0.0676934
2,0.26196972,0.3651752,"('unlikable', 'likable')",0.2619697,0.3651752,0.1032055
3,0.9723101,1.1265087,"('repellent', 'pleasant')",0.9723101,1.1265087,0.1541986
4,-7.036178,-7.11069,"('disliked', 'liked')",-7.0361781,-7.1106901,-0.074512
5,-0.5569086,-0.45751262,"('distant', 'outgoing')",-0.5569086,-0.4575126,0.099396
6,-0.2617233,-0.17303786,"('distant', 'open')",-0.2617233,-0.1730379,0.0886854
7,1.5203023,1.6149443,"('insensitive', 'sensitive')",1.5203023,1.6149443,0.094642
8,1.1857361,1.158478,"('unaffectionate', 'affectionate')",1.1857361,1.158478,-0.0272581
9,2.106242,2.202008,"('unaffectionate', 'caring')",2.1062419,2.202008,0.0957661
10,1.3333336,1.403187,"('unsympathetic', 'sympathetic')",1.3333336,1.403187,0.0698534
11,2.3985677,2.4733832,"('unhelpful', 'helpful')",2.3985677,2.4733832,0.0748155
12,-1.0002685,-0.8636985,"('unsupportive', 'supportive')",-1.0002685,-0.8636985,0.13657
13,0.45283902,0.32479858,"('impolite', 'polite')",0.452839,0.3247986,-0.1280404
14,0.51192516,0.4445166,"('antisocial', 'social')",0.5119252,0.4445166,-0.0674086
15,0.7533336,0.6668592,"('boring', 'funny')",0.7533336,0.6668592,-0.0864744
16,-0.8623017,-0.78846574,"('unpopular', 'popular')",-0.8623017,-0.7884657,0.073836
17,-0.15740864,-0.14820263,"('nasty', 'nice')",-0.1574086,-0.1482026,0.009206
18,-0.3789419,-0.34732062,"('disagreeable', 'welcoming')",-0.3789419,-0.3473206,0.0316213
19,-0.70693666,-0.49794188,"('inhospitable', 'hospitable')",-0.7069367,-0.4979419,0.2089948
20,0.3754359,0.25722843,"('rough', 'thoughtful')",0.3754359,0.2572284,-0.1182075
21,0.35998175,0.5738173,"('immoral', 'moral')",0.3599817,0.5738173,0.2138356
22,-0.12441352,-0.03515538,"('untrustworthy', 'trustworthy')",-0.1244135,-0.0351554,0.0892581
23,6.9540467,7.1255054,"('insincere', 'sincere')",6.9540467,7.1255054,0.1714587
