,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.9688778,-0.92072606,"('unsociable', 'sociable')",-0.1649175,-0.31517014,-0.5668976,-0.6179481,-0.0510505
1,-2.1279547,-2.1614873,"('unfriendly', 'friendly')",1.282374,1.110382,-0.4227903,-0.5255527,-0.1027624
2,0.8033468,0.7970281,"('unlikable', 'likable')",0.66006434,0.6791559,0.7317055,0.738092,0.0063865
3,-0.42267984,-0.23284341,"('repellent', 'pleasant')",0.9202493,0.9085729,0.2487847,0.3378648,0.0890801
4,-0.2639309,-0.29180038,"('disliked', 'liked')",-7.077302,-7.070197,-3.6706164,-3.6809988,-0.0103824
5,-0.8850652,-0.98447824,"('distant', 'outgoing')",-0.4261136,-0.4632251,-0.6555894,-0.7238517,-0.0682623
6,-1.3920772,-1.4822599,"('distant', 'open')",-0.25396678,-0.3529042,-0.823022,-0.917582,-0.09456
7,-0.6901356,-0.43973172,"('insensitive', 'sensitive')",0.072041444,0.15855365,-0.3090471,-0.140589,0.1684581
8,-1.3477062,-1.4597028,"('unaffectionate', 'affectionate')",0.7473599,0.65537995,-0.3001732,-0.4021614,-0.1019882
9,-1.5676306,-1.5478283,"('unaffectionate', 'caring')",1.022155,0.98658705,-0.2727378,-0.2806206,-0.0078828
10,-0.9758023,-0.7891088,"('unsympathetic', 'sympathetic')",-0.522339,-0.5713715,-0.7490706,-0.6802402,0.0688304
11,0.083408415,0.1950027,"('unhelpful', 'helpful')",1.3715653,1.5202363,0.7274868,0.8576195,0.1301327
12,-0.75199336,-0.48365322,"('unsupportive', 'supportive')",-2.2331288,-2.1900299,-1.4925611,-1.3368416,0.1557195
13,-0.3072019,-0.20433766,"('impolite', 'polite')",-1.0057122,-0.9359232,-0.656457,-0.5701305,0.0863265
14,0.19873738,0.34899518,"('antisocial', 'social')",-0.06373222,-0.11285964,0.0675026,0.1180678,0.0505652
15,0.08166049,-0.030569067,"('boring', 'funny')",-0.17314261,-0.159439,-0.0457411,-0.095004,-0.0492629
16,-0.1316542,-0.18803452,"('unpopular', 'popular')",0.3857775,0.27959156,0.1270617,0.0457785,-0.0812832
17,-0.2352996,-0.17711778,"('nasty', 'nice')",-0.61340606,-0.5475395,-0.4243528,-0.3623286,0.0620242
18,-0.42336768,-0.2721912,"('disagreeable', 'welcoming')",-0.53773004,-0.5965563,-0.4805489,-0.4343737,0.0461752
