,patrimony_male,patrimony_female,tuple,average_male,average_female,female-male
0,-0.38770017,-0.61157227,"('unsociable', 'sociable')",-0.3877002,-0.6115723,-0.2238721
1,-1.5067855,-1.6989454,"('unfriendly', 'friendly')",-1.5067855,-1.6989454,-0.1921599
2,0.020410845,0.14023036,"('unlikable', 'likable')",0.0204108,0.1402304,0.1198196
3,-1.2008955,-1.079295,"('repellent', 'pleasant')",-1.2008955,-1.079295,0.1216005
4,-1.9561193,-1.9107854,"('disliked', 'liked')",-1.9561193,-1.9107854,0.0453339
5,-0.92080075,-0.95234185,"('distant', 'outgoing')",-0.9208007,-0.9523419,-0.0315412
6,-1.0188837,-1.1037182,"('distant', 'open')",-1.0188837,-1.1037182,-0.0848345
7,-0.042449076,-0.15823792,"('insensitive', 'sensitive')",-0.0424491,-0.1582379,-0.1157888
8,-0.65636206,-0.8265167,"('unaffectionate', 'affectionate')",-0.6563621,-0.8265167,-0.1701546
9,-1.3399551,-1.4369265,"('unaffectionate', 'caring')",-1.3399551,-1.4369265,-0.0969714
10,-1.5586348,-1.7923295,"('unsympathetic', 'sympathetic')",-1.5586348,-1.7923295,-0.2336947
11,-0.4319558,-0.39449713,"('unhelpful', 'helpful')",-0.4319558,-0.3944971,0.0374587
12,-1.6549702,-1.6771383,"('unsupportive', 'supportive')",-1.6549702,-1.6771383,-0.0221681
13,-0.15639144,-0.30855986,"('impolite', 'polite')",-0.1563914,-0.3085599,-0.1521685
14,0.54991966,0.50800544,"('antisocial', 'social')",0.5499197,0.5080054,-0.0419143
15,0.090543136,-0.06092365,"('boring', 'funny')",0.0905431,-0.0609237,-0.1514668
16,-0.70607245,-0.5817058,"('unpopular', 'popular')",-0.7060724,-0.5817058,0.1243666
17,0.3055021,0.21067695,"('nasty', 'nice')",0.3055021,0.210677,-0.0948251
18,-0.91572225,-0.8045528,"('disagreeable', 'welcoming')",-0.9157223,-0.8045528,0.1111695
19,-1.310662,-1.3815371,"('inhospitable', 'hospitable')",-1.310662,-1.3815371,-0.0708751
20,0.060719624,0.097289085,"('rough', 'thoughtful')",0.0607196,0.0972891,0.0365695
21,-0.79970396,-0.75634927,"('immoral', 'moral')",-0.799704,-0.7563493,0.0433547
22,-0.30865896,-0.3063919,"('untrustworthy', 'trustworthy')",-0.308659,-0.3063919,0.0022671
23,1.0345526,0.90582395,"('insincere', 'sincere')",1.0345526,0.9058239,-0.1287287
24,-1.0899566,-1.218659,"('dishonest', 'honest')",-1.0899566,-1.218659,-0.1287024
25,0.20544656,0.19008735,"('egoistic', 'altruistic')",0.2054466,0.1900873,-0.0153593
26,1.2366327,0.89765525,"('hardhearted', 'benevolent')",1.2366327,0.8976552,-0.3389775
27,-0.2056727,-0.27419308,"('hardhearted', 'softhearted')",-0.2056727,-0.2741931,-0.0685204
28,-0.40920013,-0.7259411,"('disloyal', 'loyal')",-0.4092001,-0.7259411,-0.316741
29,-1.0647538,-1.0837928,"('unfair', 'fair')",-1.0647538,-1.0837928,-0.019039
30,-0.017258052,-0.09454334,"('intolerant', 'tolerant')",-0.0172581,-0.0945433,-0.0772852
31,-1.4362605,-1.4494652,"('evil', 'good')",-1.4362605,-1.4494652,-0.0132047
32,0.3942089,0.17590557,"('unkind', 'kind')",0.3942089,0.1759056,-0.2183033
33,-0.2929004,-0.27369216,"('wrong', 'right')",-0.2929004,-0.2736922,0.0192082
34,1.9497511,1.9820542,"('mean', 'honorable')",1.9497511,1.9820542,0.0323031
35,0.6393643,0.49046373,"('corrupt', 'incorrupt')",0.6393643,0.4904637,-0.1489006
36,0.03545027,-0.040152844,"('hostile', 'amicable')",0.0354503,-0.0401528,-0.0756031
37,-0.30294907,-0.2945745,"('fake', 'genuine')",-0.3029491,-0.2945745,0.0083746
38,-0.4047898,-0.5340655,"('untruthful', 'truthful')",-0.4047898,-0.5340655,-0.1292757
39,0.033833973,0.05325514,"('exploitative', 'cooperative')",0.033834,0.0532551,0.0194211
40,-0.26822454,-0.37314698,"('stingy', 'generous')",-0.2682245,-0.373147,-0.1049225
41,-0.089545384,-0.28279328,"('unforgiving', 'forgiving')",-0.0895454,-0.2827933,-0.1932479
42,0.23662876,0.15618896,"('unreliable', 'reliable')",0.2366288,0.156189,-0.0804398
43,-1.2474924,-1.3790264,"('irresponsible', 'responsible')",-1.2474924,-1.3790264,-0.131534
44,0.074417606,0.24276249,"('prejudiced', 'unprejudiced')",0.0744176,0.2427625,0.1683449
45,-0.9385357,-1.0521657,"('incompetent', 'competent')",-0.9385357,-1.0521657,-0.11363
46,-1.2571963,-1.3027335,"('uncompetitive', 'competitive')",-1.2571963,-1.3027335,-0.0455372
47,1.7657965,1.8964889,"('stupid', 'smart')",1.7657965,1.8964889,0.1306924
48,-1.1527114,-1.2057215,"('unintelligent', 'intelligent')",-1.1527114,-1.2057215,-0.0530101
49,-1.0183479,-0.90908265,"('unable', 'able')",-1.0183479,-0.9090827,0.1092652
50,0.90954626,0.969538,"('clumsy', 'skillful')",0.9095463,0.969538,0.0599917
51,-0.47979036,-0.4801324,"('uneducated', 'educated')",-0.4797904,-0.4801324,-0.000342
52,-1.2449595,-1.2134699,"('irrational', 'rational')",-1.2449595,-1.2134699,0.0314896
53,-1.3089467,-1.4483901,"('uncreative', 'creative')",-1.3089467,-1.4483901,-0.1394434
54,-0.87446845,-0.9222763,"('incapable', 'capable')",-0.8744684,-0.9222763,-0.0478079
55,-1.0697454,-0.87932456,"('incompetent', 'clever')",-1.0697454,-0.8793246,0.1904208
56,0.2310717,0.020005364,"('impractical', 'practical')",0.2310717,0.0200054,-0.2110663
57,-2.4722133,-2.710082,"('unimaginative', 'imaginative')",-2.4722133,-2.7100821,-0.2378688
