,prejudice_male,prejudice_female,tuple,average_male,average_female,female-male
0,0.50523573,0.40534425,"('unsociable', 'sociable')",0.5052357,0.4053442,-0.0998915
1,0.9776273,0.9927383,"('unfriendly', 'friendly')",0.9776273,0.9927383,0.015111
2,0.5917486,0.66127247,"('unlikable', 'likable')",0.5917486,0.6612725,0.0695239
3,1.125677,1.2308277,"('repellent', 'pleasant')",1.125677,1.2308277,0.1051507
4,-7.012091,-6.96436,"('disliked', 'liked')",-7.0120912,-6.9643602,0.047731
5,-0.61634374,-0.54899293,"('distant', 'outgoing')",-0.6163437,-0.5489929,0.0673508
6,-0.41402203,-0.34909546,"('distant', 'open')",-0.414022,-0.3490955,0.0649265
7,1.7849922,1.7946537,"('insensitive', 'sensitive')",1.7849922,1.7946537,0.0096615
8,0.5117018,0.46347067,"('unaffectionate', 'affectionate')",0.5117018,0.4634707,-0.0482311
9,1.0031552,1.039253,"('unaffectionate', 'caring')",1.0031552,1.039253,0.0360978
10,2.1144922,2.1126566,"('unsympathetic', 'sympathetic')",2.1144922,2.1126566,-0.0018356
11,2.216713,2.203361,"('unhelpful', 'helpful')",2.216713,2.203361,-0.013352
12,-0.83282185,-0.79574996,"('unsupportive', 'supportive')",-0.8328218,-0.79575,0.0370718
13,0.6846666,0.5879098,"('impolite', 'polite')",0.6846666,0.5879098,-0.0967568
14,0.51780444,0.41288614,"('antisocial', 'social')",0.5178044,0.4128861,-0.1049183
15,0.14243634,0.15588686,"('boring', 'funny')",0.1424363,0.1558869,0.0134506
16,-0.73326373,-0.6159202,"('unpopular', 'popular')",-0.7332637,-0.6159202,0.1173435
17,-0.19649957,-0.24932194,"('nasty', 'nice')",-0.1964996,-0.2493219,-0.0528223
18,-0.24629885,-0.25067762,"('disagreeable', 'welcoming')",-0.2462988,-0.2506776,-0.0043788
19,-0.51578784,-0.40752512,"('inhospitable', 'hospitable')",-0.5157878,-0.4075251,0.1082627
20,0.8713803,0.78591406,"('rough', 'thoughtful')",0.8713803,0.7859141,-0.0854662
21,0.785385,0.85221124,"('immoral', 'moral')",0.785385,0.8522112,0.0668262
22,0.3667138,0.29578614,"('untrustworthy', 'trustworthy')",0.3667138,0.2957861,-0.0709277
23,6.844388,6.870335,"('insincere', 'sincere')",6.844388,6.8703351,0.0259471
24,2.4482505,2.4594378,"('dishonest', 'honest')",2.4482505,2.4594378,0.0111873
25,-0.037492603,-0.07992369,"('egoistic', 'altruistic')",-0.0374926,-0.0799237,-0.0424311
26,-0.16492704,-0.1794728,"('hardhearted', 'benevolent')",-0.164927,-0.1794728,-0.0145458
27,1.3545762,1.2273004,"('hardhearted', 'softhearted')",1.3545762,1.2273004,-0.1272758
28,1.2432998,1.2732952,"('disloyal', 'loyal')",1.2432998,1.2732952,0.0299954
29,-0.31656444,-0.40013596,"('unfair', 'fair')",-0.3165644,-0.400136,-0.0835716
30,1.39127,1.3338265,"('intolerant', 'tolerant')",1.39127,1.3338265,-0.0574435
