,campbell_male,campbell_female,tuple,soup_male,soup_female,co_male,co_female,average_male,average_female,female-male
0,-0.75509727,-0.94079196,"('unsociable', 'sociable')",0.18579572,0.24716517,-0.4220189,-0.542719,-0.3304401,-0.4121153,-0.0816752
1,0.8264063,0.74529195,"('unfriendly', 'friendly')",1.5658894,1.5191253,2.3011754,2.2095075,1.5644903,1.4913082,-0.0731821
2,-0.13151044,-0.09767184,"('unlikable', 'likable')",-0.022216108,0.021680877,0.5185428,0.64042115,0.1216054,0.1881434,0.066538
3,-0.9031225,-0.8386731,"('repellent', 'pleasant')",-1.7792346,-1.7103151,0.37690413,0.35880917,-0.7684843,-0.7300597,0.0384246
4,-0.044230424,-0.05336111,"('disliked', 'liked')",-0.16941239,-0.15474103,-7.424834,-7.429238,-2.5461588,-2.54578,0.0003788
5,1.3307426,1.301555,"('distant', 'outgoing')",1.0818583,1.0180786,0.3745495,0.41851968,0.9290501,0.9127177,-0.0163324
6,1.4478545,1.4242814,"('distant', 'open')",1.5057319,1.4513825,0.5520506,0.59102744,1.1685457,1.1555638,-0.0129819
7,-0.94795007,-0.8676355,"('insensitive', 'sensitive')",-1.0512694,-0.8277482,-0.41628438,-0.37212148,-0.8051679,-0.6891684,0.1159995
8,0.0076652765,-0.018556975,"('unaffectionate', 'affectionate')",0.5294918,0.42919454,0.7068073,0.6911533,0.4146548,0.3672636,-0.0473912
9,1.2835948,1.271223,"('unaffectionate', 'caring')",0.9712356,0.9050675,1.3205893,1.3094976,1.1918066,1.1619294,-0.0298772
10,-0.5717598,-0.5782915,"('unsympathetic', 'sympathetic')",-1.0045495,-0.83754927,-1.1042128,-1.1280906,-0.8935073,-0.8479772,0.0455301
11,-1.1614556,-1.1090531,"('unhelpful', 'helpful')",-0.23860429,-0.17698878,1.6323555,1.6625963,0.0774318,0.1255181,0.0480863
12,0.4275179,0.5283171,"('unsupportive', 'supportive')",0.56226605,0.70524,-2.2956367,-2.2808006,-0.4352842,-0.3490812,0.086203
13,-0.73571104,-0.74714935,"('impolite', 'polite')",0.09582874,0.13667642,-0.5187958,-0.5939326,-0.386226,-0.4014685,-0.0152425
14,-0.77151734,-0.7704827,"('antisocial', 'social')",-0.91714287,-0.8458155,-1.0040824,-1.0373268,-0.8975809,-0.8845417,0.0130392
15,0.53357065,0.4898593,"('boring', 'funny')",0.6603071,0.5907799,0.3411957,0.37211075,0.5116911,0.48425,-0.0274411
16,-1.4927511,-1.4619255,"('unpopular', 'popular')",-1.0949322,-1.0077174,0.17655224,0.17860238,-0.8037103,-0.7636801,0.0400302
17,-1.488854,-1.3939679,"('nasty', 'nice')",-0.7848215,-0.7296537,-0.60133225,-0.54150194,-0.9583359,-0.8883745,0.0699614
18,-1.056902,-0.9535074,"('disagreeable', 'welcoming')",-0.56245375,-0.43000615,-1.0233305,-1.0299672,-0.8808955,-0.8044936,0.0764019
19,0.61179054,0.63556844,"('inhospitable', 'hospitable')",0.017403513,-0.017459787,-0.10539593,-0.029903423,0.1745994,0.1960684,0.021469
20,0.10598535,0.18603885,"('rough', 'thoughtful')",-0.13475814,-0.04662885,0.2834773,0.26766595,0.0849015,0.135692,0.0507905
21,-0.126245,-0.19892219,"('immoral', 'moral')",-0.42224458,-0.33292556,-1.0745232,-1.0409471,-0.5410043,-0.5242649,0.0167394
