,blouse_male,blouse_female,tuple,average_male,average_female,female-male
0,0.34118593,-0.18588822,"('unsociable', 'sociable')",0.3411859,-0.1858882,-0.5270741
1,0.9493841,1.0368357,"('unfriendly', 'friendly')",0.9493841,1.0368357,0.0874516
2,0.3560749,0.24108335,"('unlikable', 'likable')",0.3560749,0.2410834,-0.1149915
3,1.0459293,0.6270153,"('repellent', 'pleasant')",1.0459293,0.6270153,-0.418914
4,-7.561036,-7.8712444,"('disliked', 'liked')",-7.5610361,-7.8712444,-0.3102083
5,-0.7884837,-0.62093717,"('distant', 'outgoing')",-0.7884837,-0.6209372,0.1675465
6,-0.32743722,-0.20890069,"('distant', 'open')",-0.3274372,-0.2089007,0.1185365
7,1.5233638,0.93766403,"('insensitive', 'sensitive')",1.5233638,0.937664,-0.5856998
8,1.0274156,1.1131072,"('unaffectionate', 'affectionate')",1.0274156,1.1131072,0.0856916
9,1.1314434,1.223368,"('unaffectionate', 'caring')",1.1314434,1.223368,0.0919246
10,1.9409026,1.2153202,"('unsympathetic', 'sympathetic')",1.9409026,1.2153202,-0.7255824
11,1.8652616,1.5526446,"('unhelpful', 'helpful')",1.8652616,1.5526446,-0.312617
12,-1.2318983,-1.5864774,"('unsupportive', 'supportive')",-1.2318983,-1.5864774,-0.3545791
13,0.0725286,-0.46833652,"('impolite', 'polite')",0.0725286,-0.4683365,-0.5408651
14,0.36319458,0.08304,"('antisocial', 'social')",0.3631946,0.08304,-0.2801546
15,0.3823753,0.46944112,"('boring', 'funny')",0.3823753,0.4694411,0.0870658
16,-0.9129584,-0.71460134,"('unpopular', 'popular')",-0.9129584,-0.7146013,0.1983571
17,0.15815644,0.054164827,"('nasty', 'nice')",0.1581564,0.0541648,-0.1039916
18,-0.60193425,-0.8916651,"('disagreeable', 'welcoming')",-0.6019343,-0.8916651,-0.2897308
19,-0.5861135,-0.42056283,"('inhospitable', 'hospitable')",-0.5861135,-0.4205628,0.1655507
