,extinction_male,extinction_female,tuple,average_male,average_female,female-male
0,-0.039308626,-0.080294974,"('unsociable', 'sociable')",-0.0393086,-0.080295,-0.0409864
1,0.65120703,0.6705749,"('unfriendly', 'friendly')",0.651207,0.6705749,0.0193679
2,-0.08814299,0.005088173,"('unlikable', 'likable')",-0.088143,0.0050882,0.0932312
3,0.83497477,0.88859606,"('repellent', 'pleasant')",0.8349748,0.8885961,0.0536213
4,-7.2731237,-7.4402146,"('disliked', 'liked')",-7.2731237,-7.4402146,-0.1670909
5,-0.935295,-0.85611784,"('distant', 'outgoing')",-0.935295,-0.8561178,0.0791772
6,-0.37158018,-0.3944082,"('distant', 'open')",-0.3715802,-0.3944082,-0.022828
7,0.6242237,0.6422664,"('insensitive', 'sensitive')",0.6242237,0.6422664,0.0180427
8,0.7433811,0.7176399,"('unaffectionate', 'affectionate')",0.7433811,0.7176399,-0.0257412
9,1.0521194,1.1176478,"('unaffectionate', 'caring')",1.0521194,1.1176478,0.0655284
10,1.1332687,1.086964,"('unsympathetic', 'sympathetic')",1.1332687,1.086964,-0.0463047
11,1.0993978,1.1650672,"('unhelpful', 'helpful')",1.0993978,1.1650672,0.0656694
12,-2.023435,-2.0387068,"('unsupportive', 'supportive')",-2.0234351,-2.0387068,-0.0152717
13,-0.027938291,-0.010080621,"('impolite', 'polite')",-0.0279383,-0.0100806,0.0178577
14,0.31289515,0.21287538,"('antisocial', 'social')",0.3128951,0.2128754,-0.1000197
15,-0.18835169,-0.23191729,"('boring', 'funny')",-0.1883517,-0.2319173,-0.0435656
16,-0.96807635,-0.8973913,"('unpopular', 'popular')",-0.9680763,-0.8973913,0.070685
17,-0.52276504,-0.47377867,"('nasty', 'nice')",-0.522765,-0.4737787,0.0489863
18,-0.33745006,-0.3953606,"('disagreeable', 'welcoming')",-0.3374501,-0.3953606,-0.0579105
19,-1.1756079,-1.1765285,"('inhospitable', 'hospitable')",-1.1756079,-1.1765285,-0.0009206
20,1.0783134,0.99375725,"('rough', 'thoughtful')",1.0783134,0.9937572,-0.0845562
21,-0.33845046,-0.2885598,"('immoral', 'moral')",-0.3384505,-0.2885598,0.0498907
22,-0.07345362,-0.11758952,"('untrustworthy', 'trustworthy')",-0.0734536,-0.1175895,-0.0441359
23,5.7218375,5.8292775,"('insincere', 'sincere')",5.7218375,5.8292775,0.10744
24,1.2632565,1.1428032,"('dishonest', 'honest')",1.2632565,1.1428032,-0.1204533
25,0.54453766,0.5080728,"('egoistic', 'altruistic')",0.5445377,0.5080728,-0.0364649
26,0.7552815,0.61721706,"('hardhearted', 'benevolent')",0.7552815,0.6172171,-0.1380644
27,1.55209,1.3522573,"('hardhearted', 'softhearted')",1.55209,1.3522573,-0.1998327
28,0.785825,0.7637051,"('disloyal', 'loyal')",0.785825,0.7637051,-0.0221199
29,-0.5303402,-0.67020315,"('unfair', 'fair')",-0.5303402,-0.6702031,-0.1398629
30,0.9056313,0.919145,"('intolerant', 'tolerant')",0.9056313,0.919145,0.0135137
31,-1.6361789,-1.620551,"('evil', 'good')",-1.6361789,-1.620551,0.0156279
32,0.63194394,0.5124314,"('unkind', 'kind')",0.6319439,0.5124314,-0.1195125
33,-0.6230948,-0.60779494,"('wrong', 'right')",-0.6230948,-0.6077949,0.0152999
