,conduent_male,conduent_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.13532181,-0.18339685,"('unsociable', 'sociable')",-0.35915998,-0.44208953,-0.2472409,-0.3127432,-0.0655023
1,-2.1367176,-2.1144238,"('unfriendly', 'friendly')",2.2670562,2.1651502,0.0651693,0.0253632,-0.0398061
2,0.13910432,0.22126387,"('unlikable', 'likable')",0.5144923,0.61869067,0.3267983,0.4199773,0.093179
3,-0.9266447,-0.7766841,"('repellent', 'pleasant')",0.14812677,0.2584606,-0.389259,-0.2591118,0.1301472
4,-0.59470814,-0.59819037,"('disliked', 'liked')",-6.5500827,-6.638968,-3.5723953,-3.6185791,-0.0461838
5,-1.5607427,-1.5164955,"('distant', 'outgoing')",0.20679316,0.16480266,-0.6769748,-0.6758464,0.0011284
6,-1.8456087,-1.7857246,"('distant', 'open')",0.774904,0.7150767,-0.5353523,-0.535324,2.83e-05
7,-0.13651234,-0.008319005,"('insensitive', 'sensitive')",0.50389713,0.60764915,0.1836924,0.2996651,0.1159727
8,-1.6278783,-1.5999324,"('unaffectionate', 'affectionate')",1.3026458,1.2186848,-0.1626163,-0.1906238,-0.0280075
9,-1.8224674,-1.7647603,"('unaffectionate', 'caring')",1.3027493,1.3241233,-0.2598591,-0.2203185,0.0395406
10,-0.01678542,0.08965697,"('unsympathetic', 'sympathetic')",-0.686935,-0.65593964,-0.3518602,-0.2831413,0.0687189
11,0.099045426,0.21958874,"('unhelpful', 'helpful')",1.3301492,1.5030051,0.7145973,0.861297,0.1466997
12,-0.09552633,0.07916624,"('unsupportive', 'supportive')",-1.9955602,-1.9456611,-1.0455432,-0.9332474,0.1122958
13,0.15982957,0.16021287,"('impolite', 'polite')",-0.87298316,-0.80699736,-0.3565768,-0.3233922,0.0331846
14,0.672507,0.68918145,"('antisocial', 'social')",-0.637832,-0.64969784,0.0173375,0.0197418,0.0024043
15,-0.38701388,-0.4109847,"('boring', 'funny')",0.4289189,0.40742803,0.0209525,-0.0017783,-0.0227308
16,-0.89551187,-0.8733104,"('unpopular', 'popular')",0.60005975,0.5801818,-0.1477261,-0.1465643,0.0011618
17,-0.5431314,-0.45132756,"('nasty', 'nice')",-0.5106388,-0.44199955,-0.5268851,-0.4466636,0.0802215
18,-0.592068,-0.5080137,"('disagreeable', 'welcoming')",-0.056925673,-0.09044585,-0.3244968,-0.2992298,0.025267
19,-1.3975476,-1.3064352,"('inhospitable', 'hospitable')",0.06730173,0.15922034,-0.6651229,-0.5736074,0.0915155
20,0.3828137,0.44409072,"('rough', 'thoughtful')",1.2151446,1.1787746,0.7989792,0.8114327,0.0124535
21,0.30601427,0.3264822,"('immoral', 'moral')",-0.7272359,-0.6245773,-0.2106108,-0.1490475,0.0615633
22,0.38240686,0.4201619,"('untrustworthy', 'trustworthy')",-1.0061712,-1.0097413,-0.3118822,-0.2947897,0.0170925
23,-0.3967337,-0.30612844,"('insincere', 'sincere')",5.600054,5.631025,2.60166,2.6624482,0.0607882
