,cod_male,cod_female,tuple,average_male,average_female,female-male
0,0.13973594,0.15809007,"('unsociable', 'sociable')",0.1397359,0.1580901,0.0183542
1,0.72975826,0.6209145,"('unfriendly', 'friendly')",0.7297583,0.6209145,-0.1088438
2,-0.1366353,-0.14257321,"('unlikable', 'likable')",-0.1366353,-0.1425732,-0.0059379
3,0.8953037,0.9780137,"('repellent', 'pleasant')",0.8953037,0.9780137,0.08271
4,-7.154262,-7.3306217,"('disliked', 'liked')",-7.1542621,-7.3306217,-0.1763596
5,-1.2999876,-1.3546271,"('distant', 'outgoing')",-1.2999876,-1.3546271,-0.0546395
6,-0.3148476,-0.4960174,"('distant', 'open')",-0.3148476,-0.4960174,-0.1811698
7,1.3414997,1.3452811,"('insensitive', 'sensitive')",1.3414997,1.3452811,0.0037814
8,0.8427298,0.6431997,"('unaffectionate', 'affectionate')",0.8427298,0.6431997,-0.1995301
9,1.1434833,1.0705283,"('unaffectionate', 'caring')",1.1434833,1.0705283,-0.072955
10,1.4127861,1.4373147,"('unsympathetic', 'sympathetic')",1.4127861,1.4373147,0.0245286
11,1.220615,1.3021367,"('unhelpful', 'helpful')",1.220615,1.3021367,0.0815217
12,-1.6166763,-1.6770443,"('unsupportive', 'supportive')",-1.6166763,-1.6770443,-0.060368
13,-0.10923812,-0.06849189,"('impolite', 'polite')",-0.1092381,-0.0684919,0.0407462
14,0.55328083,0.65185654,"('antisocial', 'social')",0.5532808,0.6518565,0.0985757
15,0.25464988,0.103560045,"('boring', 'funny')",0.2546499,0.10356,-0.1510899
16,-0.6835613,-0.6980594,"('unpopular', 'popular')",-0.6835613,-0.6980594,-0.0144981
17,-0.67548686,-0.63299,"('nasty', 'nice')",-0.6754869,-0.63299,0.0424969
18,-0.5726763,-0.63579243,"('disagreeable', 'welcoming')",-0.5726763,-0.6357924,-0.0631161
19,-1.0465901,-1.1386491,"('inhospitable', 'hospitable')",-1.0465901,-1.1386491,-0.092059
20,0.9537194,0.9203466,"('rough', 'thoughtful')",0.9537194,0.9203466,-0.0333728
21,-0.18536487,-0.03359158,"('immoral', 'moral')",-0.1853649,-0.0335916,0.1517733
22,-0.27971905,-0.2682561,"('untrustworthy', 'trustworthy')",-0.2797191,-0.2682561,0.011463
23,6.148751,6.218422,"('insincere', 'sincere')",6.1487508,6.2184219,0.0696711
24,1.3451623,1.2162247,"('dishonest', 'honest')",1.3451623,1.2162247,-0.1289376
25,0.51531565,0.39452356,"('egoistic', 'altruistic')",0.5153157,0.3945236,-0.1207921
26,0.9887027,0.8567833,"('hardhearted', 'benevolent')",0.9887027,0.8567833,-0.1319194
27,1.6640977,1.3870016,"('hardhearted', 'softhearted')",1.6640977,1.3870016,-0.2770961
28,1.0390521,0.9573358,"('disloyal', 'loyal')",1.0390521,0.9573358,-0.0817163
29,-0.5795543,-0.69772875,"('unfair', 'fair')",-0.5795543,-0.6977288,-0.1181745
30,1.2326442,1.2711633,"('intolerant', 'tolerant')",1.2326442,1.2711633,0.0385191
31,-1.7786344,-1.8528069,"('evil', 'good')",-1.7786344,-1.8528069,-0.0741725
32,0.75504124,0.6564768,"('unkind', 'kind')",0.7550412,0.6564768,-0.0985644
33,-0.6270416,-0.71979105,"('wrong', 'right')",-0.6270416,-0.7197911,-0.0927495
34,4.3077307,4.4659567,"('mean', 'honorable')",4.3077307,4.4659567,0.158226
35,-0.47699326,-0.79825413,"('corrupt', 'incorrupt')",-0.4769933,-0.7982541,-0.3212608
36,-0.7745749,-0.92243624,"('hostile', 'amicable')",-0.7745749,-0.9224362,-0.1478613
37,0.79952145,0.7514769,"('fake', 'genuine')",0.7995214,0.7514769,-0.0480445
38,-0.6702578,-0.64818555,"('untruthful', 'truthful')",-0.6702578,-0.6481856,0.0220722
39,0.92284346,0.925908,"('exploitative', 'cooperative')",0.9228435,0.925908,0.0030645
40,-0.74494606,-0.98902816,"('stingy', 'generous')",-0.7449461,-0.9890282,-0.2440821
41,-0.06470766,-0.08149125,"('unforgiving', 'forgiving')",-0.0647077,-0.0814912,-0.0167835
42,-1.7770989,-1.8938773,"('unreliable', 'reliable')",-1.7770989,-1.8938773,-0.1167784
43,0.90616614,0.9546754,"('irresponsible', 'responsible')",0.9061661,0.9546754,0.0485093
