,andeavor_male,andeavor_female,tuple,average_male,average_female,female-male
0,-1.293293,-1.4934713,"('unsociable', 'sociable')",-1.293293,-1.4934713,-0.2001783
1,-1.5705638,-1.4461789,"('unfriendly', 'friendly')",-1.5705638,-1.4461789,0.1243849
2,0.27082112,0.33440292,"('unlikable', 'likable')",0.2708211,0.3344029,0.0635818
3,0.08039829,0.10135359,"('repellent', 'pleasant')",0.0803983,0.1013536,0.0209553
4,-2.3946168,-2.0866733,"('disliked', 'liked')",-2.3946168,-2.0866733,0.3079435
5,-2.012265,-1.90036,"('distant', 'outgoing')",-2.012265,-1.90036,0.111905
6,-1.3462467,-1.16098,"('distant', 'open')",-1.3462467,-1.16098,0.1852667
7,0.21819836,0.22898734,"('insensitive', 'sensitive')",0.2181984,0.2289873,0.0107889
8,-0.36923474,-0.33053792,"('unaffectionate', 'affectionate')",-0.3692347,-0.3305379,0.0386968
9,-0.43024072,-0.4032031,"('unaffectionate', 'caring')",-0.4302407,-0.4032031,0.0270376
10,-1.189758,-1.3405852,"('unsympathetic', 'sympathetic')",-1.1897579,-1.3405852,-0.1508273
11,-0.30531704,-0.43328482,"('unhelpful', 'helpful')",-0.305317,-0.4332848,-0.1279678
12,-1.658552,-1.5564281,"('unsupportive', 'supportive')",-1.6585521,-1.5564281,0.102124
13,-0.6888683,-0.91690373,"('impolite', 'polite')",-0.6888683,-0.9169037,-0.2280354
14,-0.11296839,-0.28948492,"('antisocial', 'social')",-0.1129684,-0.2894849,-0.1765165
15,0.3486823,0.34900308,"('boring', 'funny')",0.3486823,0.3490031,0.0003208
16,0.55314606,0.7090785,"('unpopular', 'popular')",0.5531461,0.7090785,0.1559324
17,-0.44562793,-0.46872902,"('nasty', 'nice')",-0.4456279,-0.468729,-0.0231011
18,-0.52618784,-0.4265213,"('disagreeable', 'welcoming')",-0.5261878,-0.4265213,0.0996665
19,-1.1355506,-1.0109597,"('inhospitable', 'hospitable')",-1.1355506,-1.0109597,0.1245909
20,-0.015190413,-0.12553258,"('rough', 'thoughtful')",-0.0151904,-0.1255326,-0.1103422
21,-0.69299614,-0.7756074,"('immoral', 'moral')",-0.6929961,-0.7756074,-0.0826113
22,-0.62870663,-0.68971217,"('untrustworthy', 'trustworthy')",-0.6287066,-0.6897122,-0.0610056
23,1.3236234,1.0195588,"('insincere', 'sincere')",1.3236234,1.0195588,-0.3040646
24,-0.18372992,-0.29887775,"('dishonest', 'honest')",-0.1837299,-0.2988777,-0.1151478
25,0.60177636,0.6460531,"('egoistic', 'altruistic')",0.6017764,0.6460531,0.0442767
26,0.5361666,0.52001446,"('hardhearted', 'benevolent')",0.5361666,0.5200145,-0.0161521
27,-0.028467657,-0.09032329,"('hardhearted', 'softhearted')",-0.0284677,-0.0903233,-0.0618556
28,0.723724,0.6883264,"('disloyal', 'loyal')",0.723724,0.6883264,-0.0353976
29,-0.45482787,-0.3942798,"('unfair', 'fair')",-0.4548279,-0.3942798,0.0605481
30,-0.22143875,-0.39892223,"('intolerant', 'tolerant')",-0.2214388,-0.3989222,-0.1774834
31,-0.8988382,-0.5997166,"('evil', 'good')",-0.8988382,-0.5997166,0.2991216
32,0.002435252,-0.16986944,"('unkind', 'kind')",0.0024353,-0.1698694,-0.1723047
33,-0.043313794,0.10326405,"('wrong', 'right')",-0.0433138,0.103264,0.1465778
34,1.3825374,1.2856368,"('mean', 'honorable')",1.3825374,1.2856368,-0.0969006
35,0.01699524,0.1395573,"('corrupt', 'incorrupt')",0.0169952,0.1395573,0.1225621
36,-0.22130182,0.085925765,"('hostile', 'amicable')",-0.2213018,0.0859258,0.3072276
37,-0.5847972,-0.6676165,"('fake', 'genuine')",-0.5847972,-0.6676165,-0.0828193
38,-0.9151822,-0.8906695,"('untruthful', 'truthful')",-0.9151822,-0.8906695,0.0245127
39,-0.13826185,-0.20051405,"('exploitative', 'cooperative')",-0.1382619,-0.200514,-0.0622521
