,paint_male,paint_female,tuple,average_male,average_female,female-male
0,-0.2728625,-0.24182016,"('unsociable', 'sociable')",-0.2728625,-0.2418202,0.0310423
1,1.8880496,1.8941206,"('unfriendly', 'friendly')",1.8880496,1.8941206,0.006071
2,0.15233289,0.21109827,"('unlikable', 'likable')",0.1523329,0.2110983,0.0587654
3,-0.07270561,-0.030880058,"('repellent', 'pleasant')",-0.0727056,-0.0308801,0.0418255
4,-7.5128565,-7.595139,"('disliked', 'liked')",-7.5128565,-7.595139,-0.0822825
5,-0.11351433,-0.146882,"('distant', 'outgoing')",-0.1135143,-0.146882,-0.0333677
6,0.38701463,0.31060874,"('distant', 'open')",0.3870146,0.3106087,-0.0764059
7,0.732219,0.8058022,"('insensitive', 'sensitive')",0.732219,0.8058022,0.0735832
8,1.63333,1.533577,"('unaffectionate', 'affectionate')",1.63333,1.533577,-0.099753
9,1.7912772,1.7960877,"('unaffectionate', 'caring')",1.7912772,1.7960877,0.0048105
10,0.5819972,0.6841317,"('unsympathetic', 'sympathetic')",0.5819972,0.6841317,0.1021345
11,1.6042354,1.7121078,"('unhelpful', 'helpful')",1.6042354,1.7121078,0.1078724
12,-1.4428986,-1.4134573,"('unsupportive', 'supportive')",-1.4428986,-1.4134573,0.0294413
13,-0.3892243,-0.33051106,"('impolite', 'polite')",-0.3892243,-0.3305111,0.0587132
14,0.16105162,0.1924157,"('antisocial', 'social')",0.1610516,0.1924157,0.0313641
15,0.57873297,0.49871042,"('boring', 'funny')",0.578733,0.4987104,-0.0800226
16,-0.19731797,-0.17417473,"('unpopular', 'popular')",-0.197318,-0.1741747,0.0231433
17,-0.27179658,-0.26979247,"('nasty', 'nice')",-0.2717966,-0.2697925,0.0020041
18,-0.49845228,-0.5236236,"('disagreeable', 'welcoming')",-0.4984523,-0.5236236,-0.0251713
19,-0.27850682,-0.28812048,"('inhospitable', 'hospitable')",-0.2785068,-0.2881205,-0.0096137
20,0.671731,0.5929139,"('rough', 'thoughtful')",0.671731,0.5929139,-0.0788171
21,-0.6482227,-0.4799097,"('immoral', 'moral')",-0.6482227,-0.4799097,0.168313
22,-1.1232561,-1.1222587,"('untrustworthy', 'trustworthy')",-1.1232561,-1.1222587,0.0009974
23,6.5612154,6.6644273,"('insincere', 'sincere')",6.5612154,6.6644273,0.1032119
24,1.5665882,1.4362966,"('dishonest', 'honest')",1.5665882,1.4362966,-0.1302916
25,0.7998541,0.74353856,"('egoistic', 'altruistic')",0.7998541,0.7435386,-0.0563155
26,1.6159949,1.633976,"('hardhearted', 'benevolent')",1.6159949,1.633976,0.0179811
27,1.6113837,1.4475819,"('hardhearted', 'softhearted')",1.6113837,1.4475819,-0.1638018
28,1.376858,1.320375,"('disloyal', 'loyal')",1.376858,1.320375,-0.056483
29,-0.5354759,-0.7190771,"('unfair', 'fair')",-0.5354759,-0.7190771,-0.1836012
30,0.8039908,0.89525974,"('intolerant', 'tolerant')",0.8039908,0.8952597,0.0912689
31,-0.8830149,-0.94383895,"('evil', 'good')",-0.8830149,-0.943839,-0.0608241
32,1.2382939,1.2348138,"('unkind', 'kind')",1.2382939,1.2348138,-0.0034801
33,-0.23096758,-0.32807934,"('wrong', 'right')",-0.2309676,-0.3280793,-0.0971117
34,4.785103,4.9053597,"('mean', 'honorable')",4.7851028,4.9053597,0.1202569
35,-0.5953582,-0.8490215,"('corrupt', 'incorrupt')",-0.5953582,-0.8490215,-0.2536633
36,-0.46172762,-0.606446,"('hostile', 'amicable')",-0.4617276,-0.606446,-0.1447184
37,0.6871478,0.6701228,"('fake', 'genuine')",0.6871478,0.6701228,-0.017025
38,-0.11869964,-0.088789105,"('untruthful', 'truthful')",-0.1186996,-0.0887891,0.0299105
39,-0.0027453508,0.00055499,"('exploitative', 'cooperative')",-0.0027454,0.000555,0.0033004
40,-1.6529877,-1.7899088,"('stingy', 'generous')",-1.6529877,-1.7899088,-0.1369211
41,0.16154,0.1733217,"('unforgiving', 'forgiving')",0.16154,0.1733217,0.0117817
42,-2.9090047,-2.8759542,"('unreliable', 'reliable')",-2.9090047,-2.8759542,0.0330505
43,1.0389895,1.1217452,"('irresponsible', 'responsible')",1.0389895,1.1217452,0.0827557
44,-1.385626,-1.3828107,"('prejudiced', 'unprejudiced')",-1.385626,-1.3828107,0.0028153
45,0.047397334,0.08070154,"('incompetent', 'competent')",0.0473973,0.0807015,0.0333042
46,-1.0871474,-1.02079,"('uncompetitive', 'competitive')",-1.0871474,-1.02079,0.0663574
47,5.4469028,5.591663,"('stupid', 'smart')",5.4469028,5.5916629,0.1447601
