,vontier_male,vontier_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.2899647,-0.12211734,"('unsociable', 'sociable')",-0.20760821,-0.34777737,0.0411782,-0.2349474,-0.2761256
1,-1.471497,-1.2797936,"('unfriendly', 'friendly')",1.2386782,1.0684336,-0.1164094,-0.10568,0.0107294
2,0.4726224,0.40690178,"('unlikable', 'likable')",0.36378425,0.3213597,0.4182033,0.3641307,-0.0540726
3,-0.7149382,-0.70282966,"('repellent', 'pleasant')",0.3474872,0.36261547,-0.1837255,-0.1701071,0.0136184
4,0.114547856,0.36782613,"('disliked', 'liked')",-6.3455925,-6.3041086,-3.1155224,-2.9681413,0.1473811
5,-0.56629235,-0.44847295,"('distant', 'outgoing')",-0.24709144,-0.23394807,-0.4066919,-0.3412105,0.0654814
6,-0.7649872,-0.5308803,"('distant', 'open')",-0.32770956,-0.32649225,-0.5463483,-0.4286863,0.117662
7,-0.19562256,-0.18019497,"('insensitive', 'sensitive')",-0.026646107,0.042645305,-0.1111343,-0.0687748,0.0423595
8,-0.6444042,-0.45044407,"('unaffectionate', 'affectionate')",0.62256795,0.5216779,-0.0109181,0.0356169,0.046535
9,-0.702429,-0.57305545,"('unaffectionate', 'caring')",1.1019396,1.0704278,0.1997553,0.2486862,0.0489309
10,-0.7491281,-1.1075743,"('unsympathetic', 'sympathetic')",-0.794999,-0.93364704,-0.7720636,-1.0206107,-0.2485471
11,-0.13457887,-0.48488426,"('unhelpful', 'helpful')",1.4723958,1.4782073,0.6689085,0.4966615,-0.172247
12,-0.1896504,-0.14638384,"('unsupportive', 'supportive')",-2.1108344,-2.0995233,-1.1502423,-1.1229535,0.0272888
13,-0.30490974,-0.7359788,"('impolite', 'polite')",-0.88759375,-0.9104608,-0.5962517,-0.8232198,-0.2269681
14,0.359521,0.061871756,"('antisocial', 'social')",-0.13413124,-0.18763173,0.1126949,-0.06288,-0.1755749
15,-0.4549232,-0.37027282,"('boring', 'funny')",0.22056352,0.19463786,-0.1171798,-0.0878175,0.0293623
16,-0.36239824,-0.2988644,"('unpopular', 'popular')",0.6662922,0.69448256,0.151947,0.1978091,0.0458621
17,-0.42276788,-0.38370073,"('nasty', 'nice')",-0.6414067,-0.51918375,-0.5320873,-0.4514422,0.0806451
18,0.35715675,0.40065455,"('disagreeable', 'welcoming')",-0.5086174,-0.5762781,-0.0757303,-0.0878118,-0.0120815
19,-1.0959808,-0.9177512,"('inhospitable', 'hospitable')",-0.49456224,-0.43614197,-0.7952715,-0.6769466,0.1183249
20,-0.085705385,-0.25882554,"('rough', 'thoughtful')",0.7707516,0.66035616,0.3425231,0.2007653,-0.1417578
21,-0.13859269,-0.41615087,"('immoral', 'moral')",-0.49883047,-0.5178315,-0.3187116,-0.4669912,-0.1482796
22,-0.3092938,-0.5658585,"('untrustworthy', 'trustworthy')",-1.2486446,-1.27009,-0.7789692,-0.9179742,-0.139005
23,-0.3583883,-0.6391523,"('insincere', 'sincere')",5.303379,5.317415,2.4724953,2.3391314,-0.1333639
24,-0.95414305,-1.1532816,"('dishonest', 'honest')",0.2584037,0.27474403,-0.3478697,-0.4392688,-0.0913991
