,prairie_male,prairie_female,tuple,average_male,average_female,female-male
0,0.502835,0.48437726,"('unsociable', 'sociable')",0.502835,0.4843773,-0.0184577
1,0.88829494,0.75250524,"('unfriendly', 'friendly')",0.8882949,0.7525052,-0.1357897
2,0.41239557,0.45384634,"('unlikable', 'likable')",0.4123956,0.4538463,0.0414507
3,0.9609188,1.0216857,"('repellent', 'pleasant')",0.9609188,1.0216857,0.0607669
4,-7.1562734,-7.2632384,"('disliked', 'liked')",-7.1562734,-7.2632384,-0.106965
5,-0.62012273,-0.74633276,"('distant', 'outgoing')",-0.6201227,-0.7463328,-0.1262101
6,-0.2768673,-0.42159665,"('distant', 'open')",-0.2768673,-0.4215966,-0.1447293
7,1.5334551,1.5556045,"('insensitive', 'sensitive')",1.5334551,1.5556045,0.0221494
8,0.95039725,0.7611091,"('unaffectionate', 'affectionate')",0.9503973,0.7611091,-0.1892882
9,1.2641093,1.2198548,"('unaffectionate', 'caring')",1.2641093,1.2198548,-0.0442545
10,1.731524,1.7443254,"('unsympathetic', 'sympathetic')",1.731524,1.7443254,0.0128014
11,2.1177227,2.153395,"('unhelpful', 'helpful')",2.1177227,2.1533949,0.0356722
12,-0.84755534,-0.872441,"('unsupportive', 'supportive')",-0.8475553,-0.872441,-0.0248857
13,0.43679938,0.4694608,"('impolite', 'polite')",0.4367994,0.4694608,0.0326614
14,0.4373282,0.5333737,"('antisocial', 'social')",0.4373282,0.5333737,0.0960455
15,0.16142735,0.114488125,"('boring', 'funny')",0.1614273,0.1144881,-0.0469392
16,-0.64517874,-0.6026532,"('unpopular', 'popular')",-0.6451787,-0.6026532,0.0425255
17,-0.0077272374,-0.036244266,"('nasty', 'nice')",-0.0077272,-0.0362443,-0.0285171
18,-0.3309205,-0.3759676,"('disagreeable', 'welcoming')",-0.3309205,-0.3759676,-0.0450471
19,-0.48020718,-0.59619,"('inhospitable', 'hospitable')",-0.4802072,-0.59619,-0.1159828
20,0.6870054,0.56933767,"('rough', 'thoughtful')",0.6870054,0.5693377,-0.1176677
21,0.31321523,0.4487956,"('immoral', 'moral')",0.3132152,0.4487956,0.1355804
22,0.23944364,0.23206538,"('untrustworthy', 'trustworthy')",0.2394436,0.2320654,-0.0073782
