,utilization_male,utilization_female,tuple,average_male,average_female,female-male
0,0.2637607,0.11691092,"('unsociable', 'sociable')",0.2637607,0.1169109,-0.1468498
1,1.3434675,1.3421993,"('unfriendly', 'friendly')",1.3434675,1.3421993,-0.0012682
2,0.55410254,0.699046,"('unlikable', 'likable')",0.5541025,0.699046,0.1449435
3,0.89649814,1.2080481,"('repellent', 'pleasant')",0.8964981,1.2080481,0.31155
4,-7.3247724,-7.2432384,"('disliked', 'liked')",-7.3247724,-7.2432384,0.081534
5,-0.9120865,-0.62994343,"('distant', 'outgoing')",-0.9120865,-0.6299434,0.2821431
6,-0.6473832,-0.3756855,"('distant', 'open')",-0.6473832,-0.3756855,0.2716977
7,1.6570874,1.6975725,"('insensitive', 'sensitive')",1.6570874,1.6975725,0.0404851
8,0.84971076,0.8497953,"('unaffectionate', 'affectionate')",0.8497108,0.8497953,8.45e-05
9,1.4012069,1.4162956,"('unaffectionate', 'caring')",1.4012069,1.4162956,0.0150887
10,1.8507482,1.8956861,"('unsympathetic', 'sympathetic')",1.8507482,1.8956861,0.0449379
11,2.6699471,2.4570262,"('unhelpful', 'helpful')",2.6699471,2.4570262,-0.2129209
12,-1.136378,-1.0622104,"('unsupportive', 'supportive')",-1.136378,-1.0622104,0.0741676
13,0.4632388,0.4015169,"('impolite', 'polite')",0.4632388,0.4015169,-0.0617219
14,0.30502626,0.22501503,"('antisocial', 'social')",0.3050263,0.225015,-0.0800113
15,0.3597522,0.27035525,"('boring', 'funny')",0.3597522,0.2703553,-0.0893969
16,-0.57235205,-0.56229347,"('unpopular', 'popular')",-0.5723521,-0.5622935,0.0100586
17,0.050911397,0.085575625,"('nasty', 'nice')",0.0509114,0.0855756,0.0346642
18,-0.3377419,-0.2659026,"('disagreeable', 'welcoming')",-0.3377419,-0.2659026,0.0718393
19,-0.28543994,-0.21974978,"('inhospitable', 'hospitable')",-0.2854399,-0.2197498,0.0656901
20,1.0844324,0.96952724,"('rough', 'thoughtful')",1.0844324,0.9695272,-0.1149052
21,0.56164455,0.6888452,"('immoral', 'moral')",0.5616446,0.6888452,0.1272006
