,agilent_male,agilent_female,tuple,technologies_male,technologies_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.2518263,-1.4202349,"('unsociable', 'sociable')",-0.8732216,-1.0259986,-0.6877638,-0.85681885,-0.937604,-1.1010175,-0.1634135
1,0.5436843,0.30441546,"('unfriendly', 'friendly')",0.26723653,-0.0018443465,2.3167145,2.1676366,1.0425452,0.8234026,-0.2191426
2,0.26394275,0.37234306,"('unlikable', 'likable')",0.41600445,0.50872695,0.4633413,0.5571746,0.3810962,0.4794149,0.0983187
3,-1.7463304,-1.7425374,"('repellent', 'pleasant')",0.16206071,0.20448095,0.026438503,0.050892185,-0.5192771,-0.4957214,0.0235557
4,0.43567786,0.3758096,"('disliked', 'liked')",-0.20466557,-0.21746932,-5.7854567,-5.8967986,-1.8514814,-1.9128194,-0.061338
5,1.6033994,1.632493,"('distant', 'outgoing')",0.02946072,0.055535004,0.26488453,0.26761222,0.6325816,0.6518801,0.0192985
6,1.2529107,1.2930373,"('distant', 'open')",-0.34213963,-0.36905485,0.99782974,1.0014904,0.6362003,0.6418242,0.0056239
7,0.028914388,0.043745473,"('insensitive', 'sensitive')",0.13969438,0.18231618,0.6829668,0.7033249,0.2838585,0.3097955,0.025937
8,0.027166445,-0.14217961,"('unaffectionate', 'affectionate')",-0.32326776,-0.45136237,1.2161584,1.0855043,0.3066857,0.1639874,-0.1426983
9,-0.14384902,-0.25505653,"('unaffectionate', 'caring')",0.11523028,-0.009118922,1.5621147,1.4991086,0.5111653,0.4116444,-0.0995209
10,-2.348399,-2.3954222,"('unsympathetic', 'sympathetic')",-1.1235809,-1.1467377,-0.8446164,-0.88183546,-1.4388653,-1.4746652,-0.0357999
11,-0.016191512,0.067428395,"('unhelpful', 'helpful')",0.92656064,0.99001455,1.2635385,1.302771,0.7246359,0.7867379,0.062102
12,0.6283658,0.6746801,"('unsupportive', 'supportive')",0.65899026,0.7078536,-1.6120284,-1.6746562,-0.1082241,-0.0973741,0.01085
13,-0.64715743,-0.58876574,"('impolite', 'polite')",-0.5642394,-0.4953574,-0.7372221,-0.7522289,-0.6495396,-0.6121174,0.0374222
