,goodyear_male,goodyear_female,tuple,tire_male,tire_female,&_male,&_female,rubber_male,rubber_female,co_male,co_female,average_male,average_female,female-male
0,-2.029436,-2.1292803,"('unsociable', 'sociable')",-0.7440588,-0.87252694,0.057117105,-0.1382303,-0.5063856,-0.62643003,0.32621214,0.1695719,-0.5793102,-0.7193791,-0.1400689
1,-1.5127344,-1.6284964,"('unfriendly', 'friendly')",1.0969105,1.0649678,-0.34772608,-0.39984983,0.67870235,0.5890839,1.3601513,1.1602494,0.2550607,0.157191,-0.0978697
2,0.077486336,0.11835502,"('unlikable', 'likable')",-0.9869625,-0.9531531,1.4166634,1.4738445,-0.56535405,-0.5532746,0.84377456,0.8795855,0.1571216,0.1930715,0.0359499
3,-1.3796091,-1.3345184,"('repellent', 'pleasant')",-1.1924758,-1.1404066,-0.69472855,-0.6975801,-0.9774538,-0.8942152,0.37915406,0.42810854,-0.7730227,-0.7277224,0.0453003
4,0.78445804,0.78220826,"('disliked', 'liked')",0.74975216,0.7724687,0.38657635,0.39770982,0.6391066,0.63161683,-5.9794927,-5.763908,-0.6839199,-0.6359808,0.0479391
5,0.5941408,0.6456188,"('distant', 'outgoing')",2.450643,2.5316792,0.2160734,0.44701505,1.6910161,1.7515774,-0.32474768,-0.2530828,0.9254251,1.0245616,0.0991365
6,0.07263539,0.13507415,"('distant', 'open')",2.1140077,2.1870375,0.3050598,0.573292,1.3929513,1.458638,-0.347107,-0.2885128,0.7075095,0.8131058,0.1055963
7,-1.3663619,-1.4266398,"('insensitive', 'sensitive')",-0.9149531,-0.8916884,0.23197335,0.12460478,-1.2160728,-1.2212139,-0.20552613,-0.26919973,-0.6941881,-0.7368275,-0.0426394
8,-0.97124124,-1.0678401,"('unaffectionate', 'affectionate')",0.5953636,0.5428951,-0.8312608,-0.78314143,1.0412587,0.9430397,0.20856854,0.01903823,0.0085378,-0.0692017,-0.0777395
9,-0.6691658,-0.7301128,"('unaffectionate', 'caring')",1.0130755,0.9860158,-0.83231324,-0.8585238,1.2831765,1.2020601,0.67515266,0.5658347,0.2939851,0.2330548,-0.0609303
10,-2.2351923,-2.334387,"('unsympathetic', 'sympathetic')",-2.0553274,-2.1230257,-1.5378232,-1.7662116,-1.7924098,-1.8615592,-0.06602961,-0.20081022,-1.5373565,-1.6571987,-0.1198422
11,-0.69142294,-0.72400844,"('unhelpful', 'helpful')",0.0667855,0.051471777,-0.45438474,-0.58885664,0.6673613,0.6576406,2.2388964,2.130028,0.3654471,0.3052551,-0.060192
12,-0.7204105,-0.72802037,"('unsupportive', 'supportive')",0.29707196,0.33495605,0.09709871,0.108188145,0.8734158,0.88976496,-1.7726203,-1.7207674,-0.2450889,-0.2231757,0.0219132
13,-0.5661218,-0.6334224,"('impolite', 'polite')",-1.3815136,-1.4512652,-0.6482159,-0.7992517,-1.148683,-1.2073429,-0.0020504259,-0.09306252,-0.749317,-0.8368689,-0.0875519
14,-1.4596174,-1.4818231,"('antisocial', 'social')",-1.1299376,-1.2198133,0.6345609,0.46996343,-0.48115903,-0.59104943,0.05373937,-0.062487163,-0.4764828,-0.5770419,-0.1005591
