,hologic_male,hologic_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.26873824,-0.45604986,"('unsociable', 'sociable')",-0.36598456,-0.57794863,-0.3173614,-0.5169992,-0.1996378
1,-0.38864538,-0.5196734,"('unfriendly', 'friendly')",1.9071059,1.8173864,0.7592303,0.6488565,-0.1103738
2,0.07974355,0.048840523,"('unlikable', 'likable')",0.8103392,0.77925587,0.4450414,0.4140482,-0.0309932
3,-0.15554613,-0.099555686,"('repellent', 'pleasant')",0.31242275,0.3248897,0.0784383,0.112667,0.0342287
4,-0.2635165,-0.33260763,"('disliked', 'liked')",-6.000279,-6.0485053,-3.1318977,-3.1905565,-0.0586588
5,-0.7077162,-0.61616695,"('distant', 'outgoing')",-0.09957403,0.0056569893,-0.4036451,-0.305255,0.0983901
6,-1.0983095,-1.0386872,"('distant', 'open')",0.078141674,0.18998411,-0.5100839,-0.4243516,0.0857323
7,-0.25707296,-0.22011992,"('insensitive', 'sensitive')",0.42918038,0.5222604,0.0860537,0.1510703,0.0650166
8,-0.80821586,-0.84966147,"('unaffectionate', 'affectionate')",0.866287,0.8065337,0.0290356,-0.0215639,-0.0505995
9,-0.9785321,-1.0166745,"('unaffectionate', 'caring')",0.94228905,0.9711966,-0.0181215,-0.022739,-0.0046175
10,-1.4116311,-1.5172498,"('unsympathetic', 'sympathetic')",-0.7814134,-0.82648474,-1.0965222,-1.1718673,-0.0753451
11,0.014710844,-0.029328045,"('unhelpful', 'helpful')",1.6134063,1.6860927,0.8140585,0.8283824,0.0143239
12,0.42929128,0.48426825,"('unsupportive', 'supportive')",-1.5896621,-1.5298252,-0.5801854,-0.5227785,0.0574069
13,-0.2547773,-0.4620824,"('impolite', 'polite')",-0.67723393,-0.72468466,-0.4660056,-0.5933836,-0.127378
14,0.56913054,0.5574892,"('antisocial', 'social')",-0.41230285,-0.53615975,0.0784138,0.0106647,-0.0677491
15,0.32064444,0.23011707,"('boring', 'funny')",0.69074005,0.65255904,0.5056922,0.4413381,-0.0643541
16,-0.54376006,-0.5786807,"('unpopular', 'popular')",0.4688562,0.52563626,-0.0374519,-0.0265222,0.0109297
17,-0.1573024,-0.09943202,"('nasty', 'nice')",-0.40943912,-0.33704996,-0.2833708,-0.218241,0.0651298
18,-0.020194348,-0.0065501034,"('disagreeable', 'welcoming')",-0.1260384,-0.14571628,-0.0731164,-0.0761332,-0.0030168
19,-1.1130849,-1.1154984,"('inhospitable', 'hospitable')",0.38949588,0.4806204,-0.3617945,-0.317439,0.0443555
20,0.8707052,0.87809557,"('rough', 'thoughtful')",1.1811374,1.126092,1.0259213,1.0020938,-0.0238275
21,0.7685709,0.62622356,"('immoral', 'moral')",-0.30370966,-0.37018782,0.2324306,0.1280179,-0.1044127
22,0.50493735,0.37770972,"('untrustworthy', 'trustworthy')",-0.5401256,-0.63182384,-0.0175941,-0.1270571,-0.109463
23,0.124622986,0.039666858,"('insincere', 'sincere')",5.496973,5.5282288,2.8107979,2.7839477,-0.0268502
24,-0.26471013,-0.34897363,"('dishonest', 'honest')",0.5516746,0.5392505,0.1434822,0.0951384,-0.0483438
25,-0.1267506,-0.040891826,"('egoistic', 'altruistic')",1.671243,1.6563185,0.7722462,0.8077134,0.0354672
26,0.34927672,0.18546295,"('hardhearted', 'benevolent')",1.7572397,1.5463574,1.0532582,0.8659102,-0.187348
27,0.16108018,0.23559688,"('hardhearted', 'softhearted')",1.539547,1.5084823,0.8503135,0.8720396,0.0217261
28,-0.410674,-0.48195451,"('disloyal', 'loyal')",0.746778,0.6540082,0.168052,0.0860268,-0.0820252
29,-0.16969877,-0.16031185,"('unfair', 'fair')",-0.26396346,-0.4214615,-0.2168311,-0.2908867,-0.0740556
30,0.310486,0.195681,"('intolerant', 'tolerant')",1.201407,1.0949774,0.7559465,0.6453292,-0.1106173
31,-0.30320865,-0.19672479,"('evil', 'good')",-0.48364866,-0.47597638,-0.3934287,-0.3363506,0.0570781
