,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.0329537,-1.1541567,"('unsociable', 'sociable')",0.9751813,0.704161,-0.5388972,-0.7149049,-0.1988899,-0.3883002,-0.1894103
1,-1.6086186,-1.4772265,"('unfriendly', 'friendly')",0.50016344,0.53616005,1.5856435,1.5771483,0.1590628,0.2120273,0.0529645
2,0.94240123,0.8869532,"('unlikable', 'likable')",1.0009634,1.0586303,0.81448346,0.9229533,0.9192827,0.956179,0.0368963
3,-0.9991145,-0.92111385,"('repellent', 'pleasant')",-0.39651328,-0.21842943,-0.06158061,-0.04984803,-0.4857361,-0.3964638,0.0892723
4,0.047284175,0.09233202,"('disliked', 'liked')",-0.44894332,-0.38984653,-5.797066,-5.840874,-2.0662417,-2.0461295,0.0201122
5,-0.42025542,-0.28567666,"('distant', 'outgoing')",-0.3809018,-0.17091759,-0.18152712,-0.02765589,-0.3275615,-0.1614167,0.1661448
6,-0.7503433,-0.5278926,"('distant', 'open')",-0.9383394,-0.73404026,0.20314175,0.35461038,-0.4951804,-0.3024408,0.1927396
7,-0.83439094,-0.77510095,"('insensitive', 'sensitive')",0.7190103,0.7097707,0.6894747,0.63941294,0.1913647,0.1913609,-3.8e-06
8,-0.7423627,-0.6755762,"('unaffectionate', 'affectionate')",-0.3695184,-0.24899071,0.46697536,0.4741653,-0.2149686,-0.1501339,0.0648347
9,-1.1640272,-1.1262327,"('unaffectionate', 'caring')",0.5403172,0.5701628,0.82008725,0.84850293,0.0654591,0.0974777,0.0320186
10,-1.1554961,-1.1443021,"('unsympathetic', 'sympathetic')",0.5469978,0.41913202,-0.48726067,-0.6028931,-0.365253,-0.4426877,-0.0774347
11,-0.89068633,-0.9735952,"('unhelpful', 'helpful')",0.50798655,0.5017353,1.9729841,2.0178576,0.5300948,0.5153325,-0.0147623
12,-0.50240964,-0.32216698,"('unsupportive', 'supportive')",0.64648205,0.8522792,-1.6891458,-1.6091303,-0.5150245,-0.3596727,0.1553518
13,-0.23565246,-0.37505972,"('impolite', 'polite')",0.7631757,0.5637434,-0.15923643,-0.27248856,0.1227623,-0.027935,-0.1506973
14,-0.30567774,-0.3573208,"('antisocial', 'social')",1.2888736,1.1792115,-0.454229,-0.617768,0.1763223,0.0680409,-0.1082814
15,0.40610966,0.24224153,"('boring', 'funny')",0.30090868,0.20550576,0.74308807,0.6990708,0.4833688,0.3822727,-0.1010961
16,-0.5292121,-0.49172604,"('unpopular', 'popular')",-0.7070988,-0.5562686,0.48376334,0.5558673,-0.2508492,-0.1640424,0.0868068
17,-0.194632,-0.10076019,"('nasty', 'nice')",-0.57837546,-0.4625774,-0.41824085,-0.31657624,-0.3970828,-0.2933046,0.1037782
18,-0.35132676,-0.23458913,"('disagreeable', 'welcoming')",-0.44105583,-0.2994233,-0.23574816,-0.16129175,-0.3427103,-0.2317681,0.1109422
19,-0.5061767,-0.4346321,"('inhospitable', 'hospitable')",-0.39396358,-0.33188823,0.16123356,0.36367726,-0.2463022,-0.134281,0.1120212
