,speaking_male,speaking_female,tuple,average_male,average_female,female-male
0,0.17089769,0.091392346,"('unsociable', 'sociable')",0.1708977,0.0913923,-0.0795054
1,1.4074197,1.41107,"('unfriendly', 'friendly')",1.4074197,1.41107,0.0036503
2,0.48986205,0.6184893,"('unlikable', 'likable')",0.4898621,0.6184893,0.1286272
3,0.99119306,1.0673591,"('repellent', 'pleasant')",0.9911931,1.0673591,0.076166
4,-7.015575,-6.9334273,"('disliked', 'liked')",-7.0155749,-6.9334273,0.0821476
5,0.04364244,0.1251909,"('distant', 'outgoing')",0.0436424,0.1251909,0.0815485
6,0.38352755,0.40739313,"('distant', 'open')",0.3835275,0.4073931,0.0238656
7,1.2985765,1.3053479,"('insensitive', 'sensitive')",1.2985765,1.3053479,0.0067714
8,1.1807779,1.0703019,"('unaffectionate', 'affectionate')",1.1807779,1.0703019,-0.110476
9,1.3500917,1.3363168,"('unaffectionate', 'caring')",1.3500917,1.3363168,-0.0137749
10,1.3947828,1.2380601,"('unsympathetic', 'sympathetic')",1.3947828,1.2380601,-0.1567227
11,1.9491242,1.9186896,"('unhelpful', 'helpful')",1.9491242,1.9186896,-0.0304346
12,-1.1091195,-1.0582312,"('unsupportive', 'supportive')",-1.1091195,-1.0582312,0.0508883
13,0.19736539,0.154177,"('impolite', 'polite')",0.1973654,0.154177,-0.0431884
14,0.2816435,0.21463723,"('antisocial', 'social')",0.2816435,0.2146372,-0.0670063
15,0.3055588,0.31252936,"('boring', 'funny')",0.3055588,0.3125294,0.0069706
16,-0.5575428,-0.37321612,"('unpopular', 'popular')",-0.5575428,-0.3732161,0.1843267
17,0.20066892,0.18040386,"('nasty', 'nice')",0.2006689,0.1804039,-0.020265
18,-0.28265265,-0.21289518,"('disagreeable', 'welcoming')",-0.2826526,-0.2128952,0.0697574
19,-0.11253027,-0.06987323,"('inhospitable', 'hospitable')",-0.1125303,-0.0698732,0.0426571
20,0.5708096,0.45987093,"('rough', 'thoughtful')",0.5708096,0.4598709,-0.1109387
21,0.08345777,0.15987045,"('immoral', 'moral')",0.0834578,0.1598704,0.0764126
22,0.10219963,0.0590719,"('untrustworthy', 'trustworthy')",0.1021996,0.0590719,-0.0431277
23,6.247963,6.2901726,"('insincere', 'sincere')",6.247963,6.2901726,0.0422096
24,1.9286865,1.9003608,"('dishonest', 'honest')",1.9286865,1.9003608,-0.0283257
25,0.39749599,0.39113373,"('egoistic', 'altruistic')",0.397496,0.3911337,-0.0063623
26,0.40224847,0.33040947,"('hardhearted', 'benevolent')",0.4022485,0.3304095,-0.071839
27,2.011809,1.7935758,"('hardhearted', 'softhearted')",2.0118091,1.7935758,-0.2182333
28,1.0183865,0.9532467,"('disloyal', 'loyal')",1.0183865,0.9532467,-0.0651398
29,-0.09719758,-0.23591623,"('unfair', 'fair')",-0.0971976,-0.2359162,-0.1387186
30,0.98109615,0.90148413,"('intolerant', 'tolerant')",0.9810961,0.9014841,-0.079612
31,-1.064941,-0.9877756,"('evil', 'good')",-1.064941,-0.9877756,0.0771654
32,1.1426955,1.053941,"('unkind', 'kind')",1.1426955,1.053941,-0.0887545
33,-0.96183866,-0.82029986,"('wrong', 'right')",-0.9618387,-0.8202999,0.1415388
34,4.2657995,4.443139,"('mean', 'honorable')",4.2657995,4.4431391,0.1773396
35,-0.87313384,-0.9391149,"('corrupt', 'incorrupt')",-0.8731338,-0.9391149,-0.0659811
36,-0.85438263,-0.86908287,"('hostile', 'amicable')",-0.8543826,-0.8690829,-0.0147003
37,0.65528727,0.5890131,"('fake', 'genuine')",0.6552873,0.5890131,-0.0662742
38,-0.15878904,-0.12639287,"('untruthful', 'truthful')",-0.158789,-0.1263929,0.0323961
39,-0.0024220198,0.024154983,"('exploitative', 'cooperative')",-0.002422,0.024155,0.026577
40,-0.9262816,-0.99865466,"('stingy', 'generous')",-0.9262816,-0.9986547,-0.0723731
41,-0.0045021754,-0.123606935,"('unforgiving', 'forgiving')",-0.0045022,-0.1236069,-0.1191047
42,-1.499864,-1.5372095,"('unreliable', 'reliable')",-1.499864,-1.5372095,-0.0373455
43,1.4328686,1.3521568,"('irresponsible', 'responsible')",1.4328686,1.3521568,-0.0807118
44,-1.1424419,-1.212167,"('prejudiced', 'unprejudiced')",-1.1424419,-1.212167,-0.0697251
45,0.59732586,0.4854585,"('incompetent', 'competent')",0.5973259,0.4854585,-0.1118674
46,-0.39574355,-0.41678214,"('uncompetitive', 'competitive')",-0.3957435,-0.4167821,-0.0210386
47,5.6305714,5.770051,"('stupid', 'smart')",5.6305714,5.770051,0.1394796
48,0.85582,0.7990766,"('unintelligent', 'intelligent')",0.85582,0.7990766,-0.0567434
49,-0.26276937,-0.119141825,"('unable', 'able')",-0.2627694,-0.1191418,0.1436276
50,-0.058761656,0.007552308,"('clumsy', 'skillful')",-0.0587617,0.0075523,0.066314
51,0.626924,0.612769,"('uneducated', 'educated')",0.626924,0.612769,-0.014155
52,-0.2857946,-0.26246044,"('irrational', 'rational')",-0.2857946,-0.2624604,0.0233342
53,0.39603224,0.37441555,"('uncreative', 'creative')",0.3960322,0.3744155,-0.0216167
54,1.0416874,1.1699178,"('incapable', 'capable')",1.0416874,1.1699178,0.1282304
55,0.8483566,0.7882745,"('incompetent', 'clever')",0.8483566,0.7882745,-0.0600821
56,0.53226817,0.54377574,"('impractical', 'practical')",0.5322682,0.5437757,0.0115075
57,-2.2737417,-2.3184636,"('unimaginative', 'imaginative')",-2.2737417,-2.3184636,-0.0447219
58,-0.18697454,-0.28672478,"('undiscriminating', 'discriminating')",-0.1869745,-0.2867248,-0.0997503
59,0.22610663,0.39193225,"('foolish', 'wise')",0.2261066,0.3919322,0.1658256
60,0.2570521,0.2843274,"('inefficient', 'efficient')",0.2570521,0.2843274,0.0272753
61,0.73897445,0.5644457,"('illogical', 'logical')",0.7389745,0.5644457,-0.1745288
62,1.3501471,1.421871,"('incompetent', 'brilliant')",1.3501471,1.4218709,0.0717238
63,0.92409873,0.9904269,"('unperceptive', 'insightful')",0.9240987,0.9904269,0.0663282
64,-5.39594,-5.326335,"('shy', 'confident')",-5.3959398,-5.326335,0.0696048
65,1.0467944,0.9558585,"('insecure', 'secure')",1.0467944,0.9558585,-0.0909359
66,0.2846229,0.2655924,"('inactive', 'active')",0.2846229,0.2655924,-0.0190305
67,-0.95768243,-0.87480503,"('doubtful', 'determined')",-0.9576824,-0.874805,0.0828774
68,-0.29442006,-0.2619051,"('dependent', 'independent')",-0.2944201,-0.2619051,0.032515
69,-1.601652,-1.4856066,"('lazy', 'industrious')",-1.601652,-1.4856066,0.1160454
70,1.7131,1.6441224,"('lethargic', 'energetic')",1.7131,1.6441224,-0.0689776
71,0.56494063,0.736942,"('diffident', 'self-confident')",0.5649406,0.736942,0.1720014
72,0.75369203,0.7940448,"('unambitious', 'ambitious')",0.753692,0.7940448,0.0403528
