,ihs_male,ihs_female,tuple,markit_male,markit_female,ltd_male,ltd_female,average_male,average_female,female-male
0,-0.22032227,-0.2899368,"('unsociable', 'sociable')",1.1058669,1.0477434,0.27701378,0.25798607,0.3875195,0.3385976,-0.0489219
1,-1.1215315,-1.0819719,"('unfriendly', 'friendly')",-1.7003415,-1.7417753,1.6571485,1.4983797,-0.3882415,-0.4417892,-0.0535477
2,1.2631446,1.2923455,"('unlikable', 'likable')",0.58378065,0.6108403,0.3565434,0.4003035,0.7344895,0.7678298,0.0333403
3,0.047020733,0.20062101,"('repellent', 'pleasant')",0.44889116,0.64679974,0.6121579,0.7798433,0.3693566,0.5424213,0.1730647
4,0.040969074,0.041020527,"('disliked', 'liked')",-0.720128,-0.7604891,-4.6212187,-4.7410116,-1.7667926,-1.8201601,-0.0533675
5,-0.8771572,-0.75059736,"('distant', 'outgoing')",-1.9470798,-1.9422497,-0.35879675,-0.44382516,-1.0610112,-1.0455574,0.0154538
6,-0.97165173,-0.75682485,"('distant', 'open')",-2.1711025,-2.1149623,0.28600153,0.18295763,-0.952251,-0.8962765,0.0559745
7,0.38307133,0.5052063,"('insensitive', 'sensitive')",0.9693273,1.115891,0.97522926,1.0862228,0.775876,0.9024401,0.1265641
8,-1.0831511,-1.060415,"('unaffectionate', 'affectionate')",-1.8907169,-1.9671404,0.9736408,0.79217684,-0.6667423,-0.7451262,-0.0783839
9,-0.60911787,-0.5977959,"('unaffectionate', 'caring')",-1.701117,-1.7588669,1.2131456,1.1293958,-0.3656965,-0.409089,-0.0433925
10,-0.73193747,-0.6414198,"('unsympathetic', 'sympathetic')",0.4150442,0.5670772,0.70341265,0.8579915,0.1288398,0.2612163,0.1323765
11,0.15941261,0.18067919,"('unhelpful', 'helpful')",0.32772273,0.4148092,1.681494,1.8016039,0.7228765,0.7990308,0.0761543
12,0.41690037,0.5778806,"('unsupportive', 'supportive')",0.25424123,0.37399507,-0.91806906,-0.9054723,-0.0823091,0.0154678,0.0977769
13,0.16219303,0.1635315,"('impolite', 'polite')",0.8162664,0.8434098,-0.21340877,-0.103575185,0.2550169,0.301122,0.0461051
14,1.1395123,1.1534387,"('antisocial', 'social')",2.2654834,2.3138146,0.13085723,0.30938047,1.1786176,1.2588779,0.0802603
15,0.755116,0.5792433,"('boring', 'funny')",0.43765008,0.3073259,0.36920127,0.31687728,0.5206558,0.4011488,-0.119507
16,-0.369041,-0.45924398,"('unpopular', 'popular')",-1.6925637,-1.7180679,0.45616353,0.39677143,-0.5351471,-0.5935135,-0.0583664
