,teradyne_male,teradyne_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.2698748,-1.2725855,"('unsociable', 'sociable')",-0.42446807,-0.5981687,-0.8471714,-0.9353771,-0.0882057
1,-0.65421027,-0.70119274,"('unfriendly', 'friendly')",1.7299669,1.5777589,0.5378783,0.4382831,-0.0995952
2,0.016253717,0.0018335953,"('unlikable', 'likable')",0.94338006,1.023845,0.4798169,0.5128393,0.0330224
3,-1.4365786,-1.150263,"('repellent', 'pleasant')",0.034955107,0.04961179,-0.7008117,-0.5503256,0.1504861
4,0.19713217,0.18743923,"('disliked', 'liked')",-6.3770165,-6.312201,-3.0899422,-3.0623808,0.0275614
5,0.1771279,0.14506897,"('distant', 'outgoing')",0.08205245,0.1180854,0.1295902,0.1315772,0.001987
6,-0.014279475,-0.040855736,"('distant', 'open')",0.49705002,0.46116412,0.2413853,0.2101542,-0.0312311
7,-1.9328635,-1.708121,"('insensitive', 'sensitive')",0.36275154,0.4015707,-0.785056,-0.6532751,0.1317809
8,0.28291866,0.09734309,"('unaffectionate', 'affectionate')",0.86601645,0.7737573,0.5744675,0.4355502,-0.1389173
9,-0.250068,-0.32993388,"('unaffectionate', 'caring')",1.2954012,1.2956877,0.5226666,0.4828769,-0.0397897
10,-2.5118449,-2.2745724,"('unsympathetic', 'sympathetic')",-0.4520408,-0.4743048,-1.4819429,-1.3744385,0.1075044
11,-0.7059081,-0.64641684,"('unhelpful', 'helpful')",1.9183735,2.0793982,0.6062326,0.7164906,0.110258
12,-0.35626972,-0.28589934,"('unsupportive', 'supportive')",-1.4468788,-1.3663497,-0.9015743,-0.8261245,0.0754498
13,-1.8724388,-1.8319986,"('impolite', 'polite')",-0.51951605,-0.50527734,-1.1959774,-1.168638,0.0273394
14,-1.1719192,-1.0453926,"('antisocial', 'social')",-0.74874127,-0.76535517,-0.9603302,-0.9053739,0.0549563
15,0.26978636,0.08673652,"('boring', 'funny')",0.45117673,0.42282683,0.3604816,0.2547817,-0.1056999
16,0.16234665,0.16879219,"('unpopular', 'popular')",0.6832115,0.58883506,0.4227791,0.3788136,-0.0439655
17,-0.6969573,-0.7369628,"('nasty', 'nice')",-0.26072732,-0.3002465,-0.4788423,-0.5186046,-0.0397623
18,-0.47554967,-0.49935257,"('disagreeable', 'welcoming')",-0.129736,-0.15979102,-0.3026428,-0.3295718,-0.026929
