,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.3976969,-0.63585085,"('unsociable', 'sociable')",-0.019921906,-0.26009133,-0.2088094,-0.4479711,-0.2391617
1,-1.024269,-1.0963377,"('unfriendly', 'friendly')",1.3775463,1.3647282,0.1766387,0.1341953,-0.0424434
2,0.70982695,0.6615299,"('unlikable', 'likable')",0.82262784,0.8525912,0.7662274,0.7570605,-0.0091669
3,-0.10976022,-0.09850706,"('repellent', 'pleasant')",0.9388315,0.82087463,0.4145356,0.3611838,-0.0533518
4,0.17345113,0.17868172,"('disliked', 'liked')",-6.6248116,-6.638559,-3.2256804,-3.2299385,-0.0042581
5,-0.43401083,-0.35711685,"('distant', 'outgoing')",-0.5111777,-0.33428496,-0.4725943,-0.3457009,0.1268934
6,-0.79401296,-0.69887,"('distant', 'open')",-0.57577246,-0.380244,-0.6848927,-0.539557,0.1453357
7,-0.53271425,-0.56129277,"('insensitive', 'sensitive')",0.00773013,-0.013516111,-0.2624921,-0.2874044,-0.0249123
8,-0.9309478,-0.9260112,"('unaffectionate', 'affectionate')",0.44292068,0.5222999,-0.2440135,-0.2018557,0.0421578
9,-0.47250775,-0.4916153,"('unaffectionate', 'caring')",0.93867284,1.0482919,0.2330825,0.2783383,0.0452558
10,-1.0820398,-1.2203746,"('unsympathetic', 'sympathetic')",-0.40789044,-0.45321196,-0.7449651,-0.8367933,-0.0918282
11,-0.19674307,-0.2278685,"('unhelpful', 'helpful')",2.1510139,2.2234771,0.9771354,0.9978043,0.0206689
12,0.105931744,0.07183571,"('unsupportive', 'supportive')",-2.2666986,-2.2150779,-1.0803834,-1.0716211,0.0087623
13,-0.2409866,-0.38016143,"('impolite', 'polite')",-0.36393392,-0.41563463,-0.3024603,-0.397898,-0.0954377
14,0.29503655,0.23581645,"('antisocial', 'social')",-0.10272371,-0.34131685,0.0961564,-0.0527502,-0.1489066
15,0.2004082,0.13467227,"('boring', 'funny')",-0.13758263,-0.11606477,0.0314128,0.0093037,-0.0221091
16,-0.3500394,-0.30973008,"('unpopular', 'popular')",0.5535326,0.4819644,0.1017466,0.0861172,-0.0156294
17,-0.037474755,0.031221246,"('nasty', 'nice')",-0.5972398,-0.5213652,-0.3173573,-0.245072,0.0722853
18,-0.7614281,-0.83663535,"('disagreeable', 'welcoming')",-0.6052681,-0.67168087,-0.6833481,-0.7541581,-0.07081
19,-0.67043126,-0.66580003,"('inhospitable', 'hospitable')",-0.5829562,-0.4311518,-0.6266937,-0.5484759,0.0782178
20,-0.017410818,0.018392608,"('rough', 'thoughtful')",0.8366077,0.82612216,0.4095984,0.4222574,0.012659
21,-0.26626828,-0.4452563,"('immoral', 'moral')",-0.2415025,-0.36815616,-0.2538854,-0.4067062,-0.1528208
22,-0.5902143,-0.648497,"('untrustworthy', 'trustworthy')",-0.9584609,-0.99227196,-0.7743376,-0.8203845,-0.0460469
23,0.13658056,-0.0010565072,"('insincere', 'sincere')",6.211151,6.1417236,3.1738658,3.0703335,-0.1035323
24,-0.05177565,-0.11088634,"('dishonest', 'honest')",0.87545,0.910725,0.4118372,0.3999193,-0.0119179
25,-0.32508993,-0.3210266,"('egoistic', 'altruistic')",0.9398453,0.8640283,0.3073777,0.2715008,-0.0358769
26,-0.2700671,-0.37266535,"('hardhearted', 'benevolent')",1.3326836,1.2247107,0.5313082,0.4260227,-0.1052855
27,-0.59740937,-0.5448046,"('hardhearted', 'softhearted')",0.7620703,0.73902684,0.0823305,0.0971111,0.0147806
28,-0.72441137,-0.8035147,"('disloyal', 'loyal')",1.1471775,1.0903846,0.211383,0.1434349,-0.0679481
29,-0.34587327,-0.29699472,"('unfair', 'fair')",-0.5704681,-0.67270875,-0.4581707,-0.4848517,-0.026681
30,0.48504835,0.34443054,"('intolerant', 'tolerant')",1.0458233,0.9486031,0.7654358,0.6465168,-0.118919
31,-0.6454165,-0.5465347,"('evil', 'good')",-1.2036486,-1.1596768,-0.9245325,-0.8531058,0.0714267
