,intel_male,intel_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.52840364,-0.84594524,"('unsociable', 'sociable')",-0.036079302,-0.09010419,-0.2822415,-0.4680247,-0.1857832
1,0.13279542,-0.09731087,"('unfriendly', 'friendly')",0.25758642,0.10211733,0.1951909,0.0024032,-0.1927877
2,0.10357338,0.03127844,"('unlikable', 'likable')",0.5467684,0.49989504,0.3251709,0.2655867,-0.0595842
3,-0.28837204,-0.20820716,"('repellent', 'pleasant')",0.98111004,0.85297894,0.346369,0.3223859,-0.0239831
4,-0.7837206,-0.8246259,"('disliked', 'liked')",-6.807267,-7.261479,-3.7954938,-4.0430522,-0.2475584
5,0.040533807,0.21316113,"('distant', 'outgoing')",-1.2709364,-0.9953014,-0.6152013,-0.3910702,0.2241311
6,-0.06250786,0.020952426,"('distant', 'open')",-1.4379624,-1.2215477,-0.7502351,-0.6002976,0.1499375
7,-0.3895999,-0.43992028,"('insensitive', 'sensitive')",0.07224663,0.15542494,-0.1586766,-0.1422477,0.0164289
8,0.3393009,-0.022538265,"('unaffectionate', 'affectionate')",-0.25463045,-0.26353788,0.0423352,-0.1430381,-0.1853733
9,0.83344376,0.7120011,"('unaffectionate', 'caring')",0.39266148,0.53550315,0.6130526,0.6237521,0.0106995
10,-0.23223525,-0.70111775,"('unsympathetic', 'sympathetic')",-0.032799065,-0.042043805,-0.1325172,-0.3715808,-0.2390636
11,0.03473449,0.011425689,"('unhelpful', 'helpful')",2.298464,2.463934,1.1665993,1.2376798,0.0710805
12,0.047644503,0.01749919,"('unsupportive', 'supportive')",-2.2241173,-2.150486,-1.0882363,-1.0664934,0.0217429
13,-0.7079665,-0.89189005,"('impolite', 'polite')",-0.7018217,-0.509465,-0.7048941,-0.7006775,0.0042166
14,0.110154115,0.0050210096,"('antisocial', 'social')",0.34278807,0.13287862,0.2264711,0.0689498,-0.1575213
15,0.31416714,0.16603604,"('boring', 'funny')",-0.36767077,-0.42126593,-0.0267518,-0.1276149,-0.1008631
16,-0.91592336,-0.98863995,"('unpopular', 'popular')",0.34833086,0.2428984,-0.2837963,-0.3728708,-0.0890745
17,-0.77635545,-0.7955069,"('nasty', 'nice')",-0.6932662,-0.63346285,-0.7348108,-0.7144849,0.0203259
18,-0.40811867,-0.43490815,"('disagreeable', 'welcoming')",-0.8438253,-0.93052435,-0.625972,-0.6827163,-0.0567443
19,-0.20454513,-0.32163844,"('inhospitable', 'hospitable')",-0.62316424,-0.5529325,-0.4138547,-0.4372855,-0.0234308
20,0.6679754,0.543865,"('rough', 'thoughtful')",1.189849,1.0854666,0.9289122,0.8146658,-0.1142464
21,0.42095792,0.18998776,"('immoral', 'moral')",-0.039917264,-0.1225764,0.1905203,0.0337057,-0.1568146
22,-0.49561244,-0.6921547,"('untrustworthy', 'trustworthy')",-0.7158733,-0.7956725,-0.6057429,-0.7439136,-0.1381707
23,0.3866357,0.24454719,"('insincere', 'sincere')",5.8479314,6.1553802,3.1172836,3.1999638,0.0826802
24,0.9072406,0.92167133,"('dishonest', 'honest')",0.8602787,0.9656026,0.8837597,0.943637,0.0598773
25,1.0687516,0.96354735,"('egoistic', 'altruistic')",0.558509,0.39013132,0.8136303,0.6768394,-0.1367909
26,0.7841224,0.30646345,"('hardhearted', 'benevolent')",1.1381385,0.69875765,0.9611305,0.5026106,-0.4585199
27,-0.33436757,-0.3144743,"('hardhearted', 'softhearted')",0.30176625,0.32936227,-0.0163007,0.007444,0.0237447
28,0.6478133,0.34473985,"('disloyal', 'loyal')",1.5979376,1.4470336,1.1228755,0.8958868,-0.2269887
29,-0.9841906,-0.9751385,"('unfair', 'fair')",-0.26272565,-0.41187167,-0.6234581,-0.693505,-0.0700469
30,1.0002413,0.8545246,"('intolerant', 'tolerant')",0.57639474,0.49500674,0.788318,0.6747657,-0.1135523
31,-1.1282227,-1.0640296,"('evil', 'good')",-1.7576466,-1.8359278,-1.4429346,-1.4499787,-0.0070441
32,0.36344832,0.19374682,"('unkind', 'kind')",0.7408784,0.5511215,0.5521634,0.3724341,-0.1797293
