,tattoo_male,tattoo_female,tuple,average_male,average_female,female-male
0,0.012803201,-0.15307909,"('unsociable', 'sociable')",0.0128032,-0.1530791,-0.1658823
1,1.4414686,1.5208721,"('unfriendly', 'friendly')",1.4414686,1.5208721,0.0794035
2,0.2940744,0.48579168,"('unlikable', 'likable')",0.2940744,0.4857917,0.1917173
3,0.55185395,0.4482344,"('repellent', 'pleasant')",0.551854,0.4482344,-0.1036196
4,-7.4014525,-7.276026,"('disliked', 'liked')",-7.4014525,-7.2760258,0.1254267
5,-0.5425482,-0.36595458,"('distant', 'outgoing')",-0.5425482,-0.3659546,0.1765936
6,0.0047345906,0.123457626,"('distant', 'open')",0.0047346,0.1234576,0.118723
7,1.030301,0.87815624,"('insensitive', 'sensitive')",1.030301,0.8781562,-0.1521448
8,1.5026481,1.438818,"('unaffectionate', 'affectionate')",1.5026481,1.438818,-0.0638301
9,1.9408158,2.0629063,"('unaffectionate', 'caring')",1.9408158,2.0629063,0.1220905
10,1.0657538,0.75814605,"('unsympathetic', 'sympathetic')",1.0657538,0.758146,-0.3076078
11,1.8716322,1.8884861,"('unhelpful', 'helpful')",1.8716322,1.8884861,0.0168539
12,-1.2064155,-1.2328144,"('unsupportive', 'supportive')",-1.2064155,-1.2328144,-0.0263989
13,0.010434575,-0.088300064,"('impolite', 'polite')",0.0104346,-0.0883001,-0.0987347
14,-0.028558135,-0.11356264,"('antisocial', 'social')",-0.0285581,-0.1135626,-0.0850045
15,0.5678007,0.6750368,"('boring', 'funny')",0.5678007,0.6750368,0.1072361
16,-0.68382424,-0.45672208,"('unpopular', 'popular')",-0.6838242,-0.4567221,0.2271021
17,-0.4631697,-0.49126694,"('nasty', 'nice')",-0.4631697,-0.4912669,-0.0280972
18,-0.64735454,-0.6608042,"('disagreeable', 'welcoming')",-0.6473545,-0.6608042,-0.0134497
19,-0.574815,-0.396261,"('inhospitable', 'hospitable')",-0.574815,-0.396261,0.178554
20,0.73980796,0.56155586,"('rough', 'thoughtful')",0.739808,0.5615559,-0.1782521
21,-0.31088483,-0.36520705,"('immoral', 'moral')",-0.3108848,-0.365207,-0.0543222
22,-0.44531214,-0.6060466,"('untrustworthy', 'trustworthy')",-0.4453121,-0.6060466,-0.1607345
23,6.5761814,6.549124,"('insincere', 'sincere')",6.5761814,6.5491238,-0.0270576
24,1.8703471,1.7799528,"('dishonest', 'honest')",1.8703471,1.7799528,-0.0903943
25,0.45114848,0.43190616,"('egoistic', 'altruistic')",0.4511485,0.4319062,-0.0192423
26,0.8919906,0.89711624,"('hardhearted', 'benevolent')",0.8919906,0.8971162,0.0051256
27,1.4674742,1.2216673,"('hardhearted', 'softhearted')",1.4674742,1.2216673,-0.2458069
28,1.1055777,0.94310606,"('disloyal', 'loyal')",1.1055777,0.9431061,-0.1624716
29,-0.4461463,-0.5747912,"('unfair', 'fair')",-0.4461463,-0.5747912,-0.1286449
30,1.0975243,1.0216339,"('intolerant', 'tolerant')",1.0975243,1.0216339,-0.0758904
31,-1.342055,-1.1999956,"('evil', 'good')",-1.342055,-1.1999956,0.1420594
32,1.3825871,1.241015,"('unkind', 'kind')",1.3825871,1.241015,-0.1415721
33,-0.60096,-0.36091408,"('wrong', 'right')",-0.60096,-0.3609141,0.2400459
34,4.112568,4.149894,"('mean', 'honorable')",4.1125679,4.1498942,0.0373263
35,-1.1529917,-1.1955721,"('corrupt', 'incorrupt')",-1.1529917,-1.1955721,-0.0425804
36,-1.0492289,-1.0118022,"('hostile', 'amicable')",-1.0492289,-1.0118022,0.0374267
37,0.82229525,0.6354363,"('fake', 'genuine')",0.8222952,0.6354363,-0.1868589
38,-0.23392615,-0.16917881,"('untruthful', 'truthful')",-0.2339261,-0.1691788,0.0647473
39,-0.06206879,-0.10958679,"('exploitative', 'cooperative')",-0.0620688,-0.1095868,-0.047518
40,-1.3267001,-1.6131742,"('stingy', 'generous')",-1.3267001,-1.6131742,-0.2864741
41,-0.114185154,-0.26461688,"('unforgiving', 'forgiving')",-0.1141852,-0.2646169,-0.1504317
42,-1.8586044,-1.9504124,"('unreliable', 'reliable')",-1.8586044,-1.9504124,-0.091808
43,1.3290359,1.2079681,"('irresponsible', 'responsible')",1.3290359,1.2079681,-0.1210678
44,-1.4044685,-1.4925706,"('prejudiced', 'unprejudiced')",-1.4044685,-1.4925706,-0.0881021
45,0.049587943,-0.05533381,"('incompetent', 'competent')",0.0495879,-0.0553338,-0.1049217
46,-0.84075624,-1.0515978,"('uncompetitive', 'competitive')",-0.8407562,-1.0515978,-0.2108416
47,5.1927633,5.262688,"('stupid', 'smart')",5.1927633,5.2626882,0.0699249
48,0.928588,0.8330537,"('unintelligent', 'intelligent')",0.928588,0.8330537,-0.0955343
49,-0.29187366,-0.13952297,"('unable', 'able')",-0.2918737,-0.139523,0.1523507
50,-0.23165815,-0.16590826,"('clumsy', 'skillful')",-0.2316581,-0.1659083,0.0657498
51,0.29097295,0.229357,"('uneducated', 'educated')",0.2909729,0.229357,-0.0616159
52,-0.4371144,-0.31681475,"('irrational', 'rational')",-0.4371144,-0.3168148,0.1202996
53,0.47211218,0.48118302,"('uncreative', 'creative')",0.4721122,0.481183,0.0090708
54,1.4145657,1.602232,"('incapable', 'capable')",1.4145657,1.602232,0.1876663
55,0.9381682,0.7912957,"('incompetent', 'clever')",0.9381682,0.7912957,-0.1468725
56,0.6908283,0.71046335,"('impractical', 'practical')",0.6908283,0.7104633,0.019635
57,-2.5160778,-2.7089796,"('unimaginative', 'imaginative')",-2.5160778,-2.7089796,-0.1929018
58,-0.20684908,-0.2805899,"('undiscriminating', 'discriminating')",-0.2068491,-0.2805899,-0.0737408
59,-0.26682588,-0.14167145,"('foolish', 'wise')",-0.2668259,-0.1416714,0.1251545
60,0.55555004,0.5747962,"('inefficient', 'efficient')",0.55555,0.5747962,0.0192462
61,0.19586994,-0.022344336,"('illogical', 'logical')",0.1958699,-0.0223443,-0.2182142
62,1.1630971,1.1848918,"('incompetent', 'brilliant')",1.1630971,1.1848918,0.0217947
63,0.2140452,0.10646868,"('unperceptive', 'insightful')",0.2140452,0.1064687,-0.1075765
64,-6.335863,-6.3012958,"('shy', 'confident')",-6.3358631,-6.3012958,0.0345673
65,0.6745601,0.55126065,"('insecure', 'secure')",0.6745601,0.5512607,-0.1232994
66,-0.4514712,-0.65013266,"('inactive', 'active')",-0.4514712,-0.6501327,-0.1986615
67,-0.8404871,-0.6799048,"('doubtful', 'determined')",-0.8404871,-0.6799048,0.1605823
68,-0.8576416,-0.99473983,"('dependent', 'independent')",-0.8576416,-0.9947398,-0.1370982
69,-1.855139,-1.6695651,"('lazy', 'industrious')",-1.855139,-1.6695651,0.1855739
70,1.1004729,0.8251798,"('lethargic', 'energetic')",1.1004729,0.8251798,-0.2752931
71,0.49706393,0.682973,"('diffident', 'self-confident')",0.4970639,0.682973,0.1859091
72,1.0379126,1.0375534,"('unambitious', 'ambitious')",1.0379126,1.0375534,-0.0003592
73,-2.7213838,-2.5932941,"('helpless', 'self-reliant')",-2.7213838,-2.5932941,0.1280897
74,-0.11448752,-0.28777796,"('undedicated', 'dedicated')",-0.1144875,-0.287778,-0.1732905
75,-1.0515598,-0.9963264,"('meek', 'impulsive')",-1.0515598,-0.9963264,0.0552334
76,1.0574788,0.79285634,"('anxious', 'daring')",1.0574788,0.7928563,-0.2646225
77,-1.2743429,-1.1705536,"('unmotivated', 'motivated')",-1.2743429,-1.1705536,0.1037893
78,-0.5077542,-0.49979508,"('nonresilient', 'resilient')",-0.5077542,-0.4997951,0.0079591
