,peabody_male,peabody_female,tuple,energy_male,energy_female,corp_male,corp_female,average_male,average_female,female-male
0,0.42856395,0.28358206,"('unsociable', 'sociable')",-0.089815795,-0.16327795,-0.11802903,-0.33578542,0.073573,-0.0718271,-0.1454001
1,0.1059043,0.08684002,"('unfriendly', 'friendly')",0.41699117,0.29407355,0.6245537,0.56809705,0.382483,0.3163369,-0.0661461
2,0.64963955,0.7091603,"('unlikable', 'likable')",1.4466006,1.4544182,0.94696206,1.0178094,1.0144007,1.0604626,0.0460619
3,-0.7379308,-0.6048664,"('repellent', 'pleasant')",-0.3470947,-0.24306533,1.0572735,1.0244396,-0.0092507,0.0588359,0.0680866
4,-0.24607152,-0.23930253,"('disliked', 'liked')",0.73576665,0.5717011,-6.0526423,-6.0321856,-1.8543158,-1.899929,-0.0456132
5,-0.31341663,-0.354809,"('distant', 'outgoing')",0.17211354,0.17359899,-0.8716631,-0.7772842,-0.3376554,-0.3194981,0.0181573
6,-1.0302365,-1.0463358,"('distant', 'open')",-0.32751557,-0.37951025,-1.2137204,-1.126566,-0.8571575,-0.850804,0.0063535
7,1.3498375,1.3068917,"('insensitive', 'sensitive')",0.89487326,0.97960687,0.601375,0.52531046,0.9486953,0.9372697,-0.0114256
8,-0.1907705,-0.19735989,"('unaffectionate', 'affectionate')",-0.51548755,-0.6102037,-0.10250374,-0.07693554,-0.2695873,-0.294833,-0.0252457
9,1.123891,1.1286836,"('unaffectionate', 'caring')",0.3861971,0.3179992,0.62792885,0.6346758,0.7126723,0.6937862,-0.0188861
10,1.1405538,1.1420759,"('unsympathetic', 'sympathetic')",-0.73245615,-0.73069495,-0.38952237,-0.49028853,0.0061918,-0.0263025,-0.0324943
11,0.6473819,0.64883775,"('unhelpful', 'helpful')",0.32762572,0.42581224,2.2859764,2.2694712,1.0869946,1.1147071,0.0277125
12,1.7108779,1.806687,"('unsupportive', 'supportive')",0.6990318,0.78508157,-1.7153559,-1.6901397,0.231518,0.300543,0.069025
13,1.166642,1.0720463,"('impolite', 'polite')",-0.11788166,-0.024180107,-0.35488135,-0.47895747,0.231293,0.1896363,-0.0416567
14,0.9872047,0.90573496,"('antisocial', 'social')",0.92832345,1.0229133,0.44138506,0.273198,0.7856377,0.7339487,-0.051689
15,0.25208724,0.16876642,"('boring', 'funny')",0.057250574,-0.06643699,-0.23144573,-0.23661536,0.025964,-0.044762,-0.070726
16,-1.4166448,-1.3763213,"('unpopular', 'popular')",0.06543816,-0.08704041,0.46954167,0.3517812,-0.2938883,-0.3705269,-0.0766386
17,-0.44041702,-0.44212803,"('nasty', 'nice')",-0.96260685,-0.8935305,-0.4080541,-0.3518115,-0.6036927,-0.56249,0.0412027
18,-0.31361532,-0.30836558,"('disagreeable', 'welcoming')",-0.6809388,-0.66487557,-0.86418587,-0.8522067,-0.61958,-0.6084826,0.0110974
19,-0.027439564,0.029943712,"('inhospitable', 'hospitable')",-0.9998785,-1.0034646,-1.1024381,-0.94584906,-0.7099187,-0.63979,0.0701287
20,0.17623076,0.21505673,"('rough', 'thoughtful')",-0.18189992,-0.097305,0.31256065,0.3380251,0.1022972,0.1519256,0.0496284
21,1.732128,1.7526143,"('immoral', 'moral')",1.3748692,1.3581392,-0.017254045,-0.08692179,1.0299144,1.0079439,-0.0219705
22,0.26119438,0.25243315,"('untrustworthy', 'trustworthy')",-0.6700569,-0.7301255,-0.61751187,-0.653545,-0.3421248,-0.3770791,-0.0349543
23,1.201285,1.1632603,"('insincere', 'sincere')",-0.3310355,-0.29351708,5.4015555,5.2158656,2.0906016,2.0285363,-0.0620653
24,2.0078487,2.02394,"('dishonest', 'honest')",0.39649957,0.4338975,0.6042506,0.6301394,1.0028663,1.0293256,0.0264593
25,-0.34568584,-0.3363237,"('egoistic', 'altruistic')",0.9028512,0.8170828,0.72798645,0.7243811,0.4283839,0.4017134,-0.0266705
26,1.5670161,1.4374657,"('hardhearted', 'benevolent')",0.9623431,0.91296893,1.5911382,1.5224264,1.3734992,1.2909536,-0.0825456
27,0.08231296,0.10660509,"('hardhearted', 'softhearted')",0.24262813,0.35283795,0.41298735,0.42901838,0.2459762,0.2961538,0.0501776
