,adt_male,adt_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.34667483,-0.5006368,"('unsociable', 'sociable')",-0.16901164,-0.3885401,-0.2578432,-0.4445885,-0.1867453
1,-1.8197054,-1.8869464,"('unfriendly', 'friendly')",1.3794342,1.296205,-0.2201356,-0.2953707,-0.0752351
2,0.7641712,0.70987076,"('unlikable', 'likable')",0.8228136,0.72378916,0.7934924,0.71683,-0.0766624
3,0.6484017,0.79459035,"('repellent', 'pleasant')",1.1451463,1.2083418,0.8967739,1.001466,0.1046921
4,-0.6368881,-0.67884517,"('disliked', 'liked')",-6.484172,-6.5494685,-3.5605299,-3.6141567,-0.0536268
5,-1.8252385,-1.8078166,"('distant', 'outgoing')",-0.7171256,-0.5534217,-1.2711821,-1.1806191,0.090563
6,-2.2186584,-2.135262,"('distant', 'open')",-0.8469018,-0.68329453,-1.5327802,-1.4092783,0.1235019
7,0.10334864,0.22869003,"('insensitive', 'sensitive')",0.5296793,0.5425756,0.316514,0.3856328,0.0691188
8,-1.7037481,-1.7653481,"('unaffectionate', 'affectionate')",0.61279404,0.63911635,-0.545477,-0.5631158,-0.0176388
9,-1.6236339,-1.6256353,"('unaffectionate', 'caring')",1.0028737,1.1172307,-0.3103801,-0.2542023,0.0561778
10,-0.0057795923,-0.00052133016,"('unsympathetic', 'sympathetic')",-0.5300692,-0.5838467,-0.2679244,-0.292184,-0.0242596
11,0.48074836,0.4062285,"('unhelpful', 'helpful')",1.7284415,1.8634887,1.1045949,1.1348586,0.0302637
12,-0.3535575,-0.22190712,"('unsupportive', 'supportive')",-2.1536562,-2.0931597,-1.2536069,-1.1575334,0.0960735
13,0.17774647,0.09250287,"('impolite', 'polite')",-0.8265488,-0.85139894,-0.3244012,-0.379448,-0.0550468
14,1.3257756,1.3019449,"('antisocial', 'social')",0.33379045,0.1521762,0.829783,0.7270606,-0.1027224
15,0.027810052,-0.17820044,"('boring', 'funny')",0.07527104,0.012628347,0.0515405,-0.082786,-0.1343265
16,-0.9061463,-0.93877447,"('unpopular', 'popular')",0.46092635,0.44790703,-0.22261,-0.2454337,-0.0228237
17,0.075508974,0.121076554,"('nasty', 'nice')",-0.48185948,-0.48149595,-0.2031752,-0.1802097,0.0229655
18,-1.0429779,-1.0867821,"('disagreeable', 'welcoming')",-0.3970425,-0.43578556,-0.7200102,-0.7612838,-0.0412736
19,-1.3967935,-1.4415321,"('inhospitable', 'hospitable')",-0.5115298,-0.4350974,-0.9541616,-0.9383148,0.0158468
20,0.993122,1.0089533,"('rough', 'thoughtful')",0.86013466,0.8037336,0.9266284,0.9063435,-0.0202849
21,1.4600921,1.3649,"('immoral', 'moral')",-0.039424844,-0.18418945,0.7103336,0.5903553,-0.1199783
22,0.082413584,0.067495406,"('untrustworthy', 'trustworthy')",-0.8253745,-0.9093306,-0.3714805,-0.4209176,-0.0494371
23,0.28843847,0.2557025,"('insincere', 'sincere')",6.000416,6.0649276,3.1444271,3.160315,0.0158879
24,0.2804793,0.332083,"('dishonest', 'honest')",0.5895377,0.6238629,0.4350085,0.477973,0.0429645
25,-0.61461586,-0.63715166,"('egoistic', 'altruistic')",1.3829759,1.3583717,0.38418,0.36061,-0.02357
26,0.11718774,-0.11585591,"('hardhearted', 'benevolent')",1.9140944,1.6771086,1.0156411,0.7806264,-0.2350147
27,-0.5556454,-0.4614713,"('hardhearted', 'softhearted')",1.2167021,1.1927453,0.3305283,0.365637,0.0351087
28,-0.3789384,-0.4527259,"('disloyal', 'loyal')",1.346569,1.2123146,0.4838153,0.3797944,-0.1040209
29,-0.61104804,-0.6205778,"('unfair', 'fair')",-0.48199102,-0.6582954,-0.5465195,-0.6394366,-0.0929171
30,1.0355253,0.94438773,"('intolerant', 'tolerant')",0.9788022,0.88878953,1.0071638,0.9165887,-0.0905751
31,-2.186204,-2.1773653,"('evil', 'good')",-0.68816143,-0.7768701,-1.4371827,-1.4771177,-0.039935
32,0.20285624,0.016226515,"('unkind', 'kind')",1.1298581,0.823148,0.6663572,0.4196873,-0.2466699
33,-0.5492315,-0.5792492,"('wrong', 'right')",-0.7327286,-0.78241575,-0.6409801,-0.6808325,-0.0398524
34,0.21402206,0.35518008,"('mean', 'honorable')",5.604679,5.899883,2.9093506,3.1275315,0.2181809
35,-1.3501333,-1.3873379,"('corrupt', 'incorrupt')",-0.5720455,-0.62074274,-0.9610894,-1.0040404,-0.042951
36,-2.0406857,-2.12462,"('hostile', 'amicable')",-0.21012372,-0.36472508,-1.1254047,-1.2446725,-0.1192678
37,0.270497,0.29693544,"('fake', 'genuine')",-0.0846701,-0.039670575,0.0929134,0.1286324,0.035719
38,-1.0522473,-1.0184038,"('untruthful', 'truthful')",-0.06408115,0.09489587,-0.5581642,-0.461754,0.0964102
39,0.9082515,0.94382906,"('exploitative', 'cooperative')",0.05325745,0.064482264,0.4807545,0.5041556,0.0234011
40,-0.26005507,-0.16252798,"('stingy', 'generous')",-1.6347584,-1.6593012,-0.9474067,-0.9109145,0.0364922
41,-0.37608767,-0.37799814,"('unforgiving', 'forgiving')",0.28215897,0.09403035,-0.0469643,-0.1419839,-0.0950196
42,0.27782473,0.304186,"('unreliable', 'reliable')",-3.6778052,-3.6905937,-1.6999903,-1.6932039,0.0067864
43,0.1645591,0.20874372,"('irresponsible', 'responsible')",0.41192967,0.39313504,0.2882444,0.3009394,0.012695
44,0.22221768,0.21018161,"('prejudiced', 'unprejudiced')",-1.7178887,-1.793011,-0.7478355,-0.7914147,-0.0435792
45,0.31392664,0.31292954,"('incompetent', 'competent')",0.1625694,0.04222341,0.238248,0.1775765,-0.0606715
46,0.7995883,0.8299057,"('uncompetitive', 'competitive')",-0.7831665,-0.8229324,0.0082109,0.0034866,-0.0047243
