,hydrocarbon_male,hydrocarbon_female,tuple,average_male,average_female,female-male
0,0.028106645,-0.092234805,"('unsociable', 'sociable')",0.0281066,-0.0922348,-0.1203414
1,0.11958583,-0.14552793,"('unfriendly', 'friendly')",0.1195858,-0.1455279,-0.2651137
2,0.7278542,0.7095449,"('unlikable', 'likable')",0.7278542,0.7095449,-0.0183093
3,-0.25454393,-0.22043103,"('repellent', 'pleasant')",-0.2545439,-0.220431,0.0341129
4,-2.3906653,-2.4820504,"('disliked', 'liked')",-2.3906653,-2.4820504,-0.0913851
5,-1.1556593,-1.1656718,"('distant', 'outgoing')",-1.1556593,-1.1656718,-0.0100125
6,-1.6275184,-1.6514308,"('distant', 'open')",-1.6275184,-1.6514308,-0.0239124
7,0.3492564,0.3882705,"('insensitive', 'sensitive')",0.3492564,0.3882705,0.0390141
8,-0.3490225,-0.4238637,"('unaffectionate', 'affectionate')",-0.3490225,-0.4238637,-0.0748412
9,0.06951336,0.009958064,"('unaffectionate', 'caring')",0.0695134,0.0099581,-0.0595553
10,-0.39731222,-0.32346052,"('unsympathetic', 'sympathetic')",-0.3973122,-0.3234605,0.0738517
11,1.4806011,1.4859458,"('unhelpful', 'helpful')",1.4806011,1.4859458,0.0053447
12,-0.62479943,-0.56489277,"('unsupportive', 'supportive')",-0.6247994,-0.5648928,0.0599066
13,-0.41708013,-0.3956304,"('impolite', 'polite')",-0.4170801,-0.3956304,0.0214497
14,0.23514743,0.2699176,"('antisocial', 'social')",0.2351474,0.2699176,0.0347702
15,0.4657546,0.34236428,"('boring', 'funny')",0.4657546,0.3423643,-0.1233903
16,0.6547402,0.38517132,"('unpopular', 'popular')",0.6547402,0.3851713,-0.2695689
17,-0.5602934,-0.52388346,"('nasty', 'nice')",-0.5602934,-0.5238835,0.0364099
18,-1.3028961,-1.2963581,"('disagreeable', 'welcoming')",-1.3028961,-1.2963581,0.006538
19,-1.7058113,-1.6905023,"('inhospitable', 'hospitable')",-1.7058113,-1.6905023,0.015309
20,0.127704,0.14882526,"('rough', 'thoughtful')",0.127704,0.1488253,0.0211213
21,0.22651656,0.27036536,"('immoral', 'moral')",0.2265166,0.2703654,0.0438488
22,-0.87531877,-0.87845904,"('untrustworthy', 'trustworthy')",-0.8753188,-0.878459,-0.0031402
23,2.6956263,2.6051865,"('insincere', 'sincere')",2.6956263,2.6051865,-0.0904398
24,-0.14361228,-0.088555,"('dishonest', 'honest')",-0.1436123,-0.088555,0.0550573
25,0.37783653,0.20213673,"('egoistic', 'altruistic')",0.3778365,0.2021367,-0.1756998
