,correspondent_male,correspondent_female,tuple,average_male,average_female,female-male
0,0.4788778,0.4755705,"('unsociable', 'sociable')",0.4788778,0.4755705,-0.0033073
1,0.8702,0.75892276,"('unfriendly', 'friendly')",0.8702,0.7589228,-0.1112772
2,-0.009864197,0.1204083,"('unlikable', 'likable')",-0.0098642,0.1204083,0.1302725
3,0.8726889,0.9994614,"('repellent', 'pleasant')",0.8726889,0.9994614,0.1267725
4,-7.287157,-7.433417,"('disliked', 'liked')",-7.2871571,-7.4334168,-0.1462597
5,-0.77429783,-0.91805124,"('distant', 'outgoing')",-0.7742978,-0.9180512,-0.1437534
6,-0.23963399,-0.48953235,"('distant', 'open')",-0.239634,-0.4895324,-0.2498984
7,1.5325681,1.5993185,"('insensitive', 'sensitive')",1.5325681,1.5993185,0.0667504
8,0.80558926,0.69717014,"('unaffectionate', 'affectionate')",0.8055893,0.6971701,-0.1084192
9,1.0500535,1.0280716,"('unaffectionate', 'caring')",1.0500535,1.0280716,-0.0219819
10,1.3596166,1.5189582,"('unsympathetic', 'sympathetic')",1.3596166,1.5189582,0.1593416
11,1.6053677,1.7854027,"('unhelpful', 'helpful')",1.6053677,1.7854027,0.180035
12,-1.3817133,-1.3007432,"('unsupportive', 'supportive')",-1.3817133,-1.3007432,0.0809701
13,0.23947607,0.44902524,"('impolite', 'polite')",0.2394761,0.4490252,0.2095491
14,0.4215602,0.53579444,"('antisocial', 'social')",0.4215602,0.5357944,0.1142342
15,0.42665654,0.34938556,"('boring', 'funny')",0.4266565,0.3493856,-0.0772709
16,-0.8017997,-0.8591814,"('unpopular', 'popular')",-0.8017997,-0.8591814,-0.0573817
17,-0.24009222,-0.25698647,"('nasty', 'nice')",-0.2400922,-0.2569865,-0.0168943
18,-0.68102056,-0.6161194,"('disagreeable', 'welcoming')",-0.6810206,-0.6161194,0.0649012
19,-0.8076068,-0.84704906,"('inhospitable', 'hospitable')",-0.8076068,-0.8470491,-0.0394423
20,0.75176984,0.6483069,"('rough', 'thoughtful')",0.7517698,0.6483069,-0.1034629
21,-0.059758738,0.24620873,"('immoral', 'moral')",-0.0597587,0.2462087,0.3059674
22,0.18584357,0.29478002,"('untrustworthy', 'trustworthy')",0.1858436,0.29478,0.1089364
23,6.212415,6.395348,"('insincere', 'sincere')",6.2124152,6.3953481,0.1829329
24,1.4110538,1.4415429,"('dishonest', 'honest')",1.4110538,1.4415429,0.0304891
25,0.5823979,0.54976535,"('egoistic', 'altruistic')",0.5823979,0.5497653,-0.0326326
26,1.3125254,1.1877695,"('hardhearted', 'benevolent')",1.3125254,1.1877695,-0.1247559
27,1.7633204,1.5318619,"('hardhearted', 'softhearted')",1.7633204,1.5318619,-0.2314585
28,1.4552221,1.3514204,"('disloyal', 'loyal')",1.4552221,1.3514204,-0.1038017
29,-0.2874657,-0.48590338,"('unfair', 'fair')",-0.2874657,-0.4859034,-0.1984377
30,1.0564547,1.2210115,"('intolerant', 'tolerant')",1.0564547,1.2210115,0.1645568
31,-1.2245219,-1.4355073,"('evil', 'good')",-1.2245219,-1.4355073,-0.2109854
32,1.3233756,1.2564828,"('unkind', 'kind')",1.3233756,1.2564828,-0.0668928
33,-0.5593324,-0.6832197,"('wrong', 'right')",-0.5593324,-0.6832197,-0.1238873
34,4.2251825,4.418853,"('mean', 'honorable')",4.2251825,4.4188528,0.1936703
35,-0.9929496,-1.3651105,"('corrupt', 'incorrupt')",-0.9929496,-1.3651105,-0.3721609
36,-1.0112877,-1.356955,"('hostile', 'amicable')",-1.0112877,-1.3569551,-0.3456674
37,1.1207649,1.10563,"('fake', 'genuine')",1.1207649,1.10563,-0.0151349
38,-0.6260536,-0.4688171,"('untruthful', 'truthful')",-0.6260536,-0.4688171,0.1572365
39,0.34074923,0.40034035,"('exploitative', 'cooperative')",0.3407492,0.4003403,0.0595911
40,-1.0703325,-1.2297733,"('stingy', 'generous')",-1.0703325,-1.2297733,-0.1594408
41,0.48613507,0.39782113,"('unforgiving', 'forgiving')",0.4861351,0.3978211,-0.088314
42,-1.7036147,-1.6906606,"('unreliable', 'reliable')",-1.7036147,-1.6906606,0.0129541
43,1.1658577,1.3686253,"('irresponsible', 'responsible')",1.1658577,1.3686253,0.2027676
44,-1.1302834,-1.1687129,"('prejudiced', 'unprejudiced')",-1.1302834,-1.1687129,-0.0384295
45,0.8281678,0.7130476,"('incompetent', 'competent')",0.8281678,0.7130476,-0.1151202
46,-0.32623267,-0.2056756,"('uncompetitive', 'competitive')",-0.3262327,-0.2056756,0.1205571
47,4.734859,4.8726225,"('stupid', 'smart')",4.734859,4.8726225,0.1377635
48,0.33482772,0.43110138,"('unintelligent', 'intelligent')",0.3348277,0.4311014,0.0962737
49,-0.29604134,-0.19382046,"('unable', 'able')",-0.2960413,-0.1938205,0.1022208
50,-0.51823777,-0.55721945,"('clumsy', 'skillful')",-0.5182378,-0.5572194,-0.0389816
51,0.6815744,0.8051173,"('uneducated', 'educated')",0.6815744,0.8051173,0.1235429
52,-0.35260814,-0.68140155,"('irrational', 'rational')",-0.3526081,-0.6814016,-0.3287935
53,-0.17260873,-0.28491423,"('uncreative', 'creative')",-0.1726087,-0.2849142,-0.1123055
54,0.71292394,0.7403713,"('incapable', 'capable')",0.7129239,0.7403713,0.0274474
55,1.1486881,1.3611468,"('incompetent', 'clever')",1.1486881,1.3611468,0.2124587
56,0.53485787,0.6311195,"('impractical', 'practical')",0.5348579,0.6311195,0.0962616
57,-1.7219635,-1.8433273,"('unimaginative', 'imaginative')",-1.7219635,-1.8433273,-0.1213638
58,0.7373258,0.7244578,"('undiscriminating', 'discriminating')",0.7373258,0.7244578,-0.012868
59,-0.4668852,-0.5317548,"('foolish', 'wise')",-0.4668852,-0.5317548,-0.0648696
60,0.4151185,0.79965603,"('inefficient', 'efficient')",0.4151185,0.799656,0.3845375
61,0.42653114,0.2878693,"('illogical', 'logical')",0.4265311,0.2878693,-0.1386618
62,0.5833357,0.8476652,"('incompetent', 'brilliant')",0.5833357,0.8476652,0.2643295
63,0.333011,0.4972332,"('unperceptive', 'insightful')",0.333011,0.4972332,0.1642222
64,-5.9820576,-5.8437243,"('shy', 'confident')",-5.9820576,-5.8437243,0.1383333
65,0.65445286,0.88374865,"('insecure', 'secure')",0.6544529,0.8837487,0.2292958
66,-0.042342477,-0.28019077,"('inactive', 'active')",-0.0423425,-0.2801908,-0.2378483
67,-0.680085,-0.595875,"('doubtful', 'determined')",-0.680085,-0.595875,0.08421
68,-0.9596444,-0.86035097,"('dependent', 'independent')",-0.9596444,-0.860351,0.0992934
69,-2.0846648,-2.2695749,"('lazy', 'industrious')",-2.0846648,-2.2695749,-0.1849101
